trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,  Damons year,josee!,85,spotify:track:2Ofqs4b2114JHEpkOoCfNE,WM Korea,59,75,12,90171,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,  Damons year,0
0,1,  Damons year,yours,10,spotify:track:7JQH2lBMZ10ztDnpoeq6Ki,WM Korea,7,11,168,244808,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,  Damons year,1
0,0,2BIC,Love Game,122,spotify:track:3B2VbQSEVhwGfZp5nU3zud,Nextar Entertainment,101,101,4,78448,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,2BIC,0
0,0,AKMU,"How can I love the heartbreak, you're the one I love",74,spotify:track:0hqj5JBnFt1BHEz2UCFwrl,YG Entertainment,37,83,117,96719,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,AKMU,0
0,0,ALLDAY PROJECT,FAMOUS,23,spotify:track:40UVUuyy5RfpO0awclCttA,THEBLACKLABEL,3,20,25,178536,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ALLDAY PROJECT,0
0,1,ALLDAY PROJECT,LOOK AT ME,13,spotify:track:5iFbKoNv7Jc5Arpbf8D90B,THEBLACKLABEL,13,63,2,234190,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ALLDAY PROJECT,0
0,2,ALLDAY PROJECT,ONE MORE TIME,7,spotify:track:7FyKqLLICVzwBiAUtbVYUW,THEBLACKLABEL,2,4,5,284262,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ALLDAY PROJECT,1
0,3,ALLDAY PROJECT,WICKED,73,spotify:track:2NOMOpss7BmEXTL9f1koqn,THEBLACKLABEL,5,59,26,97817,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ALLDAY PROJECT,0
0,4,ALLDAY PROJECT,YOU AND I,160,spotify:track:3dgHBYs0bBgcVwgYZNR5Eq,THEBLACKLABEL,160,-1,1,70516,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ALLDAY PROJECT,0
0,5,"ALLDAY PROJECT, ANNIE, WOOCHAN",WHERE YOU AT,167,spotify:track:0BIutvdEclGIwaFeekFNCC,THEBLACKLABEL,167,-1,1,70009,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ALLDAY PROJECT,0
0,0,Ai Tomioka,Good bye-bye,130,spotify:track:6Xw3X2WFvkoY3Endv8RiFU,Victor,130,154,3,76996,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ai Tomioka,0
0,0,Ariana Grande,Santa Tell Me,29,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Universal Records,8,30,37,159640,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ariana Grande,0
0,0,BABYMONSTER,WE GO UP,129,spotify:track:1tonXoW6dcb7GGNpec3PTl,YG Entertainment,22,132,10,77071,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,BABYMONSTER,0
0,0,BLACKPINK,JUMP,26,spotify:track:5H1sKFMzDeMtXwND3V6hRY,YG Entertainment,3,27,23,161360,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,BLACKPINK,0
