trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,"21 Savage, Drake",MR RECOUP,178,spotify:track:38iBHQloAVZNpKsFVU8aAd,"Slaughter Gang, LLC/Epic Records",178,-1,1,204133,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,21 Savage,0
0,0,6uff,PRODIGY,200,spotify:track:5qNHVaV0ud0vFer0xnc2AZ,Get A Stack Records / The Orban Company,102,-1,7,192340,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,6uff,0
0,0,Adekunle Gold,Many People,99,spotify:track:0mfLbIDRH9YJfU3wComro7,Believe UK,40,95,11,283958,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Adekunle Gold,0
0,1,"Adekunle Gold, Zinoleesky",Party No Dey Stop (with Zinoleesky),137,spotify:track:49ytLGEP5S20N3AhB5YuwJ,Adekunle Gold PS/ Def Jam,1,152,123,248323,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Adekunle Gold,0
0,0,"Al Xapo, Benzoo, EeQue",SNOKONOKO,9,spotify:track:1F6HMPZd1izYjwGoFsh7Ny,2025 HGA/LVRN Records (Love Renaissance),9,20,3,1053715,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Al Xapo,1
0,0,Alex Warren,Ordinary,147,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Atlantic Records,47,143,38,235099,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Alex Warren,0
0,0,Asake,2:30,95,spotify:track:1n3JvneU8FhfldfTQ8BdZs,YBNL Nation / EMPIRE,1,115,124,287696,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,1,Asake,Joha,160,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,YBNL Nation / EMPIRE,1,164,115,222744,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,2,Asake,Lonely At The Top,68,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,YBNL Nation / EMPIRE,1,77,131,368417,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,3,Asake,Mentally,91,spotify:track:6IEYlownuHoYdpMikoyj58,YBNL Nation / EMPIRE,10,106,68,300863,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,4,Asake,Nzaza,24,spotify:track:0VjzaXw81JQJM61pzWwP8b,YBNL Nation / EMPIRE,6,25,142,775945,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,5,Asake,Ototo,58,spotify:track:0CUJV0Hh512Ns7U2yGflqt,YBNL Nation / EMPIRE,7,56,170,406327,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,6,Asake,Remember,18,spotify:track:0Q1bMs3xLQiDEeaneehdxv,YBNL Nation / EMPIRE,12,18,131,836041,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,7,Asake,Terminator,65,spotify:track:5ycsqezujKrwviU3VFhci1,YBNL Nation / EMPIRE,1,74,174,382969,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,8,Asake,WHY LOVE,165,spotify:track:4uLBwGnr1U3ctcDZrnVEgK,Giran Republic,3,139,45,219486,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,9,Asake,What's Up My G,164,spotify:track:2LjZYCOYldHWhzQ1G5XJ81,YBNL Nation / EMPIRE,10,191,29,220012,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
0,10,Asake,Worldwide,194,spotify:track:3n7kzSJ246VvIe4lRmxV9X,YBNL Nation / EMPIRE,7,-1,58,193292,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Asake,0
