trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,*NSYNC,"Merry Christmas, Happy Holidays",113,spotify:track:15coTBAzEN1bOeipoNDZAR,RCA Records Label,43,147,26,2958144,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,*NSYNC,0
0,0,21 Savage,WHERE YOU FROM,149,spotify:track:4PRDNZEGrKlPj6Y0hMFdN8,"Slaughter Gang, LLC/Epic Records",149,-1,1,2636748,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,21 Savage,0
0,1,"21 Savage, Drake",MR RECOUP,36,spotify:track:38iBHQloAVZNpKsFVU8aAd,"Slaughter Gang, LLC/Epic Records",36,-1,1,4989802,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,21 Savage,0
0,2,"21 Savage, Young Nudy",STEPBROTHERS,197,spotify:track:0w88s8d4hqv3jVYBwq7led,"Slaughter Gang, LLC/Epic Records",197,-1,1,2329360,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,21 Savage,0
0,0,Addison Rae,Fame is a Gun,190,spotify:track:7B3BwNecBhKvNwSMOOl7Gk,Columbia,32,-1,7,2367021,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Addison Rae,0
0,0,Alex Warren,Ordinary,31,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Atlantic Records,1,25,45,5426177,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Alex Warren,0
0,0,Andy Williams,Happy Holiday / The Holiday Season,79,spotify:track:1Wf14bTyb6UeKojy8ykPYm,Columbia,54,99,22,3416348,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Andy Williams,0
0,1,Andy Williams,It's the Most Wonderful Time of the Year,5,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Columbia,4,7,61,10011455,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Andy Williams,1
0,0,Arctic Monkeys,505,63,spotify:track:58ge6dfP91o9oXMzq3XkIS,Domino Recording Co,18,55,256,3842907,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Arctic Monkeys,0
0,0,Ariana Grande,Last Christmas,169,spotify:track:5xDrO9DEDJGUQGfyoHvgDJ,Universal Records,145,-1,3,2454143,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ariana Grande,0
0,1,Ariana Grande,Santa Tell Me,8,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Universal Records,5,8,61,9377055,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ariana Grande,1
0,0,Bad Bunny,BAILE INoLVIDABLE,130,spotify:track:2lTm559tuIvatlT1u0JYG2,Rimas Entertainment LLC.,2,119,50,2805616,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bad Bunny,0
0,1,Bad Bunny,DtMF,91,spotify:track:3sK8wGT43QFpWrvNQsrQya,Rimas Entertainment LLC.,1,79,50,3172165,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bad Bunny,0
0,2,Bad Bunny,NUEVAYoL,174,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Rimas Entertainment LLC.,3,161,49,2428277,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bad Bunny,0
0,0,Band Aid,Do They Know It's Christmas? - 1984 Version,75,spotify:track:4Yg2w0P29BBBMixyeNjDtj,EMI,19,103,41,3469931,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Band Aid,0
0,0,Benson Boone,Beautiful Things,124,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,"Night Street Records, Inc./Warner Records Inc.",1,98,100,2833246,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Benson Boone,0
0,1,Benson Boone,Mystical Magical,185,spotify:track:2ipIPsgrgd0j2beDf4Ki70,"Night Street Records, Inc./Warner Records Inc.",7,145,34,2381047,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Benson Boone,0
0,0,"BigXthaPlug, Ella Langley",Hell At Night (feat. Ella Langley),129,spotify:track:6r1lboTadi5swMquaAWDzh,BigXthaPlug under exclusive license to UnitedMasters LLC,19,126,18,2816056,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,2,BigXthaPlug,0
0,0,Billie Eilish,BIRDS OF A FEATHER,73,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Darkroom/Interscope Records,2,61,83,3515083,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Billie Eilish,0
0,1,Billie Eilish,WILDFLOWER,141,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Darkroom/Interscope Records,11,94,83,2714897,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Billie Eilish,0
0,0,Bing Crosby,Do You Hear What I Hear? - Remastered 2006,58,spotify:track:4EZUcj7c8n9pWIwHqN0DoH,Capitol Records,48,66,37,3973657,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bing Crosby,0
0,1,Bing Crosby,Winter Wonderland - Remastered 2006,89,spotify:track:5VEuraNSVxMTzDTtrmL3lQ,Capitol Records,48,124,38,3196854,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bing Crosby,0
0,2,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,19,spotify:track:3XsaSIPWvM61RIFfeb0BBR,Geffen,5,18,52,7051235,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bing Crosby,0
0,3,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka (Merry Christmas),26,spotify:track:04vLj9QUXoKdRlsp3gkURo,Geffen,26,30,31,5699914,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bing Crosby,0
0,0,Bobby Helms,Jingle Bell Rock,2,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Geffen,2,2,67,12615577,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bobby Helms,1
0,0,Brenda Lee,Rockin' Around The Christmas Tree,1,spotify:track:2EjXfH91m7f8HiJN1yQg97,MCA Nashville,1,1,67,14632027,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Brenda Lee,1
0,0,Britney Spears,My Only Wish (This Year),98,spotify:track:0YWUHZPJVg4iujddsJDwhM,Jive,81,127,16,3091986,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Britney Spears,0
0,0,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",71,spotify:track:6s2wpWPFPAgKg2LXxi1Oee,NITRON concepts,38,65,27,3555610,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bruce Springsteen,0
0,0,Burl Ives,A Holly Jolly Christmas,28,spotify:track:3U0K5zLGVVIHoAXQolRGEP,UME - Global Clearing House,5,24,50,5680722,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Burl Ives,0
0,1,Burl Ives,Rudolph The Red-Nosed Reindeer,48,spotify:track:5ifaU6z8d9lCHRkGRdEKNk,UME - Global Clearing House,37,42,33,4491208,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Burl Ives,0
0,0,Chappell Roan,"Good Luck, Babe!",147,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan PS/ Island,1,115,89,2646850,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Chappell Roan,0
0,1,Chappell Roan,Pink Pony Club,106,spotify:track:6393yGahSJ9slVdOwSxOVR,Chappell Roan PS/ Island,8,87,80,2989390,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Chappell Roan,0
