trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,"21 Savage, Drake",MR RECOUP,92,spotify:track:38iBHQloAVZNpKsFVU8aAd,"Slaughter Gang, LLC/Epic Records",92,-1,1,199544,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,21 Savage,0
0,0,AMA AK47,MAQONDANA NGQO,64,spotify:track:7jrFNYsRWhVELrN5yaQf6E,JAIVA ZIMNIKE MUSIC,64,141,2,235869,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,AMA AK47,0
0,0,"Al Xapo, Benzoo, EeQue",SNOKONOKO,4,spotify:track:1F6HMPZd1izYjwGoFsh7Ny,2025 HGA/LVRN Records (Love Renaissance),4,4,3,959399,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Al Xapo,1
0,0,Alex Warren,Ordinary,58,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Atlantic Records,7,48,45,245580,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Alex Warren,0
0,0,"BL Zero, Shebeshxt, Nova sa style, Naqua SA, REAL K MFANAKOTA, Moode, Tumi",Lerato Le Fedile,35,spotify:track:6T1bDGKGCNArTlCm74R0gY,Topless Fam.,31,31,6,333749,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,BL Zero,0
0,0,Babalwa M,Muzi Ka Baba,140,spotify:track:4HaPEehluTkVSrtFlHIez3,Babalwa M / EMPIRE,70,74,3,157200,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Babalwa M,0
0,1,"Babalwa M, JAZZWRLD, Thukuthela, GL_Ceejay",Amaphutha,22,spotify:track:6WAgkWtdNWXoZf8ZFkH5j1,Babalwa M / EMPIRE,14,14,3,442337,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Babalwa M,0
0,0,Benson Boone,Beautiful Things,191,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,"Night Street Records, Inc./Warner Records Inc.",4,147,100,129044,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Benson Boone,0
0,0,"BigBaller_Ceo, Beekay da deejay, Sia_TheBee",Mexico,49,spotify:track:0aw1BqWexQItJeSH7xFxKl,Big Baller Entertainment,32,47,8,274114,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,BigBaller_Ceo,0
0,0,Billie Eilish,BIRDS OF A FEATHER,179,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Darkroom/Interscope Records,5,139,83,133407,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Billie Eilish,0
0,1,Billie Eilish,ocean eyes,181,spotify:track:2uIX8YMNjGMD7441kqyyNU,Darkroom,75,148,188,131992,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Billie Eilish,0
0,0,"Blacks Jnr, Dankie Boi, Goldmax, TNS",Shona phansi (Amnandi Amagwinya),194,spotify:track:3TcEmWTCp3OMfrEZ5CW87E,Dankie Boi Music,125,175,8,128294,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Blacks Jnr,0
0,0,Bukzin Keyz,Bafoo 10.9,150,spotify:track:2VaB7uLlicrmfMOO6WoRws,Universal Music (Pty) Ltd.,17,99,24,146945,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bukzin Keyz,0
0,0,"CIZA, JAZZWRLD, Thukuthela",Isaka (6am),24,spotify:track:7c5uGV9Rys18JP2570ykTu,LVRN Records (Love Renaissance),1,25,36,425212,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,CIZA,0
0,0,"Cevuzile, Shenge Wasehlalankosi",Awung'shuthele,173,spotify:track:0hFdzKc8lIWVV4p8pHQFhW,Insika Yethonga,79,-1,13,135523,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Cevuzile,0
0,0,Chris Brown,Residuals,122,spotify:track:6txAWGckgEGJIhLjhNdtE9,Chris Brown Entertainment/RCA Records,10,86,84,167665,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Chris Brown,0
0,0,"DJ Call Me, Shebeshxt, Naqua SA, Makhadzi Entertainment, Natiey Lepaka",Ke Chaba Boloi,198,spotify:track:6KQKbMf6lTbVqGPZU14cnP,Call Me Productions,198,-1,1,124251,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,DJ Call Me,0
0,0,"DJ Lag, Zee Nxumalo, K.C Driller",NgyaSindelwa,74,spotify:track:6PUTXnLSGYwKdtSmbTTHXa,Black Major x Ice Drop,74,95,2,227136,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,DJ Lag,0
0,0,"DJ Maphorisa, Xduppy, Enny Man Da Guitar, Focalistic, Ricky Lenyora, Uncool MC, Mellow & Sleazy","Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)",166,spotify:track:659qsb8NZaTuNubJDk1gaD,New Money Gang Records,19,169,38,139514,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,4,DJ Maphorisa,0
0,1,"DJ Maphorisa, Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter","Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)",12,spotify:track:62auSQwzIlyVuqUsxd4w63,New Money Gang Records,3,10,38,610577,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,3,DJ Maphorisa,0
0,0,"DJ Tira, Pcee, Campmasters, General C'mamane",Awungazi,40,spotify:track:5jpJFXVOC8bUfPk94CGEl7,Afrotainment,34,53,10,293399,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,DJ Tira,0
