End Date,track_name,rank
2017/02/16,Thumbs,190
2017/02/23,Thumbs,180
2017/03/02,Thumbs,172
2017/03/09,Thumbs,190
2017/03/16,Thumbs,169
2017/03/23,Thumbs,169
2017/03/30,Thumbs,162
2017/04/06,Thumbs,159
2017/08/03,Why,175
2017/08/10,Why,160
2017/08/17,Why,150
2017/08/24,Why,151
2017/08/31,Why,171
2017/09/07,Why,164
2017/09/14,Why,175
2017/09/21,Why,177
2018/04/05,Alien,196
2018/04/12,Alien,177
2018/04/19,Alien,158
2018/04/26,Alien,189
2021/01/28,Skin,50
2021/02/04,Skin,60
2021/02/11,Skin,81
2021/02/18,Skin,117
2021/02/25,Skin,165
2023/01/19,Nonsense,44
2023/01/26,Nonsense,17
2023/02/02,Nonsense,63
2023/02/09,Nonsense,70
2023/02/16,Nonsense,76
2023/02/23,Nonsense,84
2023/03/02,Nonsense,93
2023/03/09,Nonsense,90
2023/03/16,Nonsense,86
2023/03/23,Nonsense,91
2023/03/30,Nonsense,110
2023/04/06,Nonsense,90
2023/04/13,Nonsense,93
2023/04/20,Nonsense,113
2023/04/27,Nonsense,130
2023/05/04,Nonsense,128
2023/05/11,Nonsense,131
2023/05/18,Nonsense,122
2023/05/25,Nonsense,135
2023/06/01,Nonsense,123
2023/06/08,Nonsense,149
2023/06/15,Nonsense,148
2023/06/22,Nonsense,147
2023/06/29,Nonsense,164
2023/07/06,Nonsense,146
2023/07/13,Nonsense,162
2023/07/20,Nonsense,123
2023/07/27,Nonsense,94
2023/08/03,Nonsense,109
2023/08/10,Nonsense,102
2023/08/17,Nonsense,107
2023/08/24,Nonsense,106
2023/08/31,Nonsense,102
2023/09/07,Nonsense,88
2023/09/14,Nonsense,92
2023/09/21,Nonsense,78
2023/09/28,Nonsense,98
2023/10/05,Nonsense,87
2023/10/12,Nonsense,123
2023/10/19,Nonsense,126
2023/10/26,Nonsense,110
2023/11/02,Nonsense,130
2023/11/09,Nonsense,117
2023/11/16,Nonsense,103
2023/11/23,Nonsense,99
2023/11/30,Nonsense,100
2023/12/07,Feather,153
2023/12/07,Nonsense,135
2023/12/14,Feather,124
2023/12/14,Nonsense,144
2023/12/21,Feather,116
2023/12/21,Nonsense,167
2023/12/28,Feather,165
2024/01/04,Feather,67
2024/01/04,Nonsense,113
2024/01/11,Feather,47
2024/01/11,Nonsense,117
2024/01/18,Feather,44
2024/01/18,Nonsense,148
2024/01/25,Feather,34
2024/01/25,Nonsense,144
2024/02/01,Feather,43
2024/02/01,Nonsense,171
2024/02/08,Feather,63
2024/02/08,Nonsense,174
2024/02/15,Feather,71
2024/02/15,Nonsense,166
2024/02/22,Feather,54
2024/02/22,Nonsense,133
2024/02/29,Feather,52
2024/02/29,Nonsense,124
2024/03/07,Feather,51
2024/03/07,Nonsense,121
2024/03/14,Feather,58
2024/03/14,Nonsense,112
2024/03/21,Feather,49
2024/03/21,Nonsense,99
2024/03/28,Feather,63
2024/03/28,Nonsense,118
2024/04/04,Feather,68
2024/04/04,Nonsense,138
2024/04/11,Feather,49
2024/04/11,Nonsense,102
2024/04/18,Espresso,8
2024/04/18,Feather,46
2024/04/18,Nonsense,100
2024/04/25,Espresso,13
2024/04/25,Feather,92
2024/04/25,Nonsense,131
2024/05/02,Espresso,2
2024/05/02,Feather,62
2024/05/02,Nonsense,87
2024/05/09,Espresso,1
2024/05/09,Feather,64
2024/05/09,Nonsense,88
2024/05/16,Espresso,4
2024/05/16,Feather,68
2024/05/16,Nonsense,90
2024/05/23,Espresso,3
2024/05/23,Feather,71
2024/05/23,Nonsense,93
2024/05/30,Espresso,2
2024/05/30,Feather,72
2024/05/30,Nonsense,110
2024/06/06,Espresso,1
2024/06/06,Feather,76
2024/06/06,Nonsense,105
2024/06/13,Espresso,1
2024/06/13,Feather,66
2024/06/13,Nonsense,74
2024/06/13,Please Please Please,2
2024/06/20,Espresso,2
2024/06/20,Feather,43
2024/06/20,Nonsense,56
2024/06/20,Please Please Please,1
2024/06/27,Espresso,2
2024/06/27,Feather,40
2024/06/27,Nonsense,43
2024/06/27,Please Please Please,1
2024/07/04,Espresso,1
2024/07/04,Feather,49
2024/07/04,Nonsense,56
2024/07/04,Please Please Please,2
2024/07/11,Espresso,1
2024/07/11,Feather,67
2024/07/11,Nonsense,69
2024/07/11,Please Please Please,3
2024/07/18,Espresso,2
2024/07/18,Feather,84
2024/07/18,Nonsense,81
2024/07/18,Please Please Please,3
2024/07/25,Espresso,3
2024/07/25,Feather,87
2024/07/25,Nonsense,78
2024/07/25,Please Please Please,4
2024/08/01,Espresso,3
2024/08/01,Feather,103
2024/08/01,Nonsense,82
2024/08/01,Please Please Please,4
2024/08/08,Espresso,3
2024/08/08,Feather,128
2024/08/08,Nonsense,100
2024/08/08,Please Please Please,4
2024/08/15,Espresso,3
2024/08/15,Feather,143
2024/08/15,Nonsense,95
2024/08/15,Please Please Please,4
2024/08/22,Espresso,4
2024/08/22,Feather,142
2024/08/22,Nonsense,88
2024/08/22,Please Please Please,6
2024/08/29,Bed Chem,12
2024/08/29,Coincidence,28
2024/08/29,Dont Smile,50
2024/08/29,Dumb & Poetic,45
2024/08/29,Espresso,4
2024/08/29,Feather,117
2024/08/29,Good Graces,11
2024/08/29,Juno,23
2024/08/29,Lie To Girls,55
2024/08/29,Nonsense,72
2024/08/29,Please Please Please,3
2024/08/29,Sharpest Tool,25
2024/08/29,Slim Pickins,37
2024/08/29,Taste,6
2024/09/05,Bed Chem,9
2024/09/05,Coincidence,54
2024/09/05,Dont Smile,148
2024/09/05,Dumb & Poetic,138
2024/09/05,Espresso,5
2024/09/05,Feather,126
2024/09/05,Good Graces,21
2024/09/05,Juno,37
2024/09/05,Lie To Girls,193
2024/09/05,Nonsense,87
2024/09/05,Please Please Please,6
2024/09/05,Sharpest Tool,60
2024/09/05,Slim Pickins,88
2024/09/05,Taste,3
2024/09/12,Bed Chem,11
2024/09/12,Coincidence,113
2024/09/12,Espresso,5
2024/09/12,Feather,177
2024/09/12,Good Graces,41
2024/09/12,Juno,67
2024/09/12,Nonsense,110
2024/09/12,Please Please Please,7
2024/09/12,Sharpest Tool,150
2024/09/12,Taste,3
2024/09/19,Bed Chem,11
2024/09/19,Coincidence,167
2024/09/19,Espresso,5
2024/09/19,Feather,175
2024/09/19,Good Graces,57
2024/09/19,Juno,103
2024/09/19,Nonsense,113
2024/09/19,Please Please Please,8
2024/09/19,Taste,3
2024/09/26,Bed Chem,11
2024/09/26,Coincidence,198
2024/09/26,Espresso,5
2024/09/26,Feather,160
2024/09/26,Good Graces,70
2024/09/26,Juno,119
2024/09/26,Nonsense,103
2024/09/26,Please Please Please,7
2024/09/26,Taste,4
2024/10/03,Bed Chem,12
2024/10/03,Coincidence,190
2024/10/03,Espresso,6
2024/10/03,Feather,143
2024/10/03,Good Graces,58
2024/10/03,Juno,64
2024/10/03,Nonsense,93
2024/10/03,Please Please Please,9
2024/10/03,Taste,5
2024/10/10,Bed Chem,12
2024/10/10,Espresso,5
2024/10/10,Feather,164
2024/10/10,Good Graces,77
2024/10/10,Juno,64
2024/10/10,Nonsense,100
2024/10/10,Please Please Please,9
2024/10/10,Taste,4
2024/10/17,Bed Chem,15
2024/10/17,Espresso,5
2024/10/17,Feather,170
2024/10/17,Good Graces,96
2024/10/17,Juno,66
2024/10/17,Nonsense,100
2024/10/17,Please Please Please,10
2024/10/17,Taste,4
2024/10/24,Bed Chem,22
2024/10/24,Espresso,7
2024/10/24,Feather,186
2024/10/24,Good Graces,128
2024/10/24,Juno,80
2024/10/24,Nonsense,102
2024/10/24,Please Please Please,15
2024/10/24,Taste,6
2024/10/31,Bed Chem,24
2024/10/31,Espresso,7
2024/10/31,Good Graces,144
2024/10/31,Juno,75
2024/10/31,Nonsense,124
2024/10/31,Please Please Please,19
2024/10/31,Taste,6
2024/11/07,Bed Chem,30
2024/11/07,Espresso,9
2024/11/07,Good Graces,161
2024/11/07,Juno,81
2024/11/07,Nonsense,130
2024/11/07,Please Please Please,17
2024/11/07,Taste,6
2024/11/14,Bed Chem,32
2024/11/14,Espresso,9
2024/11/14,Good Graces,182
2024/11/14,Juno,78
2024/11/14,Nonsense,130
2024/11/14,Please Please Please,15
2024/11/14,Taste,8
2024/11/21,Bed Chem,31
2024/11/21,Espresso,11
2024/11/21,Juno,69
2024/11/21,Nonsense,129
2024/11/21,Please Please Please,18
2024/11/21,Taste,8
2024/11/28,Bed Chem,57
2024/11/28,Espresso,16
2024/11/28,Juno,79
2024/11/28,Nonsense,133
2024/11/28,Please Please Please,32
2024/11/28,Taste,18
2024/12/05,Bed Chem,78
2024/12/05,Espresso,15
2024/12/05,Juno,116
2024/12/05,Nonsense,151
2024/12/05,Please Please Please,34
2024/12/05,Taste,23
2024/12/12,A Nonsense Christmas,93
2024/12/12,Bed Chem,84
2024/12/12,Espresso,12
2024/12/12,Juno,128
2024/12/12,Nonsense,144
2024/12/12,Please Please Please,34
2024/12/12,Taste,25
2024/12/19,A Nonsense Christmas,58
2024/12/19,Bed Chem,104
2024/12/19,Espresso,17
2024/12/19,Juno,166
2024/12/19,Nonsense,158
2024/12/19,Please Please Please,38
2024/12/19,Taste,25
2024/12/26,A Nonsense Christmas,37
2024/12/26,Bed Chem,153
2024/12/26,Espresso,36
2024/12/26,Please Please Please,69
2024/12/26,Taste,60
2025/01/02,Bed Chem,74
2025/01/02,Espresso,6
2025/01/02,Juno,137
