collab_artist,number of times,main_artist
engo Flow,3,Bad Bunny
Arcngel,2,Bad Bunny
Duki,1,Bad Bunny
Myke Towers,1,Bad Bunny
ABRA,1,Bad Bunny
Chencho Corleone,1,Bad Bunny
Jhay Cortez,1,Bad Bunny
Gabriela,1,Bad Bunny
Don Omar,1,Bad Bunny
Mambo Kingz,1,Bad Bunny
Omar Courtz,1,Bad Bunny
Sech,1,Bad Bunny
Yaviah,1,Bad Bunny
J Balvin,1,Bad Bunny
RaiNao,1,Bad Bunny
The Maras,1,Bad Bunny
Kendo Kaponi,1,Bad Bunny
Nicky Jam,1,Bad Bunny
YOVNGCHIMI,1,Bad Bunny
ROSALA,1,Bad Bunny
Jowell & Randy,1,Bad Bunny
Daddy Yankee,1,Bad Bunny
Feid,1,Bad Bunny
Pablo Chill,1,Bad Bunny
DJ Luian,1,Bad Bunny
Zion & Lennox,1,Bad Bunny
Prince Royce,1,Bad Bunny
Young Miko,1,Bad Bunny
Dei V,1,Bad Bunny
Bomba Estreo,1,Bad Bunny
Buscabulla,1,Bad Bunny
Luar La L,1,Bad Bunny
Rauw Alejandro,1,Bad Bunny
Anuel AA,1,Bad Bunny
Eladio Carrion,1,Bad Bunny
Bryant Myers,1,Bad Bunny
De La Ghetto,1,Bad Bunny
Chuwi,1,Bad Bunny
Jhayco,1,Bad Bunny
Tony Dize,1,Bad Bunny
Mora,1,Bad Bunny
Los Pleneros de la Cresta,1,Bad Bunny
Tainy,1,Bad Bunny
E,1,Bad Bunny
Drake,1,Bad Bunny
