collab_artist,number of times,main_artist
Dua Lipa,2,Calvin Harris
Funk Wav,2,Calvin Harris
Young Thug,2,Calvin Harris
PARTYNEXTDOOR,2,Calvin Harris
Sam Smith,2,Calvin Harris
DRAM,1,Calvin Harris
ScHoolboy Q,1,Calvin Harris
Ariana Grande,1,Calvin Harris
Halsey,1,Calvin Harris
Frank Ocean,1,Calvin Harris
A,1,Calvin Harris
Pharrell Williams,1,Calvin Harris
Jessie Reyez,1,Calvin Harris
Migos,1,Calvin Harris
Justin Timberlake,1,Calvin Harris
Nicki Minaj,1,Calvin Harris
Travis Scott,1,Calvin Harris
Khalid,1,Calvin Harris
Trak,1,Calvin Harris
Ellie Goulding,1,Calvin Harris
The Weeknd,1,Calvin Harris
Tom Grennan,1,Calvin Harris
Big Sean,1,Calvin Harris
Kehlani,1,Calvin Harris
Katy Perry,1,Calvin Harris
Rag'n'Bone Man,1,Calvin Harris
Future,1,Calvin Harris
Lil Yachty,1,Calvin Harris
Rihanna,1,Calvin Harris
