collab_artist,number of times,main_artist
John Legend,2,DJ Khaled
Drake,2,DJ Khaled
Future,2,DJ Khaled
Lil Wayne,2,DJ Khaled
SZA,2,DJ Khaled
Post Malone,2,DJ Khaled
Chance the Rapper,1,DJ Khaled
Rihanna,1,DJ Khaled
Quavo,1,DJ Khaled
Cardi B,1,DJ Khaled
Rick Ross,1,DJ Khaled
Z,1,DJ Khaled
Nipsey Hussle,1,DJ Khaled
Chris Brown,1,DJ Khaled
Lil Baby,1,DJ Khaled
Bryson Tiller,1,DJ Khaled
Fridayy,1,DJ Khaled
Travis Scott,1,DJ Khaled
Lil Durk,1,DJ Khaled
Jeremih,1,DJ Khaled
Megan Thee Stallion,1,DJ Khaled
JAY,1,DJ Khaled
Calvin Harris,1,DJ Khaled
DaBaby,1,DJ Khaled
Big Sean,1,DJ Khaled
Beyonc,1,DJ Khaled
21 Savage,1,DJ Khaled
Justin Bieber,1,DJ Khaled
