collab_artist,number of times,main_artist
Sandro Cavazza,2,Kygo
Tina Turner,1,Kygo
Whitney Houston,1,Kygo
Imagine Dragons,1,Kygo
Sasha Alex Sloan,1,Kygo
Avicii,1,Kygo
X Ambassadors,1,Kygo
OneRepublic,1,Kygo
Zara Larsson,1,Kygo
Ava Max,1,Kygo
Valerie Broussard,1,Kygo
Justin Jesso,1,Kygo
Selena Gomez,1,Kygo
Maty Noyes,1,Kygo
Rita Ora,1,Kygo
Kim Petras,1,Kygo
Miguel,1,Kygo
Ellie Goulding,1,Kygo
Donna Summer,1,Kygo
The Night Game,1,Kygo
Zoe Wees,1,Kygo
Zak Abel,1,Kygo
Tyga,1,Kygo
Chelsea Cutler,1,Kygo
