collab_artist,number of times,main_artist
Swae Lee,3,Metro Boomin
Travis Scott,3,Metro Boomin
21 Savage,3,Metro Boomin
Don Toliver,3,Metro Boomin
Young Thug,2,Metro Boomin
A$AP Rocky,2,Metro Boomin
Wizkid,2,Metro Boomin
Future,2,Metro Boomin
Mustafa,1,Metro Boomin
Gunna,1,Metro Boomin
Kodak Black,1,Metro Boomin
Roisee,1,Metro Boomin
NAV,1,Metro Boomin
A Boogie Wit da Hoodie,1,Metro Boomin
Offset,1,Metro Boomin
Lil Uzi Vert,1,Metro Boomin
Coi Leray,1,Metro Boomin
John Legend,1,Metro Boomin
Chris Brown,1,Metro Boomin
Takeoff,1,Metro Boomin
James Blake,1,Metro Boomin
Toian,1,Metro Boomin
The Weeknd,1,Metro Boomin
BEAM,1,Metro Boomin
Young Nudy,1,Metro Boomin
Lil Wayne,1,Metro Boomin
Drake,1,Metro Boomin
