collab_artist,number of times,main_artist
Roddy Ricch,2,Post Malone
Nicki Minaj,1,Post Malone
Gunna,1,Post Malone
Halsey,1,Post Malone
Young Thug,1,Post Malone
SZA,1,Post Malone
Luke Combs,1,Post Malone
Morgan Wallen,1,Post Malone
Meek Mill,1,Post Malone
YG,1,Post Malone
Ty Dolla $ign,1,Post Malone
Lil Baby,1,Post Malone
Travis Scott,1,Post Malone
G,1,Post Malone
Chris Stapleton,1,Post Malone
21 Savage,1,Post Malone
Eazy,1,Post Malone
Ozzy Osbourne,1,Post Malone
The Kid LAROI,1,Post Malone
Swae Lee,1,Post Malone
Fleet Foxes,1,Post Malone
Doja Cat,1,Post Malone
Tim McGraw,1,Post Malone
The Weeknd,1,Post Malone
DaBaby,1,Post Malone
Tyga,1,Post Malone
Blake Shelton,1,Post Malone
Future,1,Post Malone
Quavo,1,Post Malone
