collab_artist,number of times,main_artist
Chencho Corleone,2,Rauw Alejandro
Farruko,2,Rauw Alejandro
Anuel AA,2,Rauw Alejandro
Lyanno,2,Rauw Alejandro
Mr. Naisgai,1,Rauw Alejandro
Bizarrap,1,Rauw Alejandro
Nicky Jam,1,Rauw Alejandro
Laura Pausini,1,Rauw Alejandro
Brray,1,Rauw Alejandro
Lunay,1,Rauw Alejandro
Dalex,1,Rauw Alejandro
J Balvin,1,Rauw Alejandro
NATTI NATASHA,1,Rauw Alejandro
Dmelo Flow,1,Rauw Alejandro
Baby Rasta,1,Rauw Alejandro
KEVVO,1,Rauw Alejandro
Camilo,1,Rauw Alejandro
Feid,1,Rauw Alejandro
Lenny Tavrez,1,Rauw Alejandro
Bryant Myers,1,Rauw Alejandro
Romeo Santos,1,Rauw Alejandro
Bad Bunny,1,Rauw Alejandro
