collab_artist,number of times,main_artist
Louane,1,The Chainsmokers
Lennon Stella,1,The Chainsmokers
ILLENIUM,1,The Chainsmokers
Phoebe Ryan,1,The Chainsmokers
Florida Georgia Line,1,The Chainsmokers
Halsey,1,The Chainsmokers
Coldplay,1,The Chainsmokers
Jhen Aiko,1,The Chainsmokers
5 Seconds of Summer,1,The Chainsmokers
Ty Dolla $ign,1,The Chainsmokers
blow,1,The Chainsmokers
Emily Warren,1,The Chainsmokers
Drew Love,1,The Chainsmokers
Kelsea Ballerini,1,The Chainsmokers
XYL,1,The Chainsmokers
Winona Oak,1,The Chainsmokers
Daya,1,The Chainsmokers
Bebe Rexha,1,The Chainsmokers
Kygo,1,The Chainsmokers
ROZES,1,The Chainsmokers
