collab_artist,number of times,main_artist
Playboi Carti,2,The Weeknd
Justice,1,The Weeknd
Gesaffelstein,1,The Weeknd
Ariana Grande,1,The Weeknd
JENNIE,1,The Weeknd
Young Thug,1,The Weeknd
ROSALA,1,The Weeknd
Madonna,1,The Weeknd
Rose Depp,1,The Weeknd
Travis Scott,1,The Weeknd
Lily,1,The Weeknd
A$AP Rocky,1,The Weeknd
Florence + The Machine,1,The Weeknd
Doja Cat,1,The Weeknd
Lana Del Rey,1,The Weeknd
Lil Wayne,1,The Weeknd
Future,1,The Weeknd
Kendrick Lamar,1,The Weeknd
Anitta,1,The Weeknd
Daft Punk,1,The Weeknd
Tyler,1,The Weeknd
The Creator,1,The Weeknd
