artist,number of times
,1
Ayanda Ntanzi,1
Ze2,1
Kelvin Momo,2
Beast,1
Myztro,1
Yallunder,1
Felo Le Tee,1
Dladla Mshunqisi,1
Daliwonga,3
Kamazu,1
Da Muziqal Chef,2
Black Motion,1
Mr. Brown,1
Kopzz Avenue,1
Mashudu,1
Msaki,1
Nia Pearl,3
Tman Xpress,1
KingTha,1
Dj Exit_sa,1
Tyler ICU,1
Mas Musiq,1
Dj Namandla,1
Nokwazi,2
Mhaw Keys,2
Busiswa,1
Howard,1
Toss,1
Vigro Deep,1
Leehleza,1
Spartz,1
Phila Dlozi,1
DJ Maphorisa,2
Aymos,2
Mlindo The Vocalist,2
Vyno Miller,1
Murumba Pitch,2
Samthing Soweto,2
Qwesta Kufet,1
Anzo,1
JaySax,1
XolaniGuitars,1
Bongza,1
Spirit Of Praise,1
Jon Delinger,1
Nicole Elocin,2
man,1
Dj Nsi,1
DJ Skelez,1
Makhadzi,1
Kamo Mphela,1
TRESOR,1
Simmy,1
Visca,1
Njelic,1
Scotts Maphuma,1
Sizwe Alakine,1
MaWhoo,1
Focalistic,1
Artwork Sounds,1
MDU aka TRP,2
Young Stunna,2
Nkosazana Daughter,3
Bontle Smith,1
Semi Tee,1
Umthakathi Kush,1
DJ Tira,1
Burna Boy,1
LeeArt,1
Stakev,2
Madumane,2
Xolani Guitar,1
Cassper Nyovest,3
WizKid,2
Mthunzi,3
Ami Faku,1
Xolani Guitars,1
Snowdeep,1
Nobuhle,2
Sha Sha,1
