artist,number of times
DJ Maphorisa,4
Nia Pearl,3
Nobuhle,3
Daliwonga,3
Nkosazana Daughter,3
Mas Musiq,2
Cassper Nyovest,2
Murumba Pitch,2
Felo Le Tee,2
MaWhoo,2
Kopzz Avenue,2
Focalistic,2
Mhaw Keys,2
Da Muziqal Chef,2
Mlindo The Vocalist,2
Samthing Soweto,2
Aymos,2
Mthunzi,2
WizKid,2
Stakev,2
Young Stunna,2
Mashudu,1
Nokwazi,1
Bontle Smith,1
Sha Sha,1
Kamo Mphela,1
Spartz,1
DJ Tira,1
Xolani Guitars,1
Busiswa,1
MDU aka TRP,1
JaySax,1
TRESOR,1
Howard,1
man,1
Dj Nsi,1
Visca,1
Qwesta Kufet,1
Msaki,1
Vyno Miller,1
Artwork Sounds,1
Black Motion,1
Myztro,1
Dladla Mshunqisi,1
Bongza,1
Sizwe Alakine,1
Kamazu,1
Makhadzi,1
Njelic,1
Xolani Guitar,1
DJ Skelez,1
Leehleza,1
Burna Boy,1
Snowdeep,1
XolaniGuitars,1
Beast,1
Simmy,1
Tyler ICU,1
Dj Namandla,1
Kelvin Momo,1
Madumane,1
Ze2,1
Mr. Brown,1
KingTha,1
Ami Faku,1
Dj Exit_sa,1
LeeArt,1
Umthakathi Kush,1
Toss,1
Semi Tee,1
Nicole Elocin,1
Yallunder,1
Phila Dlozi,1
Jon Delinger,1
