collab_artist,number of times,main_artist
Delilah Montagu,1,Black Coffee
Celeste,1,Black Coffee
Mondli Ngcobo,1,Black Coffee
Msaki,1,Black Coffee
Samthing Soweto,1,Black Coffee
Jozzy,1,Black Coffee
Tellaman,1,Black Coffee
Maxine Ashley,1,Black Coffee
Jinadu,1,Black Coffee
Pharrell Williams,1,Black Coffee
Una Rams,1,Black Coffee
Sabrina Claudio,1,Black Coffee
Diplo,1,Black Coffee
Usher,1,Black Coffee
DJ Angelo,1,Black Coffee
RY X,1,Black Coffee
Zhao,1,Black Coffee
Karyendasoul,1,Black Coffee
El Musician,1,Black Coffee
Sun,1,Black Coffee
David Guetta,1,Black Coffee
Elderbrook,1,Black Coffee
