collab_artist,number of times,main_artist
Abidoza,2,Cassper Nyovest
Windows 2000,1,Cassper Nyovest
Nadia Nakai,1,Cassper Nyovest
HHP,1,Cassper Nyovest
Zola 7,1,Cassper Nyovest
LuuDaDeejay,1,Cassper Nyovest
Legendary P,1,Cassper Nyovest
Mo Molemi,1,Cassper Nyovest
Anthony Hamilton,1,Cassper Nyovest
Tweezy,1,Cassper Nyovest
Tellaman,1,Cassper Nyovest
Apu Sebekedi,1,Cassper Nyovest
Samthing Soweto,1,Cassper Nyovest
WESTSIDE BOOGIE,1,Cassper Nyovest
Alie Keys,1,Cassper Nyovest
Kammu Dee,1,Cassper Nyovest
African Gospel Singers,1,Cassper Nyovest
Maglera Doe Boy,1,Cassper Nyovest
PROKID,1,Cassper Nyovest
Bas,1,Cassper Nyovest
Phantom Steeze,1,Cassper Nyovest
Khuli Chana,1,Cassper Nyovest
Boohle,1,Cassper Nyovest
Nobantu Vilakazi,1,Cassper Nyovest
DJ Lemonka,1,Cassper Nyovest
YoungstaCPT,1,Cassper Nyovest
Langa Mavuso,1,Cassper Nyovest
Towdee Mac,1,Cassper Nyovest
Tuks,1,Cassper Nyovest
Busiswa,1,Cassper Nyovest
RAYE,1,Cassper Nyovest
Frank Casino,1,Cassper Nyovest
