collab_artist,number of times,main_artist
Lil Wayne,2,Chris Brown
Nicki Minaj,1,Chris Brown
Drake,1,Chris Brown
Gunna,1,Chris Brown
Young Thug,1,Chris Brown
BLEU,1,Chris Brown
Davido,1,Chris Brown
Blxst,1,Chris Brown
H.E.R.,1,Chris Brown
Maeta,1,Chris Brown
Lil Baby,1,Chris Brown
Jack Harlow,1,Chris Brown
Lil Durk,1,Chris Brown
G,1,Chris Brown
Capella Grey,1,Chris Brown
Bryson Tiller,1,Chris Brown
Wizkid,1,Chris Brown
EST Gee,1,Chris Brown
Eazy,1,Chris Brown
Ella Mai,1,Chris Brown
WizKid,1,Chris Brown
Tyga,1,Chris Brown
Future,1,Chris Brown
Lojay,1,Chris Brown
Fivio Foreign,1,Chris Brown
Fridayy,1,Chris Brown
Ink,1,Chris Brown
Byron Messia,1,Chris Brown
Justin Bieber,1,Chris Brown
