collab_artist,number of times,main_artist
Eltee,1,DBN Gogo
Boontle RSA,1,DBN Gogo
Mpura,1,DBN Gogo
Felo Le Tee,1,DBN Gogo
Ceeka RSA,1,DBN Gogo
Pabi Cooper,1,DBN Gogo
Young Stunna,1,DBN Gogo
Optimist Music ZA,1,DBN Gogo
Eltonk SA,1,DBN Gogo
M.J,1,DBN Gogo
LeeMcKrazy,1,DBN Gogo
Mpho Spizzy,1,DBN Gogo
Kammu Dee,1,DBN Gogo
Dinho,1,DBN Gogo
Blaqnick & MasterBlaq,1,DBN Gogo
Tumelo_za,1,DBN Gogo
Musa Keys,1,DBN Gogo
Khalil Harrison,1,DBN Gogo
Koek Sista,1,DBN Gogo
Makhanj,1,DBN Gogo
Hi Levelz,1,DBN Gogo
MaWhoo,1,DBN Gogo
Tyler ICU,1,DBN Gogo
Ama Avenger,1,DBN Gogo
DJ Stopper,1,DBN Gogo
BoiBizza,1,DBN Gogo
QuayR Musiq,1,DBN Gogo
Xduppy,1,DBN Gogo
Stixx,1,DBN Gogo
TNK MusiQ,1,DBN Gogo
Lebza TheVillain,1,DBN Gogo
