collab_artist,number of times,main_artist
Moonchild Sanelly,2,DJ Maphorisa
Thatohatsi,2,DJ Maphorisa
Uncool MC,2,DJ Maphorisa
Mellow & Sleazy,2,DJ Maphorisa
Madumane,2,DJ Maphorisa
Scotts Maphuma,2,DJ Maphorisa
Xduppy,2,DJ Maphorisa
Kabza De Small,2,DJ Maphorisa
Visca,2,DJ Maphorisa
K.O,1,DJ Maphorisa
Busiswa,1,DJ Maphorisa
2woshortrsa,1,DJ Maphorisa
Tman Xpress,1,DJ Maphorisa
Kabelo Sings,1,DJ Maphorisa
TOSS,1,DJ Maphorisa
LeeMcKrazy,1,DJ Maphorisa
Shebeshxt,1,DJ Maphorisa
Mbuxx,1,DJ Maphorisa
Young Stunna,1,DJ Maphorisa
Distruction Boyz,1,DJ Maphorisa
Mfr Souls,1,DJ Maphorisa
Enny Man Da Guitar,1,DJ Maphorisa
Shaunmusiq,1,DJ Maphorisa
Samthing Soweto,1,DJ Maphorisa
Stompiiey,1,DJ Maphorisa
Zulu Mkhathini,1,DJ Maphorisa
Mpura,1,DJ Maphorisa
2woshort,1,DJ Maphorisa
Ftears,1,DJ Maphorisa
Tracy,1,DJ Maphorisa
Da Muziqal Chef,1,DJ Maphorisa
MaWhoo,1,DJ Maphorisa
DJ Tira,1,DJ Maphorisa
Nkosazana Daughter,1,DJ Maphorisa
Rude Boyz,1,DJ Maphorisa
Focalistic,1,DJ Maphorisa
Sir Trill,1,DJ Maphorisa
Ricky Lenyora,1,DJ Maphorisa
Sha Sha,1,DJ Maphorisa
Tyler ICU,1,DJ Maphorisa
Seun1401,1,DJ Maphorisa
Blxckie,1,DJ Maphorisa
Daliwonga,1,DJ Maphorisa
Mawhoo,1,DJ Maphorisa
Sly,1,DJ Maphorisa
Vigro Deep,1,DJ Maphorisa
Pcee,1,DJ Maphorisa
DJ Raybel,1,DJ Maphorisa
Mhaw Keys,1,DJ Maphorisa
Nokwazi,1,DJ Maphorisa
Sandy MRD,1,DJ Maphorisa
