collab_artist,number of times,main_artist
21 Savage,3,Drake
Travis Scott,2,Drake
Lil Durk,2,Drake
Ty Dolla $ign,2,Drake
Future,2,Drake
Lil Wayne,2,Drake
Rick Ross,2,Drake
SZA,2,Drake
Giveon,2,Drake
Sexyy Red,1,Drake
Chief Keef,1,Drake
Yeat,1,Drake
PARTYNEXTDOOR,1,Drake
Chris Brown,1,Drake
Teezo Touchdown,1,Drake
Lil Baby,1,Drake
Young Thug,1,Drake
Bad Bunny,1,Drake
Quavo,1,Drake
James Fauntleroy,1,Drake
Z,1,Drake
Michael Jackson,1,Drake
Tems,1,Drake
Kyla,1,Drake
Static Major,1,Drake
Yebba,1,Drake
Wizkid,1,Drake
J. Cole,1,Drake
Playboi Carti,1,Drake
Project Pat,1,Drake
WizKid,1,Drake
JAY,1,Drake
Sosa Geek,1,Drake
Central Cee,1,Drake
Lil Yachty,1,Drake
Fivio Foreign,1,Drake
Kid Cudi,1,Drake
