collab_artist,number of times,main_artist
Myztro,2,Felo Le Tee
Scotts Maphuma,2,Felo Le Tee
Dj Motee,1,Felo Le Tee
Mpura,1,Felo Le Tee
Djy Biza,1,Felo Le Tee
Turnupkiid,1,Felo Le Tee
MDU aka TRP,1,Felo Le Tee
Kabelo Sings,1,Felo Le Tee
TOSS,1,Felo Le Tee
LeeMcKrazy,1,Felo Le Tee
Keynote,1,Felo Le Tee
Toss,1,Felo Le Tee
Madumane,1,Felo Le Tee
L4desh,1,Felo Le Tee
Kabza De Small,1,Felo Le Tee
Thabza Tee,1,Felo Le Tee
Daliwonga,1,Felo Le Tee
DJ Maphorisa,1,Felo Le Tee
Visca,1,Felo Le Tee
Massive95k,1,Felo Le Tee
SjavasDaDeejay,1,Felo Le Tee
Uncle Waffles,1,Felo Le Tee
Nkulee501,1,Felo Le Tee
Focalistic,1,Felo Le Tee
Mellow & Sleazy,1,Felo Le Tee
Soulful Disciple,1,Felo Le Tee
