collab_artist,number of times,main_artist
M.J,3,Focalistic
Thama Tee,3,Focalistic
Mellow & Sleazy,2,Focalistic
MaWhoo,2,Focalistic
Shaunmusiq,2,Focalistic
Madumane,2,Focalistic
Eeque,2,Focalistic
Xduppy,2,Focalistic
Reece Madlisa,2,Focalistic
Moonchild Sanelly,1,Focalistic
Semi Tee,1,Focalistic
Ftears,1,Focalistic
Sims Noreng,1,Focalistic
Pabi Cooper,1,Focalistic
Davido,1,Focalistic
Lady Du,1,Focalistic
MDU aka TRP,1,Focalistic
Enny Man Da Guitar,1,Focalistic
Major League Djz,1,Focalistic
Virgo Deep,1,Focalistic
Mr JazziQ,1,Focalistic
Vigro Deep,1,Focalistic
Riky Rick,1,Focalistic
Kabza De Small,1,Focalistic
DJ Maphorisa,1,Focalistic
Bongza,1,Focalistic
The Lowkeys,1,Focalistic
EeQue,1,Focalistic
Ch'cco,1,Focalistic
Myztro,1,Focalistic
