collab_artist,number of times,main_artist
Bastille,1,Marshmello
CHVRCHES,1,Marshmello
Juice WRLD,1,Marshmello
Halsey,1,Marshmello
YUNGBLUD,1,Marshmello
A Day To Remember,1,Marshmello
Chris Brown,1,Marshmello
blackbear,1,Marshmello
Usher,1,Marshmello
Leah Culver,1,Marshmello
Demi Lovato,1,Marshmello
Juicy J,1,Marshmello
Roddy Ricch,1,Marshmello
Brent Faiyaz,1,Marshmello
Marie,1,Marshmello
Tyga,1,Marshmello
Jonas Brothers,1,Marshmello
Anne,1,Marshmello
Imanbek,1,Marshmello
Kane Brown,1,Marshmello
Khalid,1,Marshmello
James Arthur,1,Marshmello
