collab_artist,number of times,main_artist
Lil Wayne,3,Nicki Minaj
Drake,2,Nicki Minaj
J. Cole,1,Nicki Minaj
Ariana Grande,1,Nicki Minaj
Lil Uzi Vert,1,Nicki Minaj
Labrinth,1,Nicki Minaj
Skillibeng,1,Nicki Minaj
Lil Baby,1,Nicki Minaj
G Herbo,1,Nicki Minaj
Aqua,1,Nicki Minaj
Foxy Brown,1,Nicki Minaj
Bantu,1,Nicki Minaj
Eminem,1,Nicki Minaj
PTAF,1,Nicki Minaj
Tate Kobang,1,Nicki Minaj
The Weeknd,1,Nicki Minaj
Anuel AA,1,Nicki Minaj
Tasha Cobbs Leonard,1,Nicki Minaj
Future,1,Nicki Minaj
Lourdiz,1,Nicki Minaj
Ice Spice,1,Nicki Minaj
Swae Lee,1,Nicki Minaj
