collab_artist,number of times,main_artist
Bryson Tiller,1,Summer Walker
NO1,1,Summer Walker
A Boogie Wit da Hoodie,1,Summer Walker
Ciara,1,Summer Walker
SZA,1,Summer Walker
JT,1,Summer Walker
The Neptunes,1,Summer Walker
Omarion,1,Summer Walker
PARTYNEXTDOOR,1,Summer Walker
Pharrell Williams,1,Summer Walker
Jhen Aiko,1,Summer Walker
Lil Durk,1,Summer Walker
Usher,1,Summer Walker
Drake,1,Summer Walker
J. Cole,1,Summer Walker
NOAH,1,Summer Walker
City Girls,1,Summer Walker
6LACK,1,Summer Walker
Ari Lennox,1,Summer Walker
Childish Gambino,1,Summer Walker
Cardi B,1,Summer Walker
