collab_artist,number of times,main_artist
Tumelo_za,3,Tyler ICU
LeeMcKrazy,2,Tyler ICU
Tyrondee,2,Tyler ICU
Khanyisa,2,Tyler ICU
Ceeka RSA,2,Tyler ICU
Al xapo,2,Tyler ICU
DJ Maphorisa,2,Tyler ICU
Tyrone Dee,2,Tyler ICU
Tman Xpress,2,Tyler ICU
M.J,1,Tyler ICU
Silas Africa,1,Tyler ICU
Nandipha808,1,Tyler ICU
Nicole Elocin,1,Tyler ICU
TOSS,1,Tyler ICU
Young Stunna,1,Tyler ICU
Sweetsher,1,Tyler ICU
Al Xapo,1,Tyler ICU
Jay Sax,1,Tyler ICU
JaySax,1,Tyler ICU
Masterpiece YVK,1,Tyler ICU
Kabza De Small,1,Tyler ICU
Freddy K,1,Tyler ICU
TyroneDee,1,Tyler ICU
Sjavasdadeejayj,1,Tyler ICU
Tiiger,1,Tyler ICU
Visca,1,Tyler ICU
SjavasDaDeejay,1,Tyler ICU
Sir Trill,1,Tyler ICU
Nkosazana Daughter,1,Tyler ICU
Chley Nkosi,1,Tyler ICU
