main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
Kabza De Small,Piano Hub,"","","","","","",107529125
Kelvin Momo,Kelvin Momo Productions,"","","","","","",82246007
Billie Eilish,Darkroom,Interscope Records,"","","","","",54498849
Drake,OVO,"","","","","","",48526507
Chris Brown,Chris Brown Entertainment,RCA Records,"","","","","",48260615
SZA,Top Dawg Entertainment,RCA Records,"","","","","",45487788
Mthandeni SK,Mthandeni Music Production,"","","","","","",42541427
DJ Stokie,Universal Music (Pty) Ltd.,"","","","","","",40926766
Dlala Thukzin,Dlala Records (PTY) Ltd,"","","","","","",39008316
Wanitwa Mos,Wanitwa Mos Entertainment,"","","","","","",37384077
Lwah Ndlunkulu,Nkabi Records,"","","","","","",35545275
Bryson Tiller,TrapSoul,RCA Records,"","","","","",34728154
Mellow & Sleazy,Sound African Recordings,"","","","","","",34583355
Ed Sheeran,Atlantic Records UK,"","","","","","",32420362
Tyler ICU,New Money Gang Records,"","","","","","",32412742
Tyla,FAX Records,Epic,"","","","","",31349193
Sam Deep,Universal Music (Pty) Ltd.,"","","","","","",31315416
Felo Le Tee,New Money Gang Records,"","","","","","",28344971
Doja Cat,Kemosabe Records,RCA Records,"","","","","",28286116
Mas Musiq,New Money Gang Records,"","","","","","",25783080
Miguel,Jive,"","","","","","",25748945
Billie Eilish,Darkroom,"","","","","","",25305607
Lewis Capaldi,Vertigo Berlin,"","","","","","",24953507
Post Malone,Republic Records,"","","","","","",24036093
Kharishma,4397321 Records DK,"","","","","","",23220199
De Mthuda,Universal Music (Pty) Ltd.,"","","","","","",23198659
J. Cole,Roc Nation Records LLC,"","","","","","",22783606
The Weeknd,XO, Republic Records,"","","","","",21883546
Future,Epic,Freebandz,"","","","","",21640908
Drake,OVO,Republic,"","","","","",21611711
Taylor Swift,Taylor Swift,"","","","","","",21248409
Kendrick Lamar,pgLang under exclusive license to Interscope Records,"","","","","","",21139257
Harry Styles,Columbia,"","","","","","",20728433
Shakes & Les,Kreativekornerr,"","","","","","",20640940
Makhadzi Entertainment,Makhadzi Entertainment,"","","","","","",20425519
Spirit Of Praise,Spirit Music,"","","","","","",20268762
Gunna,300 Entertainment,"","","","","","",20264213
Benson Boone,Night Street Records Inc.,Warner Records Inc.,"","","","","",20187090
The Weeknd,Republic Records,"","","","","","",19977011
Burna Boy,Spaceship Entertainment Ltd.,"","","","","","",19399109
Uncle Waffles,Encore Recordings,"","","","","","",19107160
Mario,J Records,"","","","","","",19047460
Justin Bieber,RBMG,Def Jam,"","","","","",19015258
Metro Boomin,Republic Records,"","","","","","",18792509
Travis Scott,Cactus Jack,Epic,"","","","","",18166822
Harrycane,Wanitwa Mos Entertainment,"","","","","","",18090535
Fantasia,J Records,"","","","","","",17800703
Kendrick Lamar,Kendrick Lamar under exclusive license to Interscope Records,"","","","","","",17756701
DJ Maphorisa,New Money Gang Records,"","","","","","",17153358
Summer Walker,LVRN,Interscope Records,"","","","","",17017769
Blaq Major,Wanitwa Mos Entertainment,"","","","","","",17010325
The Weeknd,Universal Republic Records,"","","","","","",16847897
Bassie,Djs Production Pty Ltd,"","","","","","",16052676
Lil Nas X,Columbia,"","","","","","",16039312
Drake,Cash Money Records,Young Money Ent.,Universal Rec.,"","","","",15379176
Inkabi Zezwe,Warner Music Africa,"","","","","","",14976352
Mariah Carey,Def Jam Recordings,"","","","","","",14936888
Sabrina Carpenter,Island Records,"","","","","","",14913645
Olivia Rodrigo,Olivia Rodrigo PS,"","","","","","",14788854
AKA,Sound African Recordings,"","","","","","",14783385
Aymos,Lyf Styl Entertainment,"","","","","","",14760834
Mshinwemali,Insika Yethonga,"","","","","","",14671627
Daniel Caesar,Golden Child Recordings,"","","","","","",14480712
Mr Pilato,New Money Gang Records,"","","","","","",14340548
Drake,OVO, Republic Records,"","","","","",14184377
Ariana Grande,Republic Records,"","","","","","",14076015
Babalwa M,Mavuso Business Solutions,"","","","","","",14048726
Juice WRLD,Grade A Productions,Interscope Records,"","","","","",14002540
Bandros,Jive Hub Productions Pty (Ltd),"","","","","","",13916714
Sjava,1020 Cartel,"","","","","","",13711646
The Kid LAROI,Columbia,"","","","","","",13671287
K.O,Sound African Recordings,"","","","","","",13570281
Jack Harlow,Generation Now,Atlantic,"","","","","",13564550
Kendrick Lamar,Aftermath,"","","","","","",13454890
Usimamane,gamma. Africa,"","","","","","",13369788
Khalid,Right Hand Music Group LLC,RCA Records,"","","","","",12988728
Myztro,New Money Gang Records,"","","","","","",12856435
Busta 929,Thupa Industry,"","","","","","",12441901
Oscar Mbo,The Ashmed Hour Records,"","","","","","",12338944
Miguel,ByStorm Entertainment,RCA Records,"","","","","",12131777
Bassie,Warner Music Africa,"","","","","","",12014686
Umafikizolo,Insika Yethonga,"","","","","","",11756238
Pop Smoke,Victor Victor Worldwide,"","","","","","",11733955
Riaan Benad,WM South Africa,"","","","","","",11681091
James Arthur,Columbia,"","","","","","",11528142
Adele,Columbia,"","","","","","",11509620
