original_name,match_name,score,match_index
ye,ye,100.0,0
yzi,yzi,100.0,28
300 entertain,300 entertain,100.0,42
g59 record,g59 record,100.0,43
makhat product,makhat product,100.0,44
031choppa,031choppa,100.0,60
def jam record,def jam record,100.0,62
gamebread def jam record,gamebread def jam record,100.0,69
slaughter gang llcepic record,slaughter gang llcepic record,100.0,72
ovo republ record,ovo republ record,100.0,73
slaughter gang llcepicboominati worldwiderepubl,slaughter gang llcepicboominati worldwiderepubl,100.0,90
recordscolumbia,recordscolumbia,100.0,264
sound african record,sound african record,100.0,375
2point1 music,2point1 music,100.0,388
penya play product,penya play product,100.0,419
columbia,columbia,100.0,479
4batz ovo sound,4batz ovo sound,100.0,488
5 second of summerinterscop,5 second of summerinterscop,100.0,494
capitol,capitol,100.0,525
umgri interscop,umgri interscop,100.0,544
lvrninterscop record,lvrninterscop record,100.0,732
lvrn record,lvrn record,100.0,733
scumgang recordstenthousand project,scumgang recordstenthousand project,100.0,909
scumgang record tenthousand project,scumgang record tenthousand project,100.0,939
scumgang record,scumgang record,100.0,940
sowetocool,sowetocool,100.0,980
highbridg the label atlant record,highbridg the label atlant record,100.0,1026
a ap worldwidepolo ground musicrca record,a ap worldwidepolo ground musicrca record,100.0,1079
rca record label,rca record label,100.0,1081
a ap worldwiderca record,a ap worldwiderca record,100.0,1167
reveng club record,reveng club record,100.0,1175
reveng club record,reveng club record,100.0,1175
rubberbvndgvng,rubberbvndgvng,100.0,1182
rubberbvndgang,rubberbvndgang,100.0,1209
platoon,platoon,100.0,1220
nineti seven,nineti seven,100.0,1231
boat,boat,100.0,1290
thrive music,thrive music,100.0,1293
ghent jent,ghent jent,100.0,1322
black butter,black butter,100.0,1323
univers music pti,univers music pti,100.0,1327
vth season,vth season,100.0,1329
beam group,beam group,100.0,1336
yal entertain,yal entertain,100.0,1578
content connect africa,content connect africa,100.0,1581
virgin,virgin,100.0,1582
glassnot entertain group,glassnot entertain group,100.0,1633
rca local,rca local,100.0,1648
doza nation entertain,doza nation entertain,100.0,1652
xl record,xl record,100.0,1654
bighit music,bighit music,100.0,1904
mer record,mer record,100.0,1905
kreatel music,kreatel music,100.0,1931
elektra nek,elektra nek,100.0,1978
p2020,p2020,100.0,1979
2018,2018,100.0,1980
entertain def jam,entertain def jam,100.0,2064
1022 pmastralwerk,1022 pmastralwerk,100.0,2118
1022 pm,1022 pm,100.0,2119
atlant record,atlant record,100.0,2462
interscop record,interscop record,100.0,2203
eye n see entertain,eye n see entertain,100.0,2209
warner record,warner record,100.0,2224
j record,j record,100.0,2288
major role music,major role music,100.0,2375
0207 def jam,0207 def jam,100.0,2384
wm south africa,wm south africa,100.0,2403
republ record,republ record,100.0,2405
ziiki medium,ziiki medium,100.0,2415
aftermath,aftermath,100.0,2423
aftermath12 tone music,aftermath12 tone music,100.0,2425
royal am entertain under exclus licens to ownit music,royal am entertain under exclus licens to ownit music,100.0,2427
scurv record,scurv record,100.0,2428
columbialegaci,columbialegaci,100.0,2451
atlant record,atlant record,100.0,2462
major tom s asylum,major tom s asylum,100.0,2617
asylum record,asylum record,100.0,2620
atlant recordsasylum,atlant recordsasylum,100.0,2622
arista record,arista record,100.0,2627
2019 real hasta la muert,2019 real hasta la muert,100.0,2641
warner music africa,warner music africa,100.0,2646
soni music canada,soni music canada,100.0,2720
domino record,domino record,100.0,2733
dreamvilleinterscop record,dreamvilleinterscop record,100.0,2762
silver cloudcharli s angel,silver cloudcharli s angel,100.0,2882
univers record,univers record,100.0,2930
ariana grand justin bieber stuck with u chariti,ariana grand justin bieber stuck with u chariti,100.0,2953
arizona zerva,arizona zerva,100.0,3353
armani white,armani white,100.0,3425
legendbound def jam record,legendbound def jam record,100.0,3427
armada music bundl,armada music bundl,100.0,3445
armada music album,armada music album,100.0,3451
universalisland record,universalisland record,100.0,3452
artema,artema,100.0,3456
theko entertain,theko entertain,100.0,3497
asanda mkhize,asanda mkhize,100.0,3509
mompop,mompop,100.0,3513
parlophon,parlophon,100.0,3530
ivyson entertain,ivyson entertain,100.0,3566
shake the world empir,shake the world empir,100.0,3570
univers music,univers music,100.0,3754
bmg right manag u,bmg right manag u,100.0,3953
emi,emi,100.0,3976
one fifti empir gamma africa,one fifti empir gamma africa,100.0,4031
lyf styl entertain,lyf styl entertain,100.0,4032
dj product,dj product,100.0,4180
mavin global hold,mavin global hold,100.0,4214
mavin record,mavin record,100.0,4226
bigcitydream record,bigcitydream record,100.0,4301
island record,island record,100.0,4312
epic,epic,100.0,4350
yg entertainmentinterscop record,yg entertainmentinterscop record,100.0,4364
yg entertain distribut through interscop record,yg entertain distribut through interscop record,100.0,4384
moon boy univers empir,moon boy univers empir,100.0,4406
ovo soundwarn record,ovo soundwarn record,100.0,4407
question everythingrca record,question everythingrca record,100.0,4441
takeon compani bighit entertain,takeon compani bighit entertain,100.0,4490
