source,main_artist,track_name,streams,End Date
#Merky Records,1,1,41593,2019-06-06
0207 Def Jam,2,3,558230,2022-09-29
031Choppa,1,1,35968,2022-09-08
10 Summers / Interscope PS,1,7,670400,2019-08-29
10 Summers Records/Interscope Records,1,3,1668446,2021-03-18
10 Summers/Interscope Records,1,1,17029,2020-10-08
"100 Entertainment, Inc",1,1,388497,2022-03-17
1020 Cartel,1,4,160056,2021-01-28
10:22 pm,1,3,353044,2020-04-23
10:22 pm/Astralwerks,1,1,28412,2021-08-26
1211 Group,1,1,257814,2021-12-02
1400 Entertainment / 10K Projects,1,1,485294,2021-08-19
"1400 Entertainment, Inc. / 10K Projects",1,4,177577,2021-10-07
"1400 Entertainment, Inc. / TenThousand Projects, LLC",1,1,12814,2020-05-21
143/Reprise,1,6,847657,2021-12-30
1501 Certified Ent/Warner Records,1,1,16529,2021-01-21
1713874 Records DK,1,1,495450,2022-10-06
18 Area Holdings,1,8,2008753,2022-06-16
2016098 Records DK,1,1,147472,2021-08-19
2018,2,2,843467,2020-07-02
"2019 Real Hasta La Muerte, LLC.",1,1,7927,2019-08-15
222 Ent. / Everything Savage,1,1,35250,2022-09-29
300 Entertainment,7,49,6874340,2022-07-07
300 Entertainment/Atl,1,17,2117685,2021-11-11
3608745 Records DK,1,1,17551,2022-09-29
4374710 Records DK,1,1,149151,2022-10-06
5 Seconds Of Summer/Interscope,1,4,547226,2020-04-16
5K Records Limited,1,1,1181389,2022-05-12
8123 / Arista Records,1,1,193229,2022-10-06
"88rising Music/12Tone Music, LLC/Columbia",1,1,28329,2020-10-01
88rising Music/Warner Records,1,9,1383121,2022-10-06
A Star is Born OST,1,2,4348108,2022-09-15
A$AP Worldwide/Polo Grounds Music/RCA Records,2,17,656700,2022-05-12
A&M,1,1,552956,2022-01-06
ALTBLK (Oneshushuday),1,2,469832,2021-12-30
AV,1,1,23930,2022-09-29
AWGE Label,1,3,66610,2020-04-30
AWGE/Interscope Records,1,5,439687,2022-02-03
Access Records,1,2,33506,2018-12-20
Afro Urban Records,1,3,86321,2022-09-29
Afrotainment,3,5,462077,2022-10-06
Aftermath,5,25,3431812,2022-10-06
Aftermath Entertainment/Atlantic,1,7,3769610,2022-05-26
"Aftermath/12 Tone Music, LLC",1,1,12204,2018-11-22
Aftermath/Interscope Records,1,1,24574,2022-02-17
Alamo,5,13,5171199,2022-04-21
All We Got Ent.,1,2,15755,2019-03-07
Ama Roto Entertainment,2,3,4508145,2022-07-28
