End Date,track_name,streams
2017/02/16,Thumbs,3039572
2017/02/23,Thumbs,3192398
2017/03/02,Thumbs,3249099
2017/03/09,Thumbs,3241027
2017/03/16,Thumbs,3545469
2017/03/23,Thumbs,3860694
2017/03/30,Thumbs,4056543
2017/04/06,Thumbs,3887941
2017/08/03,Why,3213467
2017/08/10,Why,3420215
2017/08/17,Why,3634910
2017/08/24,Why,3757197
2017/08/31,Why,3769952
2017/09/07,Why,3636653
2017/09/14,Why,3417720
2017/09/21,Why,3512300
2018/04/05,Alien,3597952
2018/04/12,Alien,4067853
2018/04/19,Alien,4463203
2018/04/26,Alien,4337001
2021/01/28,Skin,9685913
2021/02/04,Skin,8321331
2021/02/11,Skin,7276347
2021/02/18,Skin,6298984
2021/02/25,Skin,5497942
2023/01/19,Nonsense,14682959
2023/01/26,Nonsense,20784498
2023/02/02,Nonsense,12182578
2023/02/09,Nonsense,11573358
2023/02/16,Nonsense,10830599
2023/02/23,Nonsense,9983875
2023/03/02,Nonsense,10109106
2023/03/09,Nonsense,10122538
2023/03/16,Nonsense,10428377
2023/03/23,Nonsense,10599358
2023/03/30,Nonsense,9805113
2023/04/06,Nonsense,10446729
2023/04/13,Nonsense,9898391
2023/04/20,Nonsense,9656095
2023/04/27,Nonsense,9061934
2023/05/04,Nonsense,8983667
2023/05/11,Nonsense,9133814
2023/05/18,Nonsense,9325615
2023/05/25,Nonsense,9176414
2023/06/01,Nonsense,9467641
2023/06/08,Nonsense,9033465
2023/06/15,Nonsense,8818911
2023/06/22,Nonsense,8724202
2023/06/29,Nonsense,8365546
2023/07/06,Nonsense,8774615
2023/07/13,Nonsense,8889243
2023/07/20,Nonsense,9324867
2023/07/27,Nonsense,10144187
2023/08/03,Nonsense,10136543
2023/08/10,Nonsense,9815167
2023/08/17,Nonsense,9654591
2023/08/24,Nonsense,9563989
2023/08/31,Nonsense,9969689
2023/09/07,Nonsense,10377064
2023/09/14,Nonsense,10359253
2023/09/21,Nonsense,10933561
2023/09/28,Nonsense,10004042
2023/10/05,Nonsense,10213915
2023/10/12,Nonsense,9629806
2023/10/19,Nonsense,9427680
2023/10/26,Nonsense,9516662
2023/11/02,Nonsense,9309770
2023/11/09,Nonsense,9411192
2023/11/16,Nonsense,9723579
2023/11/23,Nonsense,9842869
2023/11/30,Nonsense,10135800
2023/12/07,Feather,9742614
2023/12/07,Nonsense,10094117
2023/12/14,Feather,10366156
2023/12/14,Nonsense,9677263
2023/12/21,Feather,10660927
2023/12/21,Nonsense,9325361
2023/12/28,Feather,9478821
2024/01/04,Feather,11491130
2024/01/04,Nonsense,9436421
2024/01/11,Feather,13391680
2024/01/11,Nonsense,9451070
2024/01/18,Feather,14974660
2024/01/18,Nonsense,9332598
2024/01/25,Feather,16349100
2024/01/25,Nonsense,9296506
2024/02/01,Feather,15334725
2024/02/01,Nonsense,8859023
2024/02/08,Feather,13274853
2024/02/08,Nonsense,8677441
2024/02/15,Feather,13108111
2024/02/15,Nonsense,9059063
2024/02/22,Feather,14184947
2024/02/22,Nonsense,9715729
2024/02/29,Feather,14280280
2024/02/29,Nonsense,10122379
2024/03/07,Feather,13953492
2024/03/07,Nonsense,10095137
2024/03/14,Feather,14301268
2024/03/14,Nonsense,10704189
2024/03/21,Feather,14308961
2024/03/21,Nonsense,10832184
2024/03/28,Feather,13553549
2024/03/28,Nonsense,10441419
2024/04/04,Feather,12942134
2024/04/04,Nonsense,9703677
2024/04/11,Feather,14214153
2024/04/11,Nonsense,10638935
2024/04/18,Espresso,31200075
2024/04/18,Feather,14817409
2024/04/18,Nonsense,10775011
2024/04/25,Espresso,47706627
2024/04/25,Feather,12911663
2024/04/25,Nonsense,10720529
2024/05/02,Espresso,65997997
2024/05/02,Feather,14395208
2024/05/02,Nonsense,12361102
2024/05/09,Espresso,66896016
2024/05/09,Feather,13781469
2024/05/09,Nonsense,12049967
2024/05/16,Espresso,63975548
2024/05/16,Feather,13601305
2024/05/16,Nonsense,11930623
2024/05/23,Espresso,63967981
2024/05/23,Feather,13362556
2024/05/23,Nonsense,11760401
2024/05/30,Espresso,63240925
2024/05/30,Feather,13028905
2024/05/30,Nonsense,11184848
2024/06/06,Espresso,64865874
2024/06/06,Feather,12924713
2024/06/06,Nonsense,11151836
2024/06/13,Espresso,76427890
2024/06/13,Feather,13942585
2024/06/13,Nonsense,12786189
2024/06/13,Please Please Please,66951064
2024/06/20,Espresso,70867330
2024/06/20,Feather,16090774
2024/06/20,Nonsense,14417275
2024/06/20,Please Please Please,85283851
2024/06/27,Espresso,67947430
2024/06/27,Feather,16230347
2024/06/27,Nonsense,15521371
2024/06/27,Please Please Please,70220721
2024/07/04,Espresso,63308211
2024/07/04,Feather,14660323
2024/07/04,Nonsense,14058756
2024/07/04,Please Please Please,62589534
2024/07/11,Espresso,58704777
2024/07/11,Feather,12963983
2024/07/11,Nonsense,12867303
2024/07/11,Please Please Please,54226821
2024/07/18,Espresso,53226150
2024/07/18,Feather,12368415
2024/07/18,Nonsense,12522106
2024/07/18,Please Please Please,51034465
2024/07/25,Espresso,50246104
2024/07/25,Feather,11762612
2024/07/25,Nonsense,12295636
2024/07/25,Please Please Please,45492965
2024/08/01,Espresso,45977902
2024/08/01,Feather,11068137
2024/08/01,Nonsense,11978844
2024/08/01,Please Please Please,42051452
2024/08/08,Espresso,43759874
2024/08/08,Feather,10218660
2024/08/08,Nonsense,11283793
2024/08/08,Please Please Please,41539625
2024/08/15,Espresso,42544366
2024/08/15,Feather,9875272
2024/08/15,Nonsense,11228893
2024/08/15,Please Please Please,40153389
2024/08/22,Espresso,41121695
2024/08/22,Feather,10008482
2024/08/22,Nonsense,12184219
2024/08/22,Please Please Please,39127835
2024/08/29,Bed Chem,26470056
2024/08/29,Coincidence,19912210
2024/08/29,Dont Smile,15139681
2024/08/29,Dumb & Poetic,15878058
2024/08/29,Espresso,55202552
2024/08/29,Feather,11023279
2024/08/29,Good Graces,27564193
2024/08/29,Juno,21714599
2024/08/29,Lie To Girls,14555580
2024/08/29,Nonsense,13257339
2024/08/29,Please Please Please,56865036
2024/08/29,Sharpest Tool,21224766
2024/08/29,Slim Pickins,18371098
2024/08/29,Taste,53682650
2024/09/05,Bed Chem,27687250
2024/09/05,Coincidence,14065191
2024/09/05,Dont Smile,9836123
2024/09/05,Dumb & Poetic,10063338
2024/09/05,Espresso,49755876
2024/09/05,Feather,10367032
2024/09/05,Good Graces,20956765
2024/09/05,Juno,16985526
2024/09/05,Lie To Girls,8764883
2024/09/05,Nonsense,11815308
2024/09/05,Please Please Please,47607454
2024/09/05,Sharpest Tool,13757869
2024/09/05,Slim Pickins,11762517
2024/09/05,Taste,56201169
2024/09/12,Bed Chem,27358397
2024/09/12,Coincidence,10959717
2024/09/12,Espresso,44982843
2024/09/12,Feather,9323346
2024/09/12,Good Graces,16433637
2024/09/12,Juno,12974131
2024/09/12,Nonsense,11014106
2024/09/12,Please Please Please,37675702
2024/09/12,Sharpest Tool,9837418
2024/09/12,Taste,49847514
2024/09/19,Bed Chem,28156133
2024/09/19,Coincidence,9529647
2024/09/19,Espresso,43438760
2024/09/19,Feather,9331815
2024/09/19,Good Graces,14877988
2024/09/19,Juno,11431533
2024/09/19,Nonsense,11208984
2024/09/19,Please Please Please,36194658
2024/09/19,Taste,48790619
2024/09/26,Bed Chem,25914793
2024/09/26,Coincidence,8793692
2024/09/26,Espresso,42784714
2024/09/26,Feather,9731392
2024/09/26,Good Graces,13067472
2024/09/26,Juno,10820850
2024/09/26,Nonsense,11335269
2024/09/26,Please Please Please,34251833
2024/09/26,Taste,43710456
2024/10/03,Bed Chem,25486368
2024/10/03,Coincidence,9011020
2024/10/03,Espresso,39043222
2024/10/03,Feather,10041971
2024/10/03,Good Graces,13981091
2024/10/03,Juno,13517668
2024/10/03,Nonsense,11612001
2024/10/03,Please Please Please,31402675
2024/10/03,Taste,43268536
2024/10/10,Bed Chem,23278888
2024/10/10,Espresso,36393790
2024/10/10,Feather,9615463
2024/10/10,Good Graces,13007458
2024/10/10,Juno,13705346
2024/10/10,Nonsense,11443494
2024/10/10,Please Please Please,28370790
2024/10/10,Taste,41180149
2024/10/17,Bed Chem,22100835
2024/10/17,Espresso,34159922
2024/10/17,Feather,9269129
2024/10/17,Good Graces,11503370
2024/10/17,Juno,13076611
2024/10/17,Nonsense,11327672
2024/10/17,Please Please Please,26553048
2024/10/17,Taste,38054822
2024/10/24,Bed Chem,20368252
2024/10/24,Espresso,33991288
2024/10/24,Feather,9004717
2024/10/24,Good Graces,10308502
2024/10/24,Juno,12473525
2024/10/24,Nonsense,11138899
2024/10/24,Please Please Please,25783996
2024/10/24,Taste,36836040
2024/10/31,Bed Chem,20281656
2024/10/31,Espresso,33211508
2024/10/31,Good Graces,10149225
2024/10/31,Juno,13413905
2024/10/31,Nonsense,10884529
2024/10/31,Please Please Please,24424217
2024/10/31,Taste,36354336
2024/11/07,Bed Chem,18408498
2024/11/07,Espresso,30202647
2024/11/07,Good Graces,9131315
2024/11/07,Juno,12465112
2024/11/07,Nonsense,10098679
2024/11/07,Please Please Please,22508756
2024/11/07,Taste,33315300
2024/11/14,Bed Chem,17759455
2024/11/14,Espresso,30208859
2024/11/14,Good Graces,8765034
2024/11/14,Juno,12234495
2024/11/14,Nonsense,10136915
