collab_artist,number of times,main_artist
Nicki Minaj,2,Ariana Grande
Doja Cat,2,Ariana Grande
Kid Cudi,1,Ariana Grande
Victoria Mont,1,Ariana Grande
Liz Gillies,1,Ariana Grande
Pharrell Williams,1,Ariana Grande
Miley Cyrus,1,Ariana Grande
Ty Dolla $ign,1,Ariana Grande
John Legend,1,Ariana Grande
Megan Thee Stallion,1,Ariana Grande
Normani,1,Ariana Grande
Social House,1,Ariana Grande
Missy Elliott,1,Ariana Grande
Cynthia Erivo,1,Ariana Grande
The Weeknd,1,Ariana Grande
Lana Del Rey,1,Ariana Grande
Nonna,1,Ariana Grande
Future,1,Ariana Grande
Justin Bieber,1,Ariana Grande
