collab_artist,number of times,main_artist
Nicki Nicole,2,Bizarrap
Duki,2,Bizarrap
Morad,1,Bizarrap
Nicky Jam,1,Bizarrap
Tiago PZK,1,Bizarrap
Natanael Cano,1,Bizarrap
Residente,1,Bizarrap
Snow Tha Product,1,Bizarrap
Milo j,1,Bizarrap
Shakira,1,Bizarrap
Paulo Londra,1,Bizarrap
Young Miko,1,Bizarrap
Rauw Alejandro,1,Bizarrap
Villano Antillano,1,Bizarrap
Ptazeta,1,Bizarrap
NATHY PELUSO,1,Bizarrap
Gante,1,Bizarrap
Arcngel,1,Bizarrap
Peso Pluma,1,Bizarrap
Anuel AA,1,Bizarrap
L,1,Bizarrap
Eladio Carrion,1,Bizarrap
Quevedo,1,Bizarrap
