collab_artist,number of times,main_artist
Marie,2,David Guetta
Bebe Rexha,2,David Guetta
Sia,1,David Guetta
Justin Bieber,1,David Guetta
French Montana,1,David Guetta
Loote,1,David Guetta
Ella Henderson,1,David Guetta
J Balvin,1,David Guetta
Chris Willis,1,David Guetta
OneRepublic,1,David Guetta
Martin Garrix,1,David Guetta
Becky Hill,1,David Guetta
RAYE,1,David Guetta
Afrojack,1,David Guetta
Martin Solveig,1,David Guetta
Brooks,1,David Guetta
Anne,1,David Guetta
Cedric Gervais,1,David Guetta
Coi Leray,1,David Guetta
Charli XCX,1,David Guetta
