collab_artist,number of times,main_artist
"Royce Da 5'9""",3,Eminem
Sly Pyper,2,Eminem
White Gold,2,Eminem
Tip,1,Eminem
Anderson .Paak,1,Eminem
Dem Jointz,1,Eminem
Don Toliver,1,Eminem
X Ambassadors,1,Eminem
P!nk,1,Eminem
Ed Sheeran,1,Eminem
Alicia Keys,1,Eminem
Cordae,1,Eminem
PHresher,1,Eminem
Dina Rae,1,Eminem
Jelly Roll,1,Eminem
Juice WRLD,1,Eminem
Rihanna,1,Eminem
Jessie Reyez,1,Eminem
Ez Mil,1,Eminem
Jack Harlow,1,Eminem
Beyonc,1,Eminem
BabyTron,1,Eminem
Denaun,1,Eminem
Q,1,Eminem
Snoop Dogg,1,Eminem
JID,1,Eminem
Kehlani,1,Eminem
Skylar Grey,1,Eminem
Nate Dogg,1,Eminem
Big Sean,1,Eminem
Joell Ortiz,1,Eminem
Joyner Lucas,1,Eminem
Young M.A,1,Eminem
Black Thought,1,Eminem
Dido,1,Eminem
KXNG Crooked,1,Eminem
