collab_artist,number of times,main_artist
Bad Bunny,3,J Balvin
Mr Eazi,2,J Balvin
Willy William,2,J Balvin
Sky Rompiendo,2,J Balvin
Jowell & Randy,1,J Balvin
Marciano Cantero,1,J Balvin
Nicky Jam,1,J Balvin
Crissin,1,J Balvin
Ed Sheeran,1,J Balvin
Totoy El Frio,1,J Balvin
Pharrell Williams,1,J Balvin
Sech,1,J Balvin
Maria Becerra,1,J Balvin
Khalid,1,J Balvin
Tainy,1,J Balvin
Skrillex,1,J Balvin
Beyonc,1,J Balvin
KAROL G,1,J Balvin
Natan & Shander,1,J Balvin
Anitta,1,J Balvin
Jeon,1,J Balvin
Dua Lipa,1,J Balvin
Zion & Lennox,1,J Balvin
BIA,1,J Balvin
