collab_artist,number of times,main_artist
Cappadonna,1,Logic
U,1,Logic
Method Man,1,Logic
Damian Lemar Hudson,1,Logic
RZA,1,Logic
Raekwon,1,Logic
Masta Killa,1,Logic
Inspectah Deck,1,Logic
Gucci Mane,1,Logic
2 Chainz,1,Logic
Jaden,1,Logic
Wiz Khalifa,1,Logic
Killer Mike,1,Logic
G,1,Logic
Marshmello,1,Logic
Black Thought,1,Logic
Juicy J,1,Logic
Chuck D,1,Logic
Eazy,1,Logic
Alessia Cara,1,Logic
Jackpot Scotty Wotty,1,Logic
Ansel Elgort,1,Logic
GZA,1,Logic
Big Sean,1,Logic
God,1,Logic
No I.D.,1,Logic
Young Sinatra,1,Logic
Big Lenbo,1,Logic
Ghostface Killah,1,Logic
Khalid,1,Logic
Eminem,1,Logic
Ryan Tedder,1,Logic
