,artist,number of times
1,Xduppy,2
2,Kabza De Small,2
3,Daliwonga,2
4,Tman Xpress,2
5,Scotts Maphuma,2
6,Thatohatsi,2
7,Moonchild Sanelly,2
8,Busiswa,1
9,Young Stunna,1
10,Sly,1
11,Nkosazana Daughter,1
12,TOSS,1
13,Sir Trill,1
14,2woshort,1
15,Vigro Deep,1
16,Mawhoo,1
17,DJ Tira,1
18,Sandy MRD,1
19,Zulu Mkhathini,1
20,Rude Boyz,1
21,Pcee,1
22,Mfr Souls,1
23,2woshortrsa,1
24,Mbuxx,1
25,Shaunmusiq,1
26,Ftears,1
27,Madumane,1
28,Sha Sha,1
29,Blxckie,1
30,Ricky Lenyora,1
31,Da Muziqal Chef,1
32,Distruction Boyz,1
33,DJ Raybel,1
34,Uncool MC,1
35,Enny Man Da Guitar,1
36,Mellow & Sleazy,1
37,Shebeshxt,1
38,Tracy,1
39,K.O,1
40,Visca,1
41,Samthing Soweto,1
42,Tyler ICU,1
43,Mpura,1
44,MaWhoo,1
45,LeeMcKrazy,1
46,Seun1401,1
47,Kabelo Sings,1
48,Focalistic,1
49,Stompiiey,1
50,Nokwazi,1
51,Mhaw Keys,1
