collab_artist,number of times,main_artist
21 Savage,3,DJ Khaled
Lil Wayne,3,DJ Khaled
Roddy Ricch,2,DJ Khaled
SZA,2,DJ Khaled
Meek Mill,2,DJ Khaled
Gunna,2,DJ Khaled
Eminem,2,DJ Khaled
Cardi B,2,DJ Khaled
Big Sean,2,DJ Khaled
H.E.R.,2,DJ Khaled
Post Malone,2,DJ Khaled
Future,2,DJ Khaled
Nas,2,DJ Khaled
Jeremih,2,DJ Khaled
Drake,2,DJ Khaled
John Legend,2,DJ Khaled
Nipsey Hussle,1,DJ Khaled
Don Toliver,1,DJ Khaled
Z,1,DJ Khaled
Chris Brown,1,DJ Khaled
Buju Banton,1,DJ Khaled
Bryson Tiller,1,DJ Khaled
Kanye West,1,DJ Khaled
Kodak Black,1,DJ Khaled
Rick Ross,1,DJ Khaled
James Fauntleroy,1,DJ Khaled
Juice WRLD,1,DJ Khaled
Quavo,1,DJ Khaled
Rihanna,1,DJ Khaled
A Boogie Wit da Hoodie,1,DJ Khaled
J Balvin,1,DJ Khaled
Takeoff,1,DJ Khaled
Justin Timberlake,1,DJ Khaled
Sizzla,1,DJ Khaled
Ye,1,DJ Khaled
Fridayy,1,DJ Khaled
Diddy,1,DJ Khaled
Beyonc,1,DJ Khaled
Nardo Wick,1,DJ Khaled
DaBaby,1,DJ Khaled
JAY,1,DJ Khaled
Megan Thee Stallion,1,DJ Khaled
Chance the Rapper,1,DJ Khaled
070 Shake,1,DJ Khaled
CeeLo Green,1,DJ Khaled
Mavado,1,DJ Khaled
Lil Durk,1,DJ Khaled
Travis Scott,1,DJ Khaled
Lil Baby,1,DJ Khaled
Migos,1,DJ Khaled
Justin Bieber,1,DJ Khaled
