collab_artist,number of times,main_artist
Zee_nhle,3,DJ Stokie
Murumba Pitch,2,DJ Stokie
Ommit,2,DJ Stokie
Sobzeen,2,DJ Stokie
Daliwonga,1,DJ Stokie
Eemoh,1,DJ Stokie
Oscar Mbo,1,DJ Stokie
Masterpiece YVK,1,DJ Stokie
Omit ST,1,DJ Stokie
Madumane,1,DJ Stokie
Howard Gomba,1,DJ Stokie
Loxion Deep,1,DJ Stokie
Kabza De Small,1,DJ Stokie
Faith Strings,1,DJ Stokie
Focalistic,1,DJ Stokie
Bongza,1,DJ Stokie
Nobantu Vilakazi,1,DJ Stokie
Ben Da Prince,1,DJ Stokie
Sha Sha,1,DJ Stokie
Nkosazana_Daughter,1,DJ Stokie
TylerICU,1,DJ Stokie
Nia Pearl,1,DJ Stokie
Sir Trill,1,DJ Stokie
MaWhoo,1,DJ Stokie
