collab_artist,number of times,main_artist
EARTHGANG,3,Dreamville
Buddy,3,Dreamville
J. Cole,3,Dreamville
Guapdad 4000,3,Dreamville
JID,2,Dreamville
Young Nudy,2,Dreamville
Omen,2,Dreamville
Bas,2,Dreamville
Lute,2,Dreamville
Childish Major,1,Dreamville
Dreezy,1,Dreamville
Maxo Kream,1,Dreamville
T.I.,1,Dreamville
Deante' Hitchcock,1,Dreamville
Ski Mask The Slump God,1,Dreamville
Sheck Wes,1,Dreamville
Baby Tate,1,Dreamville
Baby Rose,1,Dreamville
Kenny Mason,1,Dreamville
Reese LAFLARE,1,Dreamville
Ty Dolla $ign,1,Dreamville
DaVionne,1,Dreamville
Mereba,1,Dreamville
Saba,1,Dreamville
Smino,1,Dreamville
Jace,1,Dreamville
KEY!,1,Dreamville
Mez,1,Dreamville
DaBaby,1,Dreamville
Vince Staples,1,Dreamville
Smokepurpp,1,Dreamville
Cozz,1,Dreamville
Ari Lennox,1,Dreamville
Zoink Gang,1,Dreamville
St. Beauty,1,Dreamville
REASON,1,Dreamville
