collab_artist,number of times,main_artist
DJ Maphorisa,4,Kabza De Small
Mthunzi,4,Kabza De Small
Daliwonga,3,Kabza De Small
Stakev,3,Kabza De Small
Young Stunna,3,Kabza De Small
Madumane,3,Kabza De Small
Nkosazana Daughter,3,Kabza De Small
Nia Pearl,3,Kabza De Small
Mhaw Keys,2,Kabza De Small
MaWhoo,2,Kabza De Small
MDU aka TRP,2,Kabza De Small
Focalistic,2,Kabza De Small
Mlindo The Vocalist,2,Kabza De Small
Murumba Pitch,2,Kabza De Small
Mas Musiq,2,Kabza De Small
Samthing Soweto,2,Kabza De Small
Nobuhle,2,Kabza De Small
Kelvin Momo,2,Kabza De Small
WizKid,2,Kabza De Small
Spirit Of Praise,1,Kabza De Small
Cassper Nyovest,1,Kabza De Small
Spartz,1,Kabza De Small
Artwork Sounds,1,Kabza De Small
Nokwazi,1,Kabza De Small
Toss,1,Kabza De Small
Xolani Guitars,1,Kabza De Small
Vyno Miller,1,Kabza De Small
Dladla Mshunqisi,1,Kabza De Small
LeeArt,1,Kabza De Small
Myztro,1,Kabza De Small
Mashudu,1,Kabza De Small
TRESOR,1,Kabza De Small
Visca,1,Kabza De Small
DJ Tira,1,Kabza De Small
Umthakathi Kush,1,Kabza De Small
Kopzz Avenue,1,Kabza De Small
Kamazu,1,Kabza De Small
Makhadzi,1,Kabza De Small
Jon Delinger,1,Kabza De Small
Da Muziqal Chef,1,Kabza De Small
Sizwe Alakine,1,Kabza De Small
Kamo Mphela,1,Kabza De Small
Ze2,1,Kabza De Small
Snowdeep,1,Kabza De Small
Bongza,1,Kabza De Small
Phila Dlozi,1,Kabza De Small
Tyler ICU,1,Kabza De Small
JaySax,1,Kabza De Small
man,1,Kabza De Small
Xolani Guitar,1,Kabza De Small
Msaki,1,Kabza De Small
Felo Le Tee,1,Kabza De Small
Bontle Smith,1,Kabza De Small
Nicole Elocin,1,Kabza De Small
Dj Namandla,1,Kabza De Small
Beast,1,Kabza De Small
Anzo,1,Kabza De Small
Njelic,1,Kabza De Small
KingTha,1,Kabza De Small
Aymos,1,Kabza De Small
Ami Faku,1,Kabza De Small
Burna Boy,1,Kabza De Small
Busiswa,1,Kabza De Small
Sha Sha,1,Kabza De Small
Dj Nsi,1,Kabza De Small
Vigro Deep,1,Kabza De Small
Mr. Brown,1,Kabza De Small
Qwesta Kufet,1,Kabza De Small
Yallunder,1,Kabza De Small
Simmy,1,Kabza De Small
Tman Xpress,1,Kabza De Small
Ayanda Ntanzi,1,Kabza De Small
DJ Skelez,1,Kabza De Small
Scotts Maphuma,1,Kabza De Small
Semi Tee,1,Kabza De Small
Leehleza,1,Kabza De Small
Howard,1,Kabza De Small
XolaniGuitars,1,Kabza De Small
Black Motion,1,Kabza De Small
Dj Exit_sa,1,Kabza De Small
