collab_artist,number of times,main_artist
Jamie Scott,1,Martin Garrix
Tove Lo,1,Martin Garrix
Eazy,1,Martin Garrix
Clinton Kane,1,Martin Garrix
Sasha Alex Sloan,1,Martin Garrix
David Guetta,1,Martin Garrix
Romy Dya,1,Martin Garrix
Justin Mylo,1,Martin Garrix
Bonn,1,Martin Garrix
Troye Sivan,1,Martin Garrix
Macklemore,1,Martin Garrix
G,1,Martin Garrix
Dua Lipa,1,Martin Garrix
Khalid,1,Martin Garrix
Bebe Rexha,1,Martin Garrix
Fall Out Boy,1,Martin Garrix
Dewain Whitmore,1,Martin Garrix
Dean Lewis,1,Martin Garrix
