collab_artist,number of times,main_artist
DJ Maphorisa,2,Mellow & Sleazy
Scotts Maphuma,2,Mellow & Sleazy
LeeMcKrazy,2,Mellow & Sleazy
Focalistic,2,Mellow & Sleazy
DBN Gogo,2,Mellow & Sleazy
TitoM,2,Mellow & Sleazy
Keynote,1,Mellow & Sleazy
Mr Pilato,1,Mellow & Sleazy
Tman Xpress,1,Mellow & Sleazy
MDU aka TRP,1,Mellow & Sleazy
M.J,1,Mellow & Sleazy
Dadaman,1,Mellow & Sleazy
Justin99,1,Mellow & Sleazy
Kappie,1,Mellow & Sleazy
Seemah,1,Mellow & Sleazy
Young Stunna,1,Mellow & Sleazy
Azi,1,Mellow & Sleazy
Felo Le Tee,1,Mellow & Sleazy
Makhekhe Jr,1,Mellow & Sleazy
2woshort,1,Mellow & Sleazy
Sunde,1,Mellow & Sleazy
Gipa Entertainment,1,Mellow & Sleazy
Dinho,1,Mellow & Sleazy
Yanda Woods,1,Mellow & Sleazy
TNK MusiQ,1,Mellow & Sleazy
Gipa,1,Mellow & Sleazy
LastbornDiroba,1,Mellow & Sleazy
Chley,1,Mellow & Sleazy
Sir Trill,1,Mellow & Sleazy
MashBeatz,1,Mellow & Sleazy
TumeloZa,1,Mellow & Sleazy
SjavasDaDeejay,1,Mellow & Sleazy
Al xapo,1,Mellow & Sleazy
Thabza Tee,1,Mellow & Sleazy
TyroneDee,1,Mellow & Sleazy
Boontle RSA,1,Mellow & Sleazy
Tumelo_za,1,Mellow & Sleazy
Madumane,1,Mellow & Sleazy
Eltee,1,Mellow & Sleazy
Amu Classic,1,Mellow & Sleazy
