collab_artist,number of times,main_artist
Zan'Ten,3,Mr JazziQ
Fakelove,2,Mr JazziQ
Tsiki XII,2,Mr JazziQ
Kay Invictus,2,Mr JazziQ
Busta 929,2,Mr JazziQ
Mpura,2,Mr JazziQ
Zuma,2,Mr JazziQ
Moonchild Sanelly,1,Mr JazziQ
Jandas,1,Mr JazziQ
Masterpiece,1,Mr JazziQ
M.J,1,Mr JazziQ
F3 Dipapa,1,Mr JazziQ
MDU aka TRP,1,Mr JazziQ
Justin99,1,Mr JazziQ
DJ Biza,1,Mr JazziQ
9umba,1,Mr JazziQ
Lady Du,1,Mr JazziQ
Toss,1,Mr JazziQ
Jay Music,1,Mr JazziQ
Josiah De Disciple,1,Mr JazziQ
Khanyisa,1,Mr JazziQ
Djy Biza,1,Mr JazziQ
Djy Ma'Ten,1,Mr JazziQ
Matute Boy,1,Mr JazziQ
Nokwazi,1,Mr JazziQ
Mellow & Sleazy,1,Mr JazziQ
Reece Madlisa,1,Mr JazziQ
Focalistic,1,Mr JazziQ
Ma'Ten,1,Mr JazziQ
Purple Mellow,1,Mr JazziQ
Dinky Kunene,1,Mr JazziQ
Nobantu Vilakazi,1,Mr JazziQ
Boohle,1,Mr JazziQ
Ta Skippa,1,Mr JazziQ
EeQue,1,Mr JazziQ
Riky Rick,1,Mr JazziQ
Kabza De Small,1,Mr JazziQ
Vigro Deep,1,Mr JazziQ
Kyika,1,Mr JazziQ
Pcee,1,Mr JazziQ
JazziDisciples,1,Mr JazziQ
Robot Boii,1,Mr JazziQ
Mdu M,1,Mr JazziQ
Guluva,1,Mr JazziQ
