collab_artist,number of times,main_artist
21 Savage,2,Travis Scott
Young Thug,2,Travis Scott
Yung Lean,1,Travis Scott
Drake,1,Travis Scott
M.I.A.,1,Travis Scott
Bad Bunny,1,Travis Scott
ROSALA,1,Travis Scott
Kanye West,1,Travis Scott
SZA,1,Travis Scott
Lil Uzi Vert,1,Travis Scott
Rob49,1,Travis Scott
Teezo Touchdown,1,Travis Scott
Lil Baby,1,Travis Scott
Kid Cudi,1,Travis Scott
James Blake,1,Travis Scott
Playboi Carti,1,Travis Scott
Swae Lee,1,Travis Scott
Skrillex,1,Travis Scott
The Weeknd,1,Travis Scott
Dave Chappelle,1,Travis Scott
Beyonc,1,Travis Scott
Future,1,Travis Scott
Westside Gunn,1,Travis Scott
HVME,1,Travis Scott
