collab_artist,number of times,main_artist
Royal MusiQ,3,Uncle Waffles
Uncool MC,2,Uncle Waffles
Tony Duardo,2,Uncle Waffles
BoiBizza,2,Uncle Waffles
Pcee,2,Uncle Waffles
Sino Msolo,1,Uncle Waffles
Djy Biza,1,Uncle Waffles
2woBunnies,1,Uncle Waffles
Jay Music,1,Uncle Waffles
Ice Beats Slide,1,Uncle Waffles
Imbongi Yosizi,1,Uncle Waffles
Nvcho,1,Uncle Waffles
Mark Khoza,1,Uncle Waffles
Ohp Sage,1,Uncle Waffles
CowBoii,1,Uncle Waffles
EeQue,1,Uncle Waffles
Dinky Kunene,1,Uncle Waffles
OHP Sage,1,Uncle Waffles
Yedda,1,Uncle Waffles
ImbongiYosizi,1,Uncle Waffles
Xduppy,1,Uncle Waffles
Chley,1,Uncle Waffles
Sbuda Maleather,1,Uncle Waffles
Justin99,1,Uncle Waffles
