main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams
$NOT,Doja,23789,23789,23789,23789.0,194,1,0,0,1.0,1.0
$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",23341,23341,23341,23341.0,182,1,0,0,1.0,1.0
031CHOPPA,Usenemali,35968,35968,35968,35968.0,128,1,0,0,1.0,1.0
1da Banton,No Wahala - Remix,17584,17584,17584,17584.0,168,1,0,0,1.0,1.0
2 Chainz,Bigger Than You (feat. Drake & Quavo),5994,3964,32044,4577.714285714285,78,7,86,2030,2.1025641025641026,1.512108980827447
2 Chainz,Rule The World (feat. Ariana Grande),8536,8536,8536,8536.0,148,1,0,0,1.0,1.0
2 Chainz,Whip (feat. Travis Scott),9137,6924,16061,8030.5,127,2,70,2213,1.5511811023622046,1.3196129404968227
21 Savage,1.5,6469,6469,6469,6469.0,195,1,0,0,1.0,1.0
21 Savage,Bank Account,4780,1349,50548,3610.5714285714284,53,14,137,3431,3.5849056603773586,3.5433654558932544
21 Savage,Brand New Draco,20835,20835,20835,20835.0,122,1,0,0,1.0,1.0
21 Savage,Glock In My Lap,39185,17138,56323,28161.5,38,2,109,22047,3.8684210526315788,2.2864394911891703
21 Savage,Immortal,12982,9448,22430,11215.0,128,2,72,3534,1.5625,1.374047417442845
21 Savage,Intro,20875,20875,20875,20875.0,120,1,0,0,1.0,1.0
21 Savage,Many Men,29181,29181,29181,29181.0,61,1,0,0,1.0,1.0
21 Savage,Mr. Right Now (feat. Drake),57808,15771,193975,27710.714285714286,12,7,179,42037,15.916666666666666,3.665461923784161
21 Savage,My Dawg,22333,22333,22333,22333.0,105,1,0,0,1.0,1.0
21 Savage,No Opp Left Behind,19094,19094,19094,19094.0,140,1,0,0,1.0,1.0
21 Savage,RIP Luv,19579,19579,19579,19579.0,134,1,0,0,1.0,1.0
21 Savage,Rich Nigga Shit (feat. Young Thug),35608,15653,51261,25630.5,42,2,128,19955,4.0476190476190474,2.2748354947933302
