main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels,main_art_track,entry rank
21 Savage,3AM on Glenwood,1,99,78,23,23,2,49576,1,0,55,49576,32521.0,82097.0,41048.5,78.0,2.0,122.0,17055.0,2.5641025641025643,1.5244303680698625,2,21 Savage3AM on Glenwood,78
21 Savage,3AM on Glenwood,2,100,200,23,78,3,32521,1,0,122,49576,34550.0,845949.0,44523.63157894737,126.0,19.0,66.0,18899.0,1.5238095238095237,1.5470043415340087,2,21 Savage3AM on Glenwood,78
21 Savage,Glock In My Lap,2,98,191,38,-1,3,34845,1,0,44,53449,156541.0,4533488.0,238604.63157894736,1.0,19.0,10.0,162985.0,11.0,2.0411649344261247,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,3,101,166,38,-1,4,36582,1,0,-25,53449,26680.0,989375.0,34116.379310344826,147.0,29.0,53.0,19085.0,1.3605442176870748,1.7153298350824588,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,4,102,161,38,166,5,38480,1,0,-5,53449,34286.0,1460476.0,56172.153846153844,14.0,26.0,185.0,48672.0,14.214285714285714,2.4195881700985824,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,5,103,192,38,-1,6,34550,1,0,31,53449,34979.0,83738.0,41869.0,89.0,2.0,101.0,13780.0,2.134831460674157,1.3939506561079504,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,6,104,178,38,192,7,38689,1,0,-14,53449,39594.0,39594.0,39594.0,144.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,7,105,175,38,178,8,40986,1,0,-3,53449,33793.0,33793.0,33793.0,200.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,8,106,161,38,175,9,41234,1,0,-14,53449,40613.0,40613.0,40613.0,131.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,9,107,144,38,161,10,43260,1,0,-17,53449,48271.0,48271.0,48271.0,111.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,10,108,149,38,144,11,45543,1,0,5,53449,43486.0,284614.0,71153.5,28.0,4.0,154.0,66708.0,6.5,2.5340109460516027,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,11,109,149,38,149,12,47689,1,0,0,53449,42786.0,42786.0,42786.0,189.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,12,110,145,38,149,13,48215,1,0,-4,53449,37404.0,37404.0,37404.0,191.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,13,111,132,38,145,14,53449,1,0,-13,53449,44494.0,44494.0,44494.0,128.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,14,112,135,38,132,15,52294,1,0,3,53449,122023.0,2040378.0,185488.9090909091,1.0,11.0,24.0,313787.0,25.0,3.571539791678618,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,15,113,139,38,135,16,51596,1,0,4,53449,44796.0,44796.0,44796.0,125.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,16,114,152,38,139,17,45340,1,0,13,53449,64597.0,64597.0,64597.0,69.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,17,115,142,38,152,18,44219,1,0,-10,53449,43973.0,173821.0,57940.333333333336,56.0,3.0,143.0,32059.0,3.5535714285714284,1.7290610147135743,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,18,116,129,38,142,19,50613,1,0,-13,53449,45640.0,710938.0,71093.8,28.0,10.0,128.0,73061.0,5.571428571428571,2.6008106923751098,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,19,117,144,38,129,20,48930,1,0,15,53449,52148.0,52148.0,52148.0,129.0,1.0,0.0,0.0,1.0,1.0,2,21 SavageGlock In My Lap,191
21 Savage,Glock In My Lap,20,118,126,38,144,21,49435,1,0,-18,53449,76094.0,162976.0,81488.0,41.0,2.0,21.0,10788.0,1.5121951219512195,1.1417720188188294,2,21 SavageGlock In My Lap,191
2Point1,Stimela,1,1,11,11,38,2,156541,1,1,-27,319526,50975.0,50975.0,50975.0,134.0,1.0,0.0,0.0,1.0,1.0,0,2Point1Stimela,11
2Point1,Stimela,2,2,5,5,11,3,176025,1,1,-6,319526,67027.0,136968.0,68484.0,56.0,2.0,4.0,2914.0,1.0714285714285714,1.043475017530249,0,2Point1Stimela,11
2Point1,Stimela,3,3,4,4,5,4,195004,1,1,-1,319526,44176.0,371974.0,92993.5,16.0,4.0,162.0,87275.0,11.125,2.975620246287577,0,2Point1Stimela,11
2Point1,Stimela,4,4,4,4,4,5,200564,1,1,0,319526,47877.0,535562.0,89260.33333333333,14.0,6.0,151.0,92325.0,11.785714285714286,2.9283789711134784,0,2Point1Stimela,11
2Point1,Stimela,5,5,4,4,4,6,226504,1,1,0,319526,60209.0,60209.0,60209.0,100.0,1.0,0.0,0.0,1.0,1.0,0,2Point1Stimela,11
2Point1,Stimela,6,6,3,3,4,7,247067,1,1,-1,319526,61755.0,3888158.0,117822.9696969697,2.0,33.0,62.0,278044.0,32.0,5.5023722775483765,0,2Point1Stimela,11
2Point1,Stimela,7,7,3,3,3,8,220490,1,1,0,319526,45517.0,176596.0,58865.333333333336,57.0,3.0,130.0,29844.0,3.280701754385965,1.6556671133862073,0,2Point1Stimela,11
2Point1,Stimela,8,8,3,3,3,9,227965,1,1,0,319526,43957.0,356296.0,89074.0,16.0,4.0,119.0,144337.0,8.4375,4.283595331801533,0,2Point1Stimela,11
2Point1,Stimela,9,9,5,3,3,10,254973,1,1,2,319526,36711.0,986624.0,89693.09090909091,6.0,11.0,185.0,216348.0,31.833333333333332,6.8932744953828555,0,2Point1Stimela,11
2Point1,Stimela,10,10,2,2,5,11,265436,1,1,-3,319526,46433.0,46433.0,46433.0,115.0,1.0,0.0,0.0,1.0,1.0,0,2Point1Stimela,11
2Point1,Stimela,11,11,1,1,2,12,264647,1,1,-1,319526,44256.0,238577.0,59644.25,51.0,4.0,144.0,37452.0,3.823529411764706,1.8462581344902387,0,2Point1Stimela,11
2Point1,Stimela,12,12,1,1,1,13,290730,1,1,0,319526,65082.0,134580.0,67290.0,58.0,2.0,10.0,4416.0,1.1724137931034482,1.0678528625426384,0,2Point1Stimela,11
2Point1,Stimela,13,13,2,1,1,14,306610,1,1,1,319526,40822.0,2480553.0,49611.06,33.0,50.0,129.0,23098.0,4.909090909090909,1.5658223506932536,0,2Point1Stimela,11
2Point1,Stimela,14,14,2,1,2,15,319526,1,1,0,319526,37366.0,474989.0,43180.818181818184,138.0,11.0,62.0,11585.0,1.4492753623188406,1.3100412139378044,0,2Point1Stimela,11
2Point1,Stimela,15,15,3,1,2,16,271949,1,1,1,319526,38994.0,172858.0,43214.5,165.0,4.0,22.0,5942.0,1.1333333333333333,1.1523824178078679,0,2Point1Stimela,11
