main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
21 Savage,Glock In My Lap,27,125,140,38,138,29,54021,1,0,2,54021,45353.0,244717.0,48943.4,139.0,5.0,61.0,8668.0,1.4388489208633093,1.1911229687121028,1
21 Savage,Glock In My Lap,28,126,139,38,140,30,50480,1,0,-1,54021,136034.0,907571.0,151261.83333333334,13.0,6.0,21.0,43121.0,2.6153846153846154,1.3169869297381538,1
21 Savage,Glock In My Lap,29,127,165,38,139,31,45794,1,0,26,54021,43732.0,285016.0,47502.666666666664,151.0,6.0,42.0,6884.0,1.2781456953642385,1.157413335772432,1
21 Savage,Glock In My Lap,30,128,178,38,165,32,45353,1,0,13,54021,73412.0,483659.0,80609.83333333333,52.0,6.0,43.0,23967.0,1.8269230769230769,1.3264725113060536,1
21 Savage,Glock In My Lap,31,129,200,38,-1,33,49069,1,0,22,54021,65159.0,439412.0,73235.33333333333,68.0,6.0,33.0,18088.0,1.4852941176470589,1.2775978759649473,1
2Point1,Stimela,26,26,13,1,13,28,179155,1,1,0,179155,50326.0,314150.0,52358.333333333336,132.0,6.0,30.0,4521.0,1.2272727272727273,1.0898342804911973,3
2Point1,Stimela,27,27,13,1,13,29,156294,1,1,0,179155,43049.0,280828.0,46804.666666666664,165.0,6.0,28.0,7053.0,1.1696969696969697,1.1638365583404957,3
2Point1,Stimela,28,28,14,1,13,30,152720,1,1,1,179155,43334.0,178594.0,44648.5,175.0,4.0,25.0,4509.0,1.1428571428571428,1.1040522453500716,3
2Point1,Stimela,29,29,14,1,14,31,142544,1,1,0,179155,43431.0,183551.0,45887.75,178.0,4.0,22.0,6239.0,1.1235955056179776,1.14365315097511,3
2Point1,Stimela,30,30,34,1,14,32,136034,1,1,20,179155,44674.0,302082.0,50347.0,118.0,6.0,68.0,10119.0,1.576271186440678,1.2265075883063974,3
2Point1,Stimela,31,31,21,1,34,33,140824,1,1,-13,179155,44280.0,44280.0,44280.0,192.0,1.0,0.0,0.0,1.0,1.0,3
6LACK,Pretty Little Fears (feat. J. Cole),112,158,186,11,200,115,47851,2,0,-14,50616,43174.0,94860.0,47430.0,181.0,2.0,18.0,8512.0,1.0994475138121547,1.1971556955575116,1
6LACK,Pretty Little Fears (feat. J. Cole),113,159,193,11,186,116,43732,2,0,7,50616,104713.0,708467.0,118077.83333333333,24.0,6.0,26.0,33902.0,2.0833333333333335,1.323761137585591,1
6LACK,Pretty Little Fears (feat. J. Cole),114,160,173,11,193,117,44398,2,0,-20,50616,109940.0,704956.0,117492.66666666667,25.0,6.0,23.0,25141.0,1.92,1.2286792796070585,1
6LACK,Pretty Little Fears (feat. J. Cole),115,161,151,11,173,118,48649,2,0,-22,50616,43206.0,182647.0,45661.75,175.0,4.0,10.0,6451.0,1.0571428571428572,1.149307966486136,1
6LACK,Pretty Little Fears (feat. J. Cole),116,162,174,11,151,119,49770,2,0,23,50616,43614.0,283371.0,47228.5,158.0,6.0,38.0,8717.0,1.240506329113924,1.1998670151786124,1
6LACK,Pretty Little Fears (feat. J. Cole),117,163,187,11,174,120,50616,2,0,13,50616,48757.0,311621.0,51936.833333333336,130.0,6.0,22.0,8094.0,1.1692307692307693,1.1660069323379207,1
AKA,Company,18,223,52,1,54,20,97379,1,1,-2,97379,47992.0,321452.0,53575.333333333336,107.0,6.0,61.0,16203.0,1.5700934579439252,1.3376187697949657,1
AKA,Company,19,225,59,1,52,21,80856,1,1,7,97379,110340.0,402554.0,134184.66666666666,18.0,3.0,15.0,44733.0,1.8333333333333333,1.405410549211528,1
AKA,Company,20,227,63,1,59,22,73412,1,1,4,97379,69696.0,448084.0,74680.66666666667,72.0,6.0,18.0,14970.0,1.25,1.2147899449035813,1
AKA,Company,21,229,63,1,63,23,79590,1,1,0,97379,51337.0,51337.0,51337.0,185.0,1.0,0.0,0.0,1.0,1.0,1
AKA,Company,22,231,95,1,63,24,74740,1,1,32,97379,44048.0,287691.0,47948.5,155.0,6.0,39.0,11431.0,1.2516129032258065,1.259512350163458,1
AKA,Company,23,233,86,1,95,25,77682,1,1,-9,97379,59522.0,375745.0,62624.166666666664,92.0,6.0,29.0,6775.0,1.315217391304348,1.1138234602331911,1
AKA,Lemons (Lemonade),40,224,68,2,75,42,83247,1,1,-7,83247,61084.0,386630.0,64438.333333333336,87.0,6.0,30.0,6804.0,1.3448275862068966,1.1113875974068497,1
AKA,Lemons (Lemonade),41,226,71,2,68,43,71838,1,1,3,83247,73216.0,480184.0,80030.66666666667,63.0,6.0,22.0,12883.0,1.3492063492063493,1.1759588068181819,1
AKA,Lemons (Lemonade),42,228,84,2,71,44,65159,1,1,13,83247,59971.0,408120.0,68020.0,79.0,6.0,30.0,12796.0,1.379746835443038,1.2133697954011105,1
AKA,Lemons (Lemonade),43,230,70,2,84,45,73169,1,1,-14,83247,42568.0,178358.0,44589.5,184.0,4.0,15.0,3995.0,1.0815217391304348,1.093849840255591,1
AKA,Lemons (Lemonade),44,232,101,2,70,46,71764,1,1,31,83247,60665.0,398466.0,66411.0,80.0,6.0,43.0,14311.0,1.5375,1.2359020852221214,1
AKA,Lemons (Lemonade),45,234,95,2,101,47,74235,1,1,-6,83247,87123.0,565750.0,94291.66666666667,38.0,6.0,30.0,12969.0,1.7894736842105263,1.1488585103818738,1
Adele,Easy On Me,88,191,141,1,142,90,53950,1,1,-1,54847,127859.0,874263.0,145710.5,15.0,6.0,15.0,44619.0,2.0,1.3489703501513386,1
Adele,Easy On Me,89,193,142,1,141,91,50326,1,1,1,54847,46087.0,272174.0,54434.8,77.0,5.0,116.0,29270.0,2.5064935064935066,1.6351031744309674,1
Adele,Easy On Me,90,195,132,1,142,92,50836,1,1,-10,54847,46266.0,301495.0,50249.166666666664,131.0,6.0,49.0,6252.0,1.3740458015267176,1.1351316301387628,1
Adele,Easy On Me,91,197,132,1,132,93,51153,1,1,0,54847,83614.0,533129.0,88854.83333333333,51.0,6.0,27.0,11754.0,1.5294117647058822,1.1405745449326667,1
Adele,Easy On Me,92,199,152,1,132,94,53038,1,1,20,54847,54822.0,231239.0,57809.75,111.0,4.0,27.0,5213.0,1.2432432432432432,1.095089562584364,1
Adele,Easy On Me,93,201,162,1,152,95,54847,1,1,10,54847,90535.0,609115.0,101519.16666666667,34.0,6.0,24.0,29581.0,1.7058823529411764,1.3267355166510189,1
Adele,Set Fire to the Rain,12,192,185,68,-1,14,48073,1,0,12,50102,102244.0,1445914.0,289182.8,2.0,5.0,43.0,345967.0,22.5,4.383738899104104,1
Adele,Set Fire to the Rain,13,194,165,68,185,15,46892,1,0,-20,50102,47782.0,304384.0,50730.666666666664,134.0,6.0,36.0,6040.0,1.2686567164179106,1.1264074337616676,1
