main_artist,track_name,End Date,rank difference
$NOT,Doja,2022-02-10,0
$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",2021-10-07,0
2 Chainz,Bigger Than You (feat. Drake & Quavo),2018-06-21,0
2 Chainz,Rule The World (feat. Ariana Grande),2019-03-07,0
2 Chainz,Whip (feat. Travis Scott),2019-03-07,0
21 Savage,1.5,2018-12-27,0
21 Savage,Bank Account,2018-03-15,0
21 Savage,Bank Account,2018-06-14,0
21 Savage,Brand New Draco,2020-10-08,0
21 Savage,Glock In My Lap,2020-10-08,0
21 Savage,Immortal,2019-11-07,0
21 Savage,Intro,2020-10-08,0
21 Savage,Many Men,2020-10-08,0
21 Savage,Mr. Right Now (feat. Drake),2020-10-08,0
21 Savage,My Dawg,2020-10-08,0
21 Savage,No Opp Left Behind,2020-10-08,0
21 Savage,RIP Luv,2020-10-08,0
21 Savage,Rich Nigga Shit (feat. Young Thug),2020-10-08,0
21 Savage,Runnin,2020-10-08,0
21 Savage,Said N Done,2020-10-08,0
21 Savage,Slidin,2020-10-08,0
21 Savage,Snitches & Rats (Interlude),2020-10-08,0
21 Savage,Snitches & Rats (feat. Young Nudy),2020-10-08,0
21 Savage,Steppin On Niggas,2020-10-08,0
21 Savage,a lot,2018-12-27,0
21 Savage,all my friends,2018-12-27,0
21 Savage,all my friends,2019-01-10,0
21 Savage,break da law,2018-12-27,0
21 Savage,can't leave without it,2018-12-27,0
21 Savage,monster,2018-12-27,0
24kGoldn,CITY OF ANGELS,2020-03-05,0
24kGoldn,CITY OF ANGELS,2020-03-12,0
24kGoldn,CITY OF ANGELS,2020-04-23,0
24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",2020-11-12,0
24kGoldn,Mood (feat. iann dior),2020-08-20,0
24kGoldn,Mood (feat. iann dior),2020-10-01,0
24kGoldn,Mood (feat. iann dior),2020-10-08,0
24kGoldn,Mood (feat. iann dior),2020-11-12,0
24kGoldn,Mood (feat. iann dior),2020-11-19,0
24kGoldn,Mood (feat. iann dior),2020-11-26,0
24kGoldn,Mood (feat. iann dior),2020-12-17,0
24kGoldn,Mood (feat. iann dior),2021-01-21,0
24kGoldn,Mood (feat. iann dior),2021-02-11,0
24kGoldn,Mood (feat. iann dior),2021-02-25,0
24kGoldn,Mood (feat. iann dior),2021-04-22,0
24kGoldn,Mood (feat. iann dior),2022-03-03,0
24kGoldn,Mood (feat. iann dior),2022-03-10,0
24kGoldn,VALENTINO,2019-10-17,0
24kGoldn,VALENTINO,2019-11-07,0
25K,Blarofornia (feat. Zoocci Coke Dope),2021-07-29,0
25K,From Dusk Till Dawn (feat. FLVME),2021-07-29,0
25K,Hustlers Prayer (feat. A-Reece),2021-07-08,0
25K,Pheli Makaveli (Intro),2021-07-29,0
25K,Trap Jumpin',2021-07-29,0
347aidan,MEMORIES!,2021-10-28,0
5 Seconds of Summer,Easier,2019-05-30,0
5 Seconds of Summer,Easier,2019-09-26,0
5 Seconds of Summer,Easier,2019-12-05,0
5 Seconds of Summer,Lie To Me (feat. Julia Michaels),2019-01-24,0
5 Seconds of Summer,Lie To Me (feat. Julia Michaels),2019-03-07,0
5 Seconds of Summer,No Shame,2020-02-13,0
5 Seconds of Summer,Old Me,2020-02-27,0
5 Seconds of Summer,Teeth,2019-08-29,0
5 Seconds of Summer,Valentine,2018-06-21,0
5 Seconds of Summer,Want You Back,2018-03-22,0
5 Seconds of Summer,Wildflower,2020-04-02,0
