index,End Date,rank difference
0,2017-12-28,0
1,2017-08-17,0
3,2017-08-17,0
6,2017-09-07,0
14,2017-11-02,0
17,2017-08-17,0
39,2018-01-25,0
40,2017-11-09,0
41,2016-12-29,0
44,2017-01-19,0
53,2016-12-29,0
59,2017-02-09,0
67,2017-11-02,0
69,2017-11-02,0
81,2023-01-05,0
82,2017-11-23,0
90,2018-01-25,0
91,2017-08-17,0
110,2017-01-19,0
120,2017-09-21,0
129,2017-11-23,0
138,2016-12-29,0
152,2023-01-19,0
154,2017-02-09,0
162,2017-08-17,0
168,2017-09-28,0
170,2017-10-12,0
180,2023-01-05,0
182,2023-01-19,0
193,2016-12-29,0
205,2016-12-29,0
217,2023-01-26,0
227,2016-12-29,0
241,2017-02-16,0
242,2023-01-05,0
245,2023-02-23,0
251,2016-12-29,0
265,2016-12-29,0
283,2017-09-28,0
287,2017-08-17,0
289,2017-11-02,0
301,2016-12-29,0
308,2017-02-16,0
315,2016-12-29,0
319,2017-01-26,0
329,2017-10-19,0
332,2017-08-31,0
353,2016-12-29,0
357,2017-01-26,0
368,2016-12-29,0
382,2016-12-29,0
394,2016-12-29,0
399,2017-11-23,0
408,2017-12-28,0
413,2017-01-05,0
414,2017-03-30,0
415,2017-02-02,0
431,2017-10-05,0
440,2023-03-16,0
441,2023-03-23,0
443,2023-01-05,0
445,2023-01-19,0
456,2023-01-05,0
457,2023-01-12,0
469,2023-01-05,0
476,2023-02-23,0
477,2023-03-02,0
482,2023-01-05,0
487,2023-02-09,0
491,2023-03-09,0
495,2023-01-05,0
508,2016-12-29,0
520,2017-08-17,0
521,2016-12-29,0
526,2017-03-09,0
530,2017-03-16,0
533,2016-12-29,0
553,2017-03-16,0
554,2017-08-31,0
559,2023-01-05,0
560,2017-08-17,0
561,2017-08-17,0
562,2017-08-17,0
585,2017-08-17,0
608,2017-08-17,0
609,2017-12-14,0
614,2017-08-17,0
615,2017-08-24,0
625,2017-11-02,0
637,2017-02-16,0
643,2017-03-30,0
644,2017-03-09,0
648,2023-02-16,0
651,2023-01-05,0
652,2023-01-12,0
657,2023-01-05,0
667,2023-03-30,0
668,2017-09-21,0
670,2017-09-21,0
676,2017-09-28,0
677,2017-09-28,0
678,2017-09-21,0
679,2017-11-30,0
687,2023-02-09,0
688,2023-02-02,0
691,2017-12-07,0
696,2023-01-05,0
709,2023-01-05,0
719,2023-01-05,0
729,2023-03-16,0
730,2023-01-05,0
743,2023-01-05,0
745,2023-01-05,0
750,2023-02-09,0
751,2023-02-16,0
758,2023-01-05,0
771,2023-01-05,0
772,2017-11-09,0
783,2023-01-05,0
784,2017-02-23,0
789,2016-12-29,0
794,2017-10-19,0
804,2018-01-25,0
805,2023-01-05,0
813,2023-01-05,0
823,2016-12-29,0
832,2017-03-02,0
837,2017-09-21,0
852,2018-01-11,0
855,2017-08-17,0
865,2017-10-26,0
878,2023-01-05,0
882,2023-01-05,0
895,2017-02-16,0
896,2016-12-29,0
918,2017-02-09,0
919,2017-02-09,0
920,2017-01-12,0
932,2017-02-09,0
933,2017-02-09,0
934,2017-02-09,0
939,2017-02-09,0
940,2017-11-09,0
943,2017-12-14,0
944,2017-12-14,0
945,2017-02-09,0
947,2017-02-09,0
948,2017-10-12,0
963,2023-01-05,0
969,2023-01-05,0
979,2023-03-16,0
982,2017-12-28,0
983,2016-12-29,0
987,2023-03-30,0
988,2023-01-05,0
1001,2023-01-12,0
1003,2023-01-26,0
1004,2023-02-02,0
1006,2023-02-16,0
1009,2023-03-09,0
1010,2023-03-16,0
1013,2023-01-05,0
1014,2016-12-29,0
1019,2017-03-23,0
1020,2016-12-29,0
1022,2016-12-29,0
1027,2016-12-29,0
1029,2016-12-29,0
1031,2016-12-29,0
1032,2017-01-05,0
1061,2023-02-09,0
1062,2023-01-05,0
1070,2016-12-29,0
1083,2017-03-30,0
1107,2016-12-29,0
1122,2023-01-05,0
1135,2018-01-11,0
1138,2017-02-16,0
1149,2016-12-29,0
1153,2016-12-29,0
1160,2017-02-16,0
1164,2017-03-16,0
1171,2017-08-24,0
1191,2017-08-17,0
1192,2017-08-24,0
1209,2016-12-29,0
1218,2016-12-29,0
1232,2023-01-05,0
1240,2023-03-16,0
1243,2017-03-02,0
1260,2017-08-17,0
1264,2017-08-17,0
1265,2017-08-24,0
1287,2016-12-29,0
1301,2018-01-18,0
1302,2018-01-18,0
1303,2017-08-17,0
1315,2018-01-18,0
1316,2018-01-18,0
1317,2018-01-18,0
1318,2017-12-14,0
1324,2017-12-14,0
1330,2018-01-18,0
1332,2018-01-18,0
1333,2017-11-23,0
1342,2023-01-05,0
1343,2017-08-17,0
1345,2017-08-31,0
1352,2017-08-17,0
1358,2017-09-28,0
1360,2017-10-12,0
1363,2017-11-02,0
1364,2017-11-09,0
1365,2017-11-16,0
1366,2017-11-23,0
1367,2017-11-30,0
1368,2017-12-07,0
1369,2017-12-14,0
1372,2018-01-11,0
1375,2017-08-17,0
1382,2017-10-05,0
1398,2017-12-28,0
1403,2023-01-05,0
1416,2017-08-17,0
1424,2017-10-12,0
1430,2017-11-23,0
1439,2016-12-29,0
1453,2018-01-25,0
1454,2023-03-09,0
1458,2017-08-17,0
1461,2018-01-25,0
1462,2016-12-29,0
1468,2023-01-05,0
1473,2023-01-05,0
1486,2017-02-16,0
1488,2017-03-16,0
1491,2016-12-29,0
1493,2017-01-12,0
1505,2017-08-17,0
1507,2017-08-17,0
1529,2018-01-25,0
1530,2017-10-12,0
1542,2018-01-11,0
1545,2023-01-05,0
1558,2016-12-29,0
1576,2017-09-14,0
1589,2016-12-29,0
1603,2016-12-29,0
1608,2017-08-17,0
1629,2017-10-19,0
1638,2016-12-29,0
1645,2016-12-29,0
1682,2016-12-29,0
1694,2023-02-16,0
1701,2023-03-23,0
1703,2017-08-24,0
1720,2023-01-05,0
1723,2023-01-26,0
1733,2017-10-19,0
1734,2017-01-12,0
1739,2017-11-02,0
1744,2017-08-17,0
1767,2017-12-07,0
1770,2016-12-29,0
1772,2023-01-05,0
1785,2017-11-02,0
1795,2018-01-18,0
1797,2016-12-29,0
1798,2017-01-05,0
1801,2017-01-26,0
1802,2017-02-02,0
1803,2017-02-09,0
1833,2017-03-23,0
1858,2023-01-26,0
1865,2023-03-16,0
1868,2017-01-05,0
1869,2016-12-29,0
1872,2016-12-29,0
1875,2017-03-09,0
1876,2017-01-26,0
1887,2017-11-09,0
1891,2023-01-05,0
1895,2023-02-02,0
1904,2023-01-05,0
1913,2023-03-09,0
1915,2023-03-23,0
1917,2023-01-12,0
1926,2016-12-29,0
1936,2023-01-05,0
1946,2023-01-05,0
1958,2023-03-30,0
1959,2023-01-05,0
1972,2023-01-26,0
1973,2017-02-23,0
1974,2017-08-17,0
1997,2017-08-17,0
2020,2016-12-29,0
2028,2016-12-29,0
2029,2017-01-05,0
2049,2017-10-05,0
2056,2017-09-28,0
2060,2017-10-26,0
2072,2016-12-29,0
2081,2017-03-02,0
2086,2016-12-29,0
2100,2017-01-05,0
2109,2018-01-25,0
2110,2016-12-29,0
2119,2017-03-02,0
2121,2017-10-12,0
2136,2017-02-09,0
2155,2018-01-18,0
2157,2017-02-23,0
2186,2017-12-28,0
2187,2017-03-30,0
2188,2017-11-09,0
2199,2023-01-05,0
2203,2023-02-02,0
2206,2023-02-23,0
2208,2023-03-09,0
2212,2017-01-05,0
2214,2017-08-17,0
2236,2017-10-26,0
2240,2017-11-23,0
2243,2017-11-16,0
2246,2023-01-05,0
2251,2017-08-17,0
2257,2017-09-28,0
2262,2017-11-02,0
2274,2017-08-31,0
2282,2017-02-16,0
2283,2016-12-29,0
2297,2017-08-17,0
2298,2017-08-24,0
2304,2017-11-23,0
2307,2018-01-25,0
2308,2023-01-05,0
2309,2023-01-05,0
2310,2023-01-05,0
2313,2023-01-05,0
2314,2017-01-19,0
2325,2023-03-09,0
2327,2017-03-23,0
2328,2017-03-30,0
2329,2017-03-23,0
2331,2016-12-29,0
2345,2018-01-25,0
2346,2017-03-23,0
2348,2016-12-29,0
2352,2017-01-26,0
2368,2017-03-23,0
2370,2018-01-25,0
2371,2017-03-23,0
2373,2016-12-29,0
2380,2017-03-23,0
2382,2017-03-23,0
2384,2017-03-23,0
2386,2017-03-23,0
2388,2017-03-23,0
2412,2017-08-17,0
2422,2017-03-23,0
2424,2017-03-23,0
2426,2017-03-23,0
2428,2023-01-05,0
2439,2023-03-23,0
2441,2023-01-05,0
2454,2016-12-29,0
2467,2017-03-23,0
2469,2016-12-29,0
2476,2017-03-23,0
2478,2017-03-23,0
2480,2017-03-23,0
2482,2017-03-23,0
2484,2017-03-23,0
2488,2016-12-29,0
2502,2017-03-23,0
2504,2016-12-29,0
2541,2017-03-23,0
2543,2017-02-16,0
2550,2023-01-05,0
2554,2018-01-04,0
2558,2017-08-17,0
2563,2017-09-21,0
2564,2017-09-28,0
2566,2017-10-12,0
2567,2017-10-19,0
2569,2017-11-02,0
2571,2017-11-16,0
2574,2017-12-07,0
2581,2023-01-05,0
2583,2018-01-04,0
2584,2016-12-29,0
2587,2023-01-05,0
2590,2017-03-09,0
2594,2017-03-09,0
2598,2017-01-12,0
2599,2017-01-19,0
2633,2017-03-09,0
2637,2017-01-12,0
2639,2017-03-09,0
2643,2023-03-30,0
2644,2017-03-09,0
2647,2017-03-30,0
2649,2017-08-24,0
2654,2017-09-28,0
2656,2017-10-12,0
2663,2017-11-30,0
2671,2017-01-12,0
2672,2017-03-09,0
2699,2017-03-09,0
2703,2017-02-23,0
2709,2017-01-12,0
2715,2017-03-09,0
2719,2017-03-09,0
2723,2017-03-09,0
2738,2017-11-02,0
2739,2017-11-09,0
2741,2017-11-23,0
2763,2016-12-29,0
2799,2018-01-25,0
2800,2017-03-09,0
2804,2017-01-12,0
2805,2017-01-19,0
2806,2017-01-26,0
2807,2017-02-02,0
2808,2017-02-09,0
2809,2017-02-16,0
2810,2017-02-23,0
2811,2017-03-02,0
2812,2017-03-09,0
2813,2017-03-16,0
2814,2017-03-23,0
2815,2017-03-30,0
2824,2017-10-12,0
2827,2017-11-02,0
2828,2017-11-09,0
2842,2023-01-26,0
2845,2023-02-16,0
2852,2023-01-05,0
2855,2023-01-26,0
2856,2023-02-02,0
2864,2023-03-30,0
2865,2017-03-09,0
2869,2017-01-12,0
2871,2017-01-12,0
2872,2016-12-29,0
2909,2017-03-09,0
2913,2017-12-07,0
2917,2018-01-11,0
2920,2017-03-02,0
2921,2017-03-02,0
2923,2023-02-09,0
2929,2023-03-23,0
2931,2023-03-23,0
2933,2023-01-05,0
2939,2016-12-29,0
2941,2023-01-05,0
2954,2016-12-29,0
2958,2017-01-05,0
2970,2017-08-24,0
2997,2023-02-16,0
3004,2023-01-05,0
3017,2023-01-05,0
3030,2017-12-14,0
3031,2023-01-05,0
3043,2023-03-30,0
3044,2017-11-16,0
3052,2023-01-05,0
3065,2017-12-28,0
3066,2018-01-04,0
3068,2018-01-18,0
3070,2017-01-12,0
3074,2017-02-09,0
3078,2017-08-17,0
3084,2017-10-19,0
3090,2018-01-25,0
3092,2018-01-18,0
3094,2017-03-02,0
3095,2017-03-09,0
3106,2016-12-29,0
3117,2023-03-23,0
3119,2023-03-23,0
3121,2016-12-29,0
3133,2017-09-28,0
3137,2017-11-16,0
3147,2023-01-05,0
3148,2017-08-17,0
3150,2017-08-31,0
3151,2017-09-07,0
3163,2017-01-05,0
3172,2023-01-05,0
3177,2023-02-09,0
3181,2023-03-09,0
3185,2023-01-05,0
3194,2023-03-09,0
3198,2023-01-12,0
3210,2023-03-23,0
3212,2017-08-17,0
3213,2017-08-31,0
3214,2017-08-17,0
3219,2016-12-29,0
3223,2017-01-26,0
3230,2017-03-16,0
3232,2017-03-30,0
3233,2017-01-05,0
3234,2017-01-12,0
3236,2017-01-26,0
3246,2017-01-05,0
3248,2017-01-05,0
3255,2017-01-05,0
3257,2017-03-16,0
3260,2016-12-29,0
3265,2023-01-05,0
3269,2017-08-17,0
3270,2017-08-24,0
3275,2017-09-28,0
3281,2017-11-09,0
3292,2023-01-19,0
3293,2023-01-05,0
3306,2023-01-26,0
3316,2023-01-05,0
3327,2017-02-23,0
3328,2017-10-26,0
3329,2017-02-23,0
3358,2017-02-23,0
3360,2017-02-23,0
3361,2016-12-29,0
3364,2017-01-19,0
3368,2023-01-05,0
3373,2017-03-02,0
3378,2017-03-02,0
3382,2016-12-29,0
3386,2017-01-26,0
3388,2017-02-09,0
3394,2017-10-26,0
3395,2017-10-26,0
3397,2017-09-14,0
3408,2017-12-28,0
3413,2016-12-29,0
3421,2017-12-28,0
3425,2017-12-07,0
3431,2018-01-25,0
3432,2017-03-30,0
3433,2016-12-29,0
3443,2017-08-17,0
3444,2016-12-29,0
3448,2016-12-29,0
3457,2016-12-29,0
3458,2016-12-29,0
3459,2023-01-05,0
3472,2023-03-02,0
3477,2017-03-30,0
3478,2017-03-30,0
3479,2017-03-30,0
3480,2017-02-09,0
3481,2023-01-05,0
3493,2023-02-23,0
3495,2017-01-26,0
3505,2017-08-24,0
3512,2017-10-12,0
3527,2017-09-21,0
3533,2023-01-05,0
3534,2023-01-05,0
3540,2017-08-17,0
3545,2017-09-21,0
3555,2017-09-14,0
3574,2018-01-25,0
3575,2016-12-29,0
3600,2017-09-21,0
3618,2017-01-19,0
3619,2017-08-17,0
3629,2023-01-05,0
3633,2023-02-02,0
3634,2023-02-09,0
3636,2023-02-23,0
3639,2023-03-16,0
3642,2023-01-05,0
3646,2023-02-02,0
3655,2017-08-17,0
3675,2023-01-05,0
3685,2023-03-16,0
3688,2016-12-29,0
3698,2023-01-05,0
3711,2023-01-12,0
3713,2023-03-23,0
3715,2017-01-26,0
3716,2017-02-02,0
3722,2018-01-11,0
3725,2018-01-04,0
3729,2018-01-11,0
3732,2018-01-11,0
3734,2018-01-25,0
3735,2017-12-28,0
3736,2017-12-28,0
3737,2017-12-28,0
3738,2017-12-28,0
3739,2017-12-28,0
3743,2017-12-28,0
3746,2017-12-28,0
3747,2016-12-29,0
3761,2023-01-05,0
3769,2023-03-02,0
3774,2023-03-16,0
3776,2017-02-09,0
3820,2023-01-05,0
3827,2023-02-23,0
3833,2023-01-12,0
3844,2017-08-17,0
3849,2017-09-21,0
3858,2017-11-23,0
3867,2017-10-26,0
3878,2018-01-18,0
3880,2023-01-05,0
3893,2017-01-12,0
3897,2017-02-09,0
3905,2023-01-05,0
3918,2017-08-17,0
3925,2017-01-05,0
3926,2017-03-09,0
3941,2023-01-05,0
3954,2018-01-25,0
3955,2017-08-17,0
3969,2017-11-23,0
3978,2016-12-29,0
3992,2017-08-17,0
3993,2017-08-24,0
3995,2017-09-07,0
3997,2017-09-21,0
4015,2017-10-05,0
4028,2016-12-29,0
4039,2016-12-29,0
4042,2016-12-29,0
4047,2016-12-29,0
4049,2017-01-12,0
4054,2017-03-02,0
4067,2023-03-30,0
4068,2017-01-05,0
4081,2023-01-05,0
4094,2017-11-30,0
4101,2018-01-25,0
4102,2016-12-29,0
4106,2017-01-26,0
4107,2017-02-02,0
4108,2017-02-09,0
4125,2017-10-19,0
4127,2017-11-02,0
4146,2023-03-02,0
4151,2017-01-05,0
4154,2017-01-26,0
4156,2017-02-09,0
4162,2016-12-29,0
4165,2023-01-05,0
4167,2017-09-07,0
4169,2017-09-21,0
4179,2017-11-16,0
4189,2017-03-02,0
4217,2017-08-17,0
4226,2018-01-18,0
4228,2017-01-12,0
4245,2018-01-18,0
4247,2017-08-17,0
4248,2017-08-24,0
4249,2017-09-21,0
4259,2017-11-30,0
4267,2023-03-30,0
4268,2023-03-30,0
4269,2023-03-30,0
4270,2023-03-30,0
4271,2023-03-23,0
4273,2017-02-23,0
4274,2017-01-05,0
4276,2017-09-21,0
4294,2017-01-05,0
4298,2017-02-02,0
4303,2016-12-29,0
4304,2017-01-05,0
4317,2016-12-29,0
4321,2017-01-26,0
4322,2017-01-26,0
4323,2023-01-05,0
4328,2023-01-05,0
4341,2016-12-29,0
4348,2017-02-16,0
4355,2016-12-29,0
4365,2016-12-29,0
4376,2017-03-16,0
4379,2016-12-29,0
4393,2017-08-17,0
4416,2016-12-29,0
4420,2018-01-04,0
4424,2017-01-19,0
4433,2017-03-23,0
4434,2017-03-30,0
4458,2023-01-05,0
4464,2023-03-02,0
4469,2023-01-05,0
4482,2016-12-29,0
4502,2017-09-28,0
4503,2017-10-05,0
4505,2017-10-19,0
4507,2017-11-02,0
4508,2017-11-09,0
4511,2017-11-30,0
4512,2016-12-29,0
4517,2016-12-29,0
4531,2016-12-29,0
4538,2017-08-24,0
4560,2016-12-29,0
4568,2017-02-23,0
4583,2017-10-19,0
4585,2018-01-11,0
4588,2018-01-25,0
4589,2023-03-30,0
4590,2017-03-02,0
4593,2023-03-02,0
4594,2023-03-02,0
4595,2023-03-02,0
4600,2023-01-05,0
4604,2023-02-02,0
4613,2023-03-02,0
4614,2017-08-17,0
4626,2023-03-02,0
4627,2023-01-05,0
4629,2023-01-05,0
4642,2023-03-02,0
4645,2023-02-09,0
4653,2023-03-02,0
4656,2023-03-23,0
4657,2023-03-30,0
4658,2016-12-29,0
4665,2016-12-29,0
4686,2017-10-05,0
4694,2023-02-09,0
4701,2023-03-16,0
4704,2017-10-12,0
4708,2017-01-05,0
4709,2023-01-05,0
4713,2017-08-17,0
4725,2017-02-16,0
4726,2017-02-23,0
4731,2017-03-30,0
4732,2018-01-04,0
4736,2023-01-05,0
4744,2023-03-16,0
4747,2017-12-28,0
4748,2017-08-17,0
4751,2017-09-07,0
4752,2017-09-14,0
4770,2017-08-17,0
4779,2017-10-19,0
4790,2018-01-11,0
4793,2017-03-30,0
4794,2023-02-09,0
4795,2023-03-23,0
4797,2017-08-17,0
4809,2018-01-11,0
4812,2017-08-17,0
4835,2023-03-09,0
4839,2023-01-05,0
4842,2017-08-17,0
4857,2017-02-09,0
4879,2017-11-23,0
4888,2017-08-17,0
4895,2017-10-05,0
4900,2017-11-09,0
4902,2017-11-23,0
4911,2017-01-05,0
4913,2023-01-05,0
4924,2017-09-14,0
