rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:0WdbnNKO0Jt4BZACSDQh44,"Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")",YRF Music,1,1,6,1002368,2019-10-17
2,spotify:track:2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Interscope Records*,2,15,4,736149,2019-10-17
3,spotify:track:6E9UwSfT80age2xknoMS7Y,"Payal Dev, Jubin Nautiyal, Kunaal Vermaa","Tum Hi Aana (From ""Marjaavaan"")",T-Series,2,2,3,725365,2019-10-17
4,spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",T-Series,2,4,20,722366,2019-10-17
5,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,1,3,17,708476,2019-10-17
7,spotify:track:5QVHNa0ppJUOoqSd36ovQS,"Arijit Singh, B Praak, Jaani","Pachtaoge (From ""Jaani Ve"")",T-Series,1,6,8,637404,2019-10-17
8,spotify:track:1feANd8EfcDP5UqSvbheM3,"Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")",T-Series,1,7,21,514015,2019-10-17
10,spotify:track:4OcvkkpF3xmyCGGY5IBlgi,"Akhil Sachdeva, Tulsi Kumar","Tera Ban Jaunga (From ""Kabir Singh"")",T-Series,4,10,18,468207,2019-10-17
11,spotify:track:5djZm1zFGcJUSUqbBjrAZH,"Neha Kakkar, Tulsi Kumar, B Praak","O Saki Saki (From ""Batla House"")",T-Series,2,12,14,455169,2019-10-17
12,spotify:track:3ZjMdVOWxQ53FKrmkgCv95,"Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi","Psycho Saiyaan (From ""Saaho"")",T-Series,3,8,15,445897,2019-10-17
13,spotify:track:6lfSsCL894Qw15xbt7cSUy,"Vishal Dadlani, Benny Dayal","Jai Jai Shivshankar (From ""War"")",YRF Music,9,9,4,445483,2019-10-17
14,spotify:track:2IoZMG3RqiTmsy7Li3zGFg,"Sachet Tandon, Parampara Tandon, Sachet-Parampara","Mere Sohneya (From ""Kabir Singh"")",T-Series,4,14,19,444568,2019-10-17
15,spotify:track:2tjWCe2W7sgvS3C8NHcdtI,"Akhil, Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani","Duniyaa (From ""Luka Chuppi"")",T-Series,1,17,34,423701,2019-10-17
17,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,9,20,7,400240,2019-10-17
18,spotify:track:1VYMsDdZ3toHtlZxAGS95n,DIVINE,Kohinoor,Universal Music India Pvt Ltd.,10,23,5,388924,2019-10-17
19,spotify:track:1y1rQTkWmrZdJmjwuK07GC,"Vishal Mishra, Manoj Muntashir","Kaise Hua (From ""Kabir Singh"")",T-Series,5,19,18,377826,2019-10-17
20,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,Cactus Jack/Epic,20,21,2,370419,2019-10-17
22,spotify:track:3j9DrRebdWK1jkpOw9FZUy,Sid Sriram,Samajavaragamana,Aditya Music,13,13,3,358945,2019-10-17
23,spotify:track:2plLJpUcYPFrl1sW2pMG63,Harry Styles,Lights Up,Columbia,23,-1,1,342884,2019-10-17
26,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,Alamo,26,29,5,320482,2019-10-17
27,spotify:track:5I3Xih0C2ID3fqngBrBbGv,"Badshah, Neeti Mohan","Bad Boy (From ""Saaho"")",T-Series,8,22,9,306325,2019-10-17
28,spotify:track:0mJTAdmY8olbGQjopDYff3,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",Vaaste,T-Series,3,27,28,284212,2019-10-17
29,spotify:track:6oDHAjaJJjwwgoAuMIeY9K,"Neha Kakkar, Yash Narvekar, Tanishk Bagchi","Ek Toh Kum Zindagani (From ""Marjaavaan"")",T-Series,29,-1,1,283715,2019-10-17
30,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,30,31,25,274934,2019-10-17
31,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,3,26,34,272383,2019-10-17
32,spotify:track:6vuMdb0E8buJeSHArN3dXk,"Amaal Mallik, Armaan Malik, Kunaal Vermaa","Chale Aana (From ""De De Pyaar De"")",T-Series,18,34,24,268925,2019-10-17
33,spotify:track:39ujbBjTwwqUFySaCYDMMT,"Badshah, Diljit Dosanjh, Aastha Gill",Proper Patola,Sony Music Entertainment India Pvt. Ltd.,18,36,34,268725,2019-10-17
34,spotify:track:7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,Liar,Syco Music/Epic,18,33,6,263487,2019-10-17
35,spotify:track:6aPMWbbdhDhiJHlknZb9Yx,"Arijit Singh, Sachet-Parampara","Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",T-Series,7,30,20,260927,2019-10-17
36,spotify:track:6wo37KVqFJhtuxPTpLCcfe,"The Chainsmokers, ILLENIUM, Lennon Stella",Takeaway,Disruptor Records/Columbia,20,38,12,259486,2019-10-17
37,spotify:track:7IAJzec1UxGYmNvbPTHbxx,"Sohail Sen, Vishal Dadlani","Shaitan Ka Saala (From ""Housefull 4"")",T-Series,37,136,2,259251,2019-10-17
38,spotify:track:3sqRODOZ1Z6hR4F2tnFAlg,Maninder Buttar,Sakhiyaan,Ishtar Punjabi,20,32,34,258364,2019-10-17
39,spotify:track:1z0A545pZMaqYRkruladlk,"Garry Sandhu, Neha Kakkar, Mellow D","Hauli Hauli (From ""De De Pyaar De"")",T-Series,15,44,25,257002,2019-10-17
40,spotify:track:6vBdBCoOhKHiYDDOcorfNo,"Post Malone, Young Thug",Goodbyes (feat. Young Thug),Republic Records,7,28,15,255485,2019-10-17
41,spotify:track:57DhVYA7E1CyrE4OKuyLb7,Maninder Buttar,Ik Tera,Ishtar Punjabi,32,35,8,253139,2019-10-17
42,spotify:track:1iQDltZqI7BXnHrFy4Qo1k,"SHAED, ZAYN",Trampoline (with ZAYN),Photo Finish Records,41,55,3,248191,2019-10-17
44,spotify:track:3DXP7pJNl1AmAUl90CAGe0,DIVINE,Gandhi Money,Universal Music India Pvt Ltd.,44,98,2,238868,2019-10-17
45,spotify:track:6V9fHiv84WlVTg7CSnIVY2,Halsey,Graveyard,Capitol Records,31,57,5,232131,2019-10-17
46,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,3,37,29,231321,2019-10-17
47,spotify:track:4gyPGtExOjj1rsByKW33LR,Badshah,Paagal,Sony Music Entertainment India Pvt. Ltd.,12,40,14,226851,2019-10-17
48,spotify:track:7hADNKBDHS8MblpUzLebLf,"Anirudh Ravichander, Inno Genga","Hoyna Hoyna (From ""Gang Leader"")",Sony Music Entertainment India Pvt. Ltd.,30,39,9,225980,2019-10-17
49,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,PLG - Capitol,37,54,13,218464,2019-10-17
50,spotify:track:42ETKyApzUl8hTtytFAjen,"Baani Sandhu, Gur Sidhu",8 Parche,Ishtar Punjabi,50,81,4,217836,2019-10-17
51,spotify:track:2q0V50aNlI1RQXJyE5HDgD,"Sachin-Jigar, Darshan Raval, Neha Kakkar","Odhani (From ""Made in China"")",Sony Music Entertainment India Pvt. Ltd.,26,43,4,217807,2019-10-17
52,spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal,Sony Music Entertainment India Pvt. Ltd.,44,53,34,217235,2019-10-17
53,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,30,42,34,216428,2019-10-17
54,spotify:track:1LMwOxNStAp24Py3mWoRkb,"Shweta Mohan, Shankar Mahadevan, Shankar-Ehsaan-Loy","Baby Won't You Tell Me (From ""Saaho"")",T-Series,16,46,8,216057,2019-10-17
55,spotify:track:0ojpEubhy4JNeVftmVuiN7,"Vishal Mishra, Armaan Malik",Pehla Pyaar,T-Series,11,48,17,213348,2019-10-17
56,spotify:track:7KhHA3mzt7A3LFlOJEAKpI,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,Kreatell Music,1,45,31,213058,2019-10-17
57,spotify:track:4bKkdGBttnK4SYjT4zPC1U,"Tony Kakkar, Neha Kakkar, Young Desi","Coca Cola (From ""Luka Chuppi"")",T-Series,14,65,34,210318,2019-10-17
59,spotify:track:0mHU8dcIvGrGDazLMmQpSg,Jubin Nautiyal,Tujhe Kitna Chahein Aur (Film Version),T-Series,12,51,17,209342,2019-10-17
61,spotify:track:6cARnc9YVlBNigjNSX63pp,"Neha Kakkar, Dhvani Bhanushali, Ikka","Dilbar (From ""Satyameva Jayate"")",T-Series,28,69,34,208208,2019-10-17
62,spotify:track:65c6VCikt7f5sAS1heoYQC,"Bohemia, Sidhu Moose Wala",Same Beef,Saga Music,62,67,3,206469,2019-10-17
63,spotify:track:5MFE5mAhpVUtQyQUQjVIVo,"DIVINE, Dave East",Remand,Universal Music India Pvt Ltd.,63,97,2,204760,2019-10-17
65,spotify:track:5X5db3FrBOHbibrFKA02MQ,"Abhijeet Srivastava, Vishal-Shekhar","Chashni (From ""Bharat"")",T-Series,24,66,24,198719,2019-10-17
66,spotify:track:6NLzzwFbAD1imLXGBMj9jo,"The Doorbeen, Shreya Sharma",PRADA,Jjust Music,15,52,10,197123,2019-10-17
67,spotify:track:1bvIoSekCZWAgthW01kbo9,"Jasbir Jassi, Badshah, Dhvani Bhanushali","Koka (From ""Khandaani Shafakhana"")",T-Series,13,58,16,196657,2019-10-17
68,spotify:track:0d4PvVcC2GxJoVm76a5GQH,"DIVINE, Shah Rule",Wallah,Universal Music India Pvt Ltd.,68,126,2,196414,2019-10-17
69,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,52,56,34,195258,2019-10-17
70,spotify:track:39vrbjCMTRXEdiIr2IsBgd,Badshah,She Move It Like,Sony Music Entertainment India Pvt. Ltd.,14,70,34,194589,2019-10-17
71,spotify:track:322tcqPhma7F6hfCeLisx0,"Lauv, Anne-Marie","fuck, i'm lonely",Lauv,24,59,11,194402,2019-10-17
72,spotify:track:04UzZSWfw8hkK832P27QLq,"Nikk, Avneet Kaur",Yaari,BANG Music,18,60,15,193166,2019-10-17
73,spotify:track:6AooRgSRDzbCYL4NZ4RCjU,DIVINE,Chal Bombay,Universal Music India Pvt Ltd.,73,152,2,190909,2019-10-17
74,spotify:track:0Iz4CkptElGHo16r797Jsb,"Atif Aslam, Nusrat Fateh Ali Khan, Rochak Kohli","Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",T-Series,39,73,34,185589,2019-10-17
75,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,Capitol Records,11,68,34,182780,2019-10-17
76,spotify:track:1aIhAX6324JZmhNnGltwkK,Arijit Singh,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",T-Series,61,71,33,181599,2019-10-17
77,spotify:track:51Fjme0JiitpyXKuyQiCDo,"Y2K, bbno$",Lalala,Columbia,56,61,15,181309,2019-10-17
78,spotify:track:6rfahvufEQDIVTHJIU2QQB,"MEMBA, EVAN GIIA, Nooran Sisters","For Aisha (Featured in ""The Sky Is Pink"")",ANTNNA,78,-1,1,180404,2019-10-17
80,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,"Bad Vibes Forever, LLC",21,49,11,177576,2019-10-17
81,spotify:track:2YpeDb67231RjR0MgVLzsG,"Lil Nas X, Billy Ray Cyrus",Old Town Road (feat. Billy Ray Cyrus) - Remix,Columbia,2,64,28,177276,2019-10-17
82,spotify:track:6qajA2wXvAI4HMey8b1JVK,"Badshah, Tulsi Kumar, Abhijeet, Chandra Dixit","Sheher Ki Ladki (From ""Khandaani Shafakhana"")",T-Series,20,77,15,176370,2019-10-17
83,spotify:track:4At0CnQes5Kx1ROSnnP4lK,Tony Kakkar,Dheeme Dheeme,Desi Music Factory,20,75,20,174550,2019-10-17
84,spotify:track:5wdlz4N7s1Xyr4y4RXhZJM,"Karan Sehmbi, Tanishk Bagchi, Goldboy","Photo (From ""Luka Chuppi"")",T-Series,15,78,34,173140,2019-10-17
85,spotify:track:5MnAi6ZF7cE8pAz7wYr9Ta,"Vishal-Shekhar, Atif Aslam, Irshad Kamil",Dil Diyan Gallan,YRF Music,85,100,31,172184,2019-10-17
86,spotify:track:4ymPEyiXabTe1NO8q8EFxG,"Darshan Raval, Asees Kaur, Lijo George-Dj Chetas","Chogada (From ""Loveyatri"")",T-Series,55,62,34,171825,2019-10-17
88,spotify:track:1mjWhM7GQTTxJxg2F0iCRS,"Armaan Malik, Rochak Kohli, Bappi Lahiri","Dil Mein Ho Tum (From ""Cheat India"")",T-Series,60,95,34,170844,2019-10-17
89,spotify:track:790uNrqzKWCvj8rR1QXNpU,"Neha Kakkar, Mika Singh, Kumar Sanu","Aankh Marey (From ""Simmba"")",T-Series,14,105,34,167815,2019-10-17
91,spotify:track:0H2iJVgorRR0ZFgRqGUjUM,"Pritam, Arijit Singh",Channa Mereya,Sony Music Entertainment India Pvt. Ltd.,58,93,34,162529,2019-10-17
92,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,Kid Ina Korner / Interscope,67,82,34,162419,2019-10-17
93,spotify:track:0cWLJcdvM6QlOQ7UJdB4jb,"Ash King, Sachin-Jigar","Nazar Na Lag Jaaye (From ""Stree"")",T-Series,77,99,33,161722,2019-10-17
94,spotify:track:68iBMrMRc1rg4eAxJbvxch,"Tanishk Bagchi, Dhvani Bhanushali, Rashmi Virag",Leja Re,T-Series,60,94,34,160901,2019-10-17
95,spotify:track:6wZJsut8fjiWiMPaccRAOX,Ritviz,Udd Gaye,Ritviz,81,101,34,160872,2019-10-17
96,spotify:track:2si0ZNx4yRbggTvrIom8A2,"Rochak Kohli, Atif Aslam, Tulsi Kumar",Paniyon Sa,T-Series,68,108,33,159712,2019-10-17
97,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,59,87,34,159038,2019-10-17
98,spotify:track:1WNx951v5YEC58zCvcGDNk,"Neha Kakkar, Sukh-E Muzical Doctorz",Wah Wai Wahh,T-Series,88,88,2,158119,2019-10-17
99,spotify:track:4f5kLqyOJ5ZPnalEVMQrB2,"Rahat Fateh Ali Khan, Asees Kaur, Tanishk Bagchi","Tere Bin (From ""Simmba"")",T-Series,26,113,34,157789,2019-10-17
