rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3GMdp6clyAh7wZWVYOtoS9","Asake, Olamide","Amapiano","YBNL Nation / EMPIRE",1,1,3,"757992"
2,"spotify:track:2KwnwVXtAlpSDdRVO9ccTJ","Olamide, Asake","New Religion","YBNL Nation / EMPIRE",2,86,2,"645209"
3,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",3,-1,1,"545662"
4,"spotify:track:1iBWjQ9af9NnUd5xnQDB3k","Rema","Charm","Mavin Records/Jonzing World",1,3,6,"469762"
5,"spotify:track:2ITJKfLesLib9xo0hWVT1V","ODUMODUBLVCK, Cruel Santino, Bella Shmurda","DOG EAT DOG II (feat. Cruel Santino, Bella Shmurda)","NATIVE Records",5,11,2,"464078"
6,"spotify:track:5lsnlGFJTOytJFgJH5tuMu","Zinoleesky","A1 (Feeling Disorder)","Zinoleesky",6,-1,1,"448361"
7,"spotify:track:1mk8ZC9OeTZMr8Wy31LqRj","Davido","FEEL","Columbia",2,4,11,"396975"
8,"spotify:track:4L4m2mgZDF8KIkJPdWWIAf","Burna Boy","Sittin' On Top Of The World","Spaceship Entertainment Ltd.",8,-1,1,"390269"
9,"spotify:track:6T7FXSuXykeGktMLGp8WgE","Lil Durk, J. Cole","All My Life (feat. J. Cole)","Alamo",1,2,4,"363919"
10,"spotify:track:0Em4eY10PGyiBlmjWxcav3","Adekunle Gold, Zinoleesky","Party No Dey Stop","Adekunle Gold PS/ Def Jam",1,6,13,"359730"
11,"spotify:track:558Uck5HBPWmOjipZwX6J1","Seyi Vibez","Hat-trick","Vibez Inc / Dvpper Music",11,18,2,"345086"
12,"spotify:track:6wuMo4ZR83PhlhXhJ1S3VY","Bnxn, Kizz Daniel, Seyi Vibez","GWAGWALADA","T.Y.E. / EMPIRE",2,8,17,"338791"
13,"spotify:track:69bvwTwKZBlynqbMyZmEO2","Bnxn","PRAY","T.Y.E. / EMPIRE",3,5,5,"328874"
14,"spotify:track:2kaH2Z8ezDUKf6fNw250rZ","Davido, Musa Keys","UNAVAILABLE (feat. Musa Keys)","Columbia",2,7,11,"321470"
15,"spotify:track:1sEIkVGd7fG4K5wFQS6f6y","ODUMODUBLVCK","DECLAN RICE","NATIVE Records",1,13,11,"309137"
16,"spotify:track:7vKXc90NT5WBm3UTT4iTVG","Davido, Fave","KANTE (feat. Fave)","Columbia",5,9,11,"298362"
17,"spotify:track:59sAr7NvZDeH7oYrkiyZcQ","Young Jonn","Aquafina","Chocolate City Music",5,12,6,"297227"
18,"spotify:track:6upXA8xqJ5heoVw4nd5Zvs","Asake","2:30","YBNL Nation / EMPIRE",1,10,10,"294805"
19,"spotify:track:7rIHP8C7oHYONnJpLjVnAc","Zinoleesky","Many Things","Marlian Music",1,15,7,"281551"
20,"spotify:track:4cPKw3rzgmaU4zixJe6wge","Joeboy, Bnxn, ODUMODUBLVCK","Normally","emPawa Africa Limited",7,14,3,"256064"
21,"spotify:track:05pGxMUPDOu3lQVDMg6nqS","CKay, Blaqbonez","HALLELUJAH (feat. Blaqbonez)","Warner Music Africa",10,16,5,"242302"
22,"spotify:track:3ceZIRUX8m8qFFcnEDkj2K","Rema","Holiday","Mavin Records/Jonzing World",1,21,16,"228294"
23,"spotify:track:0y8Pu7x5jXgUjOIJvQIF5L","Metro Boomin, Don Toliver, Wizkid, BEAM, Toian","Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","Republic Records",23,-1,1,"227089"
24,"spotify:track:5DttTktPy0RMZPz4UNfFm4","Davido, Asake","NO COMPETITION (feat. Asake)","Columbia",4,17,11,"224352"
25,"spotify:track:1wADwLSkYhrSmy4vdy6BRn","Omah Lay","soso","KeyQaad",1,24,47,"224252"
26,"spotify:track:6XFwHbQ5uJqjgEOzz0FP0y","Seyi Vibez","Amdallah","Vibez Inc / Dvpper Music",26,36,2,"216989"
27,"spotify:track:6WZVnqQ9OZRSGZmXyHHlV3","KCee","Ojapiano","Five Star Music",27,-1,1,"216586"
28,"spotify:track:75d9Anh1opF9FanEwW6RIG","Victony, Rema, Tempoe, Don Toliver","Soweto (with Don Toliver, Rema & Tempoe)","Encore Recordings",4,19,12,"216485"
29,"spotify:track:4XYpWMW1ec7GJW2Eq8UA9k","ODUMODUBLVCK","Dog Eat Dog","ANTIWORLD GLOBAL MUSIC",22,22,22,"214961"
30,"spotify:track:7ErtOGQ9DwyQa3lwP77j4u","Ruger","Asiwaju","Columbia",1,20,30,"210066"
31,"spotify:track:4p5x9gioMn5CYZCuRGo1Kz","Guchi","All Over You","PG Records Entertainment",31,-1,1,"206295"
32,"spotify:track:1tOp1bXhT9tvydSAGDHdQy","Tiwa Savage, Ayra Starr, Young Jonn","Stamina","We4we/Everything Savage",5,25,13,"194879"
33,"spotify:track:14gQ7SmMZeeEC3YAPB5vFw","Davido","AWAY","Columbia",6,26,11,"191068"
34,"spotify:track:5F4OfeowSReF93KcH2eUcG","Young Jonn","Xtra Cool","Chocolate City Music",1,28,37,"190531"
35,"spotify:track:2mwNqgMNrguu5Xlns3kqeg","Wande Coal, Wizkid","Ebelebe (feat. Wizkid)","Starstruck Management / EMPIRE",21,27,4,"186054"
36,"spotify:track:7uifQO5WcO2x15mdA6W50L","Kizz Daniel","Shu-Peru","FlyBoy INC / EMPIRE",13,23,4,"184736"
37,"spotify:track:7DRGQ7JVWzXxHbPXOU172t","Zlatan, ODUMODUBLVCK, Jeriq","Oganigwe","Zanku Records",9,32,6,"182991"
38,"spotify:track:32R7SBDSQmhDM4qUgzTc6z","ODUMODUBLVCK, Zlatan, ECko Miles","PICANTO","NATIVE Records",9,34,29,"181911"
39,"spotify:track:1RnRPPu3XPtftOhs1qF1hY","Shallipopi","Elon musk","Shallipopi music / Dvpper Music",33,37,9,"173947"
40,"spotify:track:2eknBYpfzA4Mp5zWHMGac5","Young Jonn","If You Leave","Chocolate City Music",17,39,33,"173252"
41,"spotify:track:2AaZJAh9FifPCQdba87Hzr","Joeboy","Body & Soul","emPawa Africa Limited",11,29,20,"172846"
42,"spotify:track:3WpcyBBiFVZ66DfWH0xXjm","Joeboy","Duffel Bag","emPawa Africa Limited",18,31,9,"171785"
43,"spotify:track:5ycsqezujKrwviU3VFhci1","Asake","Terminator","YBNL Nation / EMPIRE",1,33,42,"171504"
44,"spotify:track:1KCCxeit3q5wJXxDmRgbl3","Davido","OVER DEM","Columbia",1,30,11,"170755"
45,"spotify:track:0JoCuk9LuUwjLavIGxtKs9","Ruger","Jonzing Boy","Promised Land Records",19,35,4,"162060"
46,"spotify:track:39MK3d3fonIP8Mz9oHCTBB","Metro Boomin, Swae Lee, Lil Wayne, Offset","Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Republic Records",46,-1,1,"159249"
47,"spotify:track:7E86nXdcmISA9vBH0Egx7O","Mohbad","Ask About Me","Mohbad",20,40,8,"152694"
48,"spotify:track:5UwxpuGHkwiojKDaPC5ZNu","Asake","Joha","YBNL Nation / EMPIRE",1,44,40,"152331"
49,"spotify:track:0pLx3RsHPmZnD90h2yaL8V","Davido, The Cavemen., Angelique Kidjo","NA MONEY (feat. The Cavemen. & Angélique Kidjo)","Columbia",7,38,10,"151120"
50,"spotify:track:7sIUw9iU1eVB0qq3wFrwBb","Bella Shmurda, Tiwa Savage","NSV","Dangbana Republik",33,43,4,"150480"
51,"spotify:track:2KVr1xCwXXLP5xdXSr0U54","Smada, ODUMODUBLVCK","PAPILO (Smadumodu)","Varick St",12,42,4,"144252"
52,"spotify:track:4iL7caaYvGopP9d6hdlMAi","Zinoleesky","Personal","Marlian Music",2,55,25,"141556"
53,"spotify:track:14nSbMQqRo1BxshIjprVDO","Zinoleesky, Omah Lay","Last Time","Marlian Music",23,46,24,"141214"
54,"spotify:track:2qWwuCVeMjF9mUT0S5Iqvl","Fireboy DML, Asake","Bandana","YBNL Nation / EMPIRE",1,52,48,"137540"
55,"spotify:track:5bfD2QBI5OYVl2GgHmmA7m","Olivetheboy","Goodsin Speed Up","Loop Music",55,142,2,"135377"
56,"spotify:track:0SGea6cYbJWWz0MW1MYWlD","Davido","FOR THE ROAD","Columbia",11,45,10,"134078"
57,"spotify:track:1IdrHVSNvLJLu2WCqsmDcB","Wande Coal, Olamide","Kpe Paso","Starstruck Management / EMPIRE",8,41,19,"132024"
58,"spotify:track:5wgbfoSDM7EuYVvbd3QWlG","Johnny Drille","Believe Me","Mavin Records",23,47,9,"130252"
59,"spotify:track:3zlSLyucr1QS2XPfRnPdcy","Teni","No Days Off","Sugar Mummy Records",31,51,4,"130209"
60,"spotify:track:6GoVUO5vla1JtUj2rq9Yl4","Gunna","bread & butter","300 Entertainment",60,-1,1,"126598"
61,"spotify:track:76mICRITD4cOg5KnqH9f3s","Ayra Starr","Sability","Mavin Records",1,48,17,"126239"
62,"spotify:track:3jtPLQ4eBEcfyry5148T9x","Rema","HOV","Mavin Records/Jonzing World",8,54,6,"123907"
63,"spotify:track:0AoBY2Y3qs6dtGgOD6c91N","Burna Boy","Alone","Roc Nation/Def Jam/Hollywood",9,61,31,"119917"
64,"spotify:track:6CypiZh1I7VSPE9tyzvEK4","Boy Spyce","Relationship","Mavin Records",49,49,4,"119515"
65,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship Entertainment Ltd.",1,65,56,"117837"
66,"spotify:track:5tlvXfI4aqoSh0oRghr7UT","Olivetheboy","GoodSin","Loop Music",66,111,2,"117643"
67,"spotify:track:7qxtOyjZ2zSaxBPH8fLyNi","Khaid, Boy Spyce","Carry Me Go","NEVILLE RECORDS",8,53,13,"116543"
68,"spotify:track:7qcOfwTMGLkzOmC1sIFwfr","Zlatan, Seyi Vibez","Let There Be Light","Zanku Records",6,63,19,"115661"
69,"spotify:track:6Y22KIQd0RSREshosQvN2B","JAE5, Lojay, Libianca","I Wish (feat. Libianca)","Black Butter",69,-1,1,"115251"
70,"spotify:track:3BwAHuQhZyL4tOkf36DuQv","Olamide, CKay","Trumpet","YBNL Nation / EMPIRE",15,58,7,"114909"
71,"spotify:track:3UnV8C3DyIns9oEQRt0UnZ","Shallipopi","Sharpiru","Shallipopi music / Dvpper Music",71,84,7,"111824"
72,"spotify:track:42TG6DA1g7djgzBfOH6FqM","Meeza, Zinoleesky","Gbona","Dawn Records",72,-1,1,"110554"
73,"spotify:track:6Ec5LeRzkisa5KJtwLfOoW","Metro Boomin, A$AP Rocky, Roisee","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Republic Records",73,-1,1,"110132"
74,"spotify:track:6McBvfxgkVfREmQPwTKBUn","Pheelz, Davido","Electricity","Rii Collective",3,62,42,"108729"
75,"spotify:track:2woGTVY8Vx46aYuXfMmwwE","Bnxn","Traboski","T.Y.E. / EMPIRE",2,64,28,"108463"
