rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,Asake,Lonely At The Top,YBNL Nation / EMPIRE,1,1,8,797891,2023-08-10
2,spotify:track:747cO9FmyVvRCrsRusfwdL,Omah Lay,reason,Keyqaad,1,3,9,507920,2023-08-10
3,spotify:track:2H0w7oYDjUvgsFlNQ5swIg,Asake,Basquiat,YBNL Nation / EMPIRE,2,4,8,426747,2023-08-10
4,spotify:track:2tQMxGMxZIsXez0oVkHg2U,"Shallipopi, Pa Monday-Edo",Obapluto (feat. Pa Monday-Edo),Plutomania / Dvpper Music,3,5,5,387515,2023-08-10
5,spotify:track:3Q4oVlA6z9TH0jhaDl6aNT,Shallipopi,Ex Convict,Dvpper Digital,3,6,5,369013,2023-08-10
6,spotify:track:0U6EtYtNKv8t3o9cjniLn2,"Olamide, Asake",New Religion,YBNL Nation / EMPIRE,2,29,11,364237,2023-08-10
7,spotify:track:1YgIvHDTvi1vosins1jyAC,"Asake, Olamide",Amapiano,YBNL Nation / EMPIRE,1,7,12,351297,2023-08-10
8,spotify:track:1OgoyOlrMJFqjE1eqQiCUc,Burna Boy,Big 7,Spaceship Entertainment Ltd.,2,2,2,342658,2023-08-10
9,spotify:track:7onM6Fbiu7ufnMQnbd5oZJ,"Qing Madi, BNXN",Ole (feat. BNXN),Bu Vision,9,16,3,337493,2023-08-10
10,spotify:track:19IAoqAkRQ5tC1U0p7SWpZ,Young Jonn,Sharpally,Chocolate City Music,8,14,3,327736,2023-08-10
11,spotify:track:61iDSv1MgCsdo0zKXGxvCO,Blaqbonez,LIKE ICE SPICE,Chocolate City Music,7,9,5,313999,2023-08-10
12,spotify:track:3XmvXK6pJRewCn6mAfmsdS,Adekunle Gold,Ogaranya,Adekunle Gold PS/ Def Jam,8,8,4,312175,2023-08-10
13,spotify:track:6wuMo4ZR83PhlhXhJ1S3VY,"BNXN, Kizz Daniel, Seyi Vibez",GWAGWALADA,T.Y.E. / EMPIRE,2,13,26,303357,2023-08-10
14,spotify:track:1n3JvneU8FhfldfTQ8BdZs,Asake,2:30,YBNL Nation / EMPIRE,1,12,19,296383,2023-08-10
15,spotify:track:1mk8ZC9OeTZMr8Wy31LqRj,Davido,FEEL,Columbia,2,10,20,294459,2023-08-10
16,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,2,11,10,294117,2023-08-10
17,spotify:track:3YPtN5X0HxIzeRCHxfoXTy,Asake,Mogbe,YBNL Nation / EMPIRE,7,17,8,266852,2023-08-10
18,spotify:track:1sEIkVGd7fG4K5wFQS6f6y,ODUMODUBLVCK,DECLAN RICE,NATIVE Records,1,23,20,258228,2023-08-10
19,spotify:track:59sAr7NvZDeH7oYrkiyZcQ,Young Jonn,Aquafina,Chocolate City Music,5,20,15,257546,2023-08-10
20,spotify:track:6WZVnqQ9OZRSGZmXyHHlV3,KCee,Ojapiano,Five Star Music,6,21,10,257104,2023-08-10
21,spotify:track:3kFdOJRsCytUFYilg7rXnX,Olamide,Celebrate,YBNL Nation / EMPIRE,21,-1,1,253737,2023-08-10
22,spotify:track:1U1RKt97fE9kZvPCrRedm4,Khaid,Anabella,NEVILLE RECORDS,22,25,4,248028,2023-08-10
23,spotify:track:1iBWjQ9af9NnUd5xnQDB3k,Rema,Charm,Mavin Records/Jonzing World,1,19,15,245653,2023-08-10
24,spotify:track:6lrAyxpomr1dkHltiUqWSw,Olamide,Gaza,YBNL Nation / EMPIRE,24,-1,1,245172,2023-08-10
25,spotify:track:7vKXc90NT5WBm3UTT4iTVG,"Davido, FAVE",KANTE (feat. Fave),Columbia,5,24,20,243942,2023-08-10
26,spotify:track:5dVJTSZhL2n81ZkT4PZu0x,Olamide,Jinja,YBNL Nation / EMPIRE,26,-1,1,242599,2023-08-10
27,spotify:track:3Yr0vIcfXq5MWdSDmZzKgk,Asake,Sunshine,YBNL Nation / EMPIRE,4,22,8,233115,2023-08-10
28,spotify:track:49ytLGEP5S20N3AhB5YuwJ,"Adekunle Gold, Zinoleesky",Party No Dey Stop (with Zinoleesky),Adekunle Gold PS/ Def Jam,1,15,22,232734,2023-08-10
29,spotify:track:4UdDJ77xjH9ru5r5F9kfOG,Seyi Vibez,Man of The Year,Vibez Inc / Dvpper Music,7,18,7,226420,2023-08-10
30,spotify:track:1oq33HJBs0rDmjjZ2rVFyG,King Promise,Terminator,5K Records Limited,26,26,8,225385,2023-08-10
31,spotify:track:2ITJKfLesLib9xo0hWVT1V,"ODUMODUBLVCK, Cruel Santino, Bella Shmurda","DOG EAT DOG II (feat. Cruel Santino, Bella Shmurda)",NATIVE Records,5,27,11,224344,2023-08-10
32,spotify:track:1JwVXAw3N6tfyPK6wfwMtp,Olamide,Doom,YBNL Nation / EMPIRE,32,-1,1,220360,2023-08-10
33,spotify:track:3Q3cmIGrJM7fDpXdo0gEPG,"Olamide, CKay",Trumpet,YBNL Nation / EMPIRE,15,-1,15,219487,2023-08-10
34,spotify:track:5kYxdQaX15bCWOltfEUmvM,"Olamide, Rema",Mukulu,YBNL Nation / EMPIRE,34,-1,1,217525,2023-08-10
35,spotify:track:5zq5fYXIE7X842DD5HBiiB,"Burna Boy, Byron Messia",Talibans II - Bonus Track,Spaceship Entertainment Ltd.,11,28,3,213118,2023-08-10
36,spotify:track:7j2XUgQz7PLCUPzUStwOJf,"Olamide, BNXN",Come Alive,YBNL Nation / EMPIRE,36,-1,1,209612,2023-08-10
37,spotify:track:5UautcyJDjHxwnejNAkfg9,"ODUMODUBLVCK, Fireboy DML",FIREGUN (feat. Fireboy DML),NATIVE Records,4,30,6,207400,2023-08-10
38,spotify:track:1RnRPPu3XPtftOhs1qF1hY,Shallipopi,Elon musk,Shallipopi music / Dvpper Music,31,36,18,204371,2023-08-10
39,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,32,32,8,202915,2023-08-10
40,spotify:track:2kaH2Z8ezDUKf6fNw250rZ,"Davido, Musa Keys",UNAVAILABLE (feat. Musa Keys),Columbia,2,31,20,201008,2023-08-10
41,spotify:track:2lGup6k0LMZLxCltpzzqmN,Olamide,Problem,YBNL Nation / EMPIRE,41,-1,1,199998,2023-08-10
42,spotify:track:69bvwTwKZBlynqbMyZmEO2,BNXN,PRAY,T.Y.E. / EMPIRE,3,35,14,197420,2023-08-10
43,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,Ruger,Asiwaju,Promised Land Recordings,1,34,39,197342,2023-08-10
44,spotify:track:5F4OfeowSReF93KcH2eUcG,Young Jonn,Xtra Cool,Chocolate City Music,1,41,46,195947,2023-08-10
