rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,2,18,"253444"
2,"spotify:track:1y5eHXBYiLgNv00KoHXm4o","Soa mattrix, Mashudu, Happy Jazzman, Emotionz DJ","Mina Nawe","Soa Family",2,3,10,"252566"
3,"spotify:track:4lOujgdHEUyFThYND4EmlQ","DJ Maphorisa, Visca, 2woshort, Stompiiey, Shaunmusiq, Ftears, Madumane","Ba Straata (feat. 2woshort, Stompiiey, ShaunMusiQ, Ftears & Madumane)","New Money Gang Records",3,5,10,"221610"
4,"spotify:track:2KWbBP2ddjo6t5aMOJeItK","Myztro, Shaunmusiq, Ftears","Tobetsa","New Money Gang Records",2,4,6,"198407"
5,"spotify:track:5ZDw1sqZQDlC5aV7ir6kkN","Myztro, Focalistic, Daliwonga, Shaunmusiq, Ftears","Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)","New Money Gang Records",5,13,3,"182319"
6,"spotify:track:3PdO57q0KLWkfWXsXQJlV6","Mas Musiq, Aymos, Young Stunna","Sengizwile (feat. Aymos & Young Stunna)","New Money Gang Records",3,11,33,"175911"
7,"spotify:track:1X1IDV1HeEMqpPkKnt1Srx","Kelvin Momo, Nanette, S.O.N, Jay Sax","Fool Me","Kelvin Momo Productions",1,1,2,"175561"
8,"spotify:track:58u8z6ia8GTm9yZlkmtCtV","Aymos, Ami Faku","Fatela","Lyf Styl Entertainment",8,15,5,"169618"
9,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",2,6,3,"159949"
10,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",1,10,7,"154087"
11,"spotify:track:13Z8di7Br7OsZn5GmtesIf","Pcee, Justin99, EeQue, Mr JazziQ","ZoTata (feat. Mr JazziQ)","Sound African Recordings",11,114,2,"148590"
12,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship Entertainment Ltd.",1,16,32,"146608"
13,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",9,9,2,"145314"
14,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",5,22,17,"141646"
15,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",2,14,40,"141403"
16,"spotify:track:4FEi7i9oDxDzcYbx53IHwq","Kelvin Momo, Babalwa M, Sfarzo Rtee","Sukakude","Kelvin Momo Productions",7,7,2,"141328"
17,"spotify:track:3r4sc1n8kNL2FpebHwaAQE","Ch'cco, Focalistic, Mellow & Sleazy","Pele Pele","R1+0 CARTEL",10,21,6,"139453"
18,"spotify:track:2nws7wwvjHpP512xuDAn10","King Monada, CK THE DJ","AYE KUWA (feat. CK THE DJ)","King Monada Music",18,38,6,"138508"
19,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,17,13,"126654"
20,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",20,25,17,"123937"
21,"spotify:track:7noQJdn8w9TT9FagQy5KsP","MacG, Sir Trill, Bailey, EmjayKeyz","Nkantin","M2N Services",11,28,13,"119848"
22,"spotify:track:5uWDenxq03AYLOq83WzLNo","Kabza De Small, Young Stunna, Nobuhle, Ze2","Xola (feat. Nobuhle, Ze2 & Young Stunna)","Piano Hub",7,34,27,"113627"
