,,trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,0,17,"2 Chainz, Drake, Quavo",Bigger Than You (feat. Drake & Quavo),139,spotify:track:5S1IUPueD0xE0vj4zU3nSf,Def Jam Recordings,139,-1,1,214347,2018-06-21,25,2018,2018-06-21,1529539200.0,2018-06-01,3,2 Chainz,0
0,1,1,18,"2 Chainz, Drake, Quavo",Bigger Than You (feat. Drake & Quavo),166,spotify:track:5S1IUPueD0xE0vj4zU3nSf,Def Jam Recordings,139,139,2,192349,2018-06-28,26,2018,2018-06-28,1530144000.0,2018-06-01,3,2 Chainz,0
1,0,0,0,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,185,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,185,-1,1,111024,2017-07-13,28,2017,2017-07-13,1499904000.0,2017-07-01,1,2 Chainz,0
1,1,1,1,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,152,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,152,185,2,128292,2017-07-20,29,2017,2017-07-20,1500508800.0,2017-07-01,1,2 Chainz,0
1,2,2,2,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,152,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,152,152,3,137579,2017-07-27,30,2017,2017-07-27,1501113600.0,2017-07-01,1,2 Chainz,0
1,3,3,3,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,135,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,135,152,4,151621,2017-08-03,31,2017,2017-08-03,1501718400.0,2017-08-01,1,2 Chainz,0
1,4,4,4,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,130,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,130,135,5,160896,2017-08-10,32,2017,2017-08-10,1502323200.0,2017-08-01,1,2 Chainz,0
1,5,5,5,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,129,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,129,130,6,166527,2017-08-17,33,2017,2017-08-17,1502928000.0,2017-08-01,1,2 Chainz,0
1,6,6,6,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,124,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,129,7,170192,2017-08-24,34,2017,2017-08-24,1503532800.0,2017-08-01,1,2 Chainz,0
1,7,7,7,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,132,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,124,8,170053,2017-08-31,35,2017,2017-08-31,1504137600.0,2017-08-01,1,2 Chainz,0
1,8,8,8,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,135,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,132,9,170591,2017-09-07,36,2017,2017-09-07,1504742400.0,2017-09-01,1,2 Chainz,0
1,9,9,9,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,136,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,135,10,165729,2017-09-14,37,2017,2017-09-14,1505347200.0,2017-09-01,1,2 Chainz,0
1,10,10,10,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,142,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,136,11,166556,2017-09-21,38,2017,2017-09-21,1505952000.0,2017-09-01,1,2 Chainz,0
1,11,11,11,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,154,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,142,12,154618,2017-09-28,39,2017,2017-09-28,1506556800.0,2017-09-01,1,2 Chainz,0
1,12,12,12,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,161,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,154,13,145769,2017-10-05,40,2017,2017-10-05,1507161600.0,2017-10-01,1,2 Chainz,0
1,13,13,13,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,167,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,161,14,150319,2017-10-12,41,2017,2017-10-12,1507766400.0,2017-10-01,1,2 Chainz,0
1,14,14,14,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,170,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,167,15,152705,2017-10-19,42,2017,2017-10-19,1508371200.0,2017-10-01,1,2 Chainz,0
1,15,15,15,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,165,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,170,16,155661,2017-10-26,43,2017,2017-10-26,1508976000.0,2017-10-01,1,2 Chainz,0
1,16,16,16,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhen Aiko",It's A Vibe,171,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,124,165,17,153496,2017-11-02,44,2017,2017-11-02,1509580800.0,2017-11-01,1,2 Chainz,0
2,0,0,0,21 Savage,Bank Account,132,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",132,-1,1,147564,2017-07-27,30,2017,2017-07-27,1501113600.0,2017-07-01,1,21 Savage,0
2,1,1,1,21 Savage,Bank Account,77,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",77,132,2,226420,2017-08-03,31,2017,2017-08-03,1501718400.0,2017-08-01,1,21 Savage,0
2,2,2,2,21 Savage,Bank Account,58,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",58,77,3,326247,2017-08-10,32,2017,2017-08-10,1502323200.0,2017-08-01,1,21 Savage,0
2,3,3,3,21 Savage,Bank Account,55,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",55,58,4,352279,2017-08-17,33,2017,2017-08-17,1502928000.0,2017-08-01,1,21 Savage,0
2,4,4,4,21 Savage,Bank Account,55,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",55,55,5,368411,2017-08-24,34,2017,2017-08-24,1503532800.0,2017-08-01,1,21 Savage,0
2,5,5,5,21 Savage,Bank Account,57,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",55,55,6,384448,2017-08-31,35,2017,2017-08-31,1504137600.0,2017-08-01,1,21 Savage,0
2,6,6,6,21 Savage,Bank Account,55,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",55,57,7,398545,2017-09-07,36,2017,2017-09-07,1504742400.0,2017-09-01,1,21 Savage,0
2,7,7,7,21 Savage,Bank Account,55,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",55,55,8,392961,2017-09-14,37,2017,2017-09-14,1505347200.0,2017-09-01,1,21 Savage,0
2,8,8,8,21 Savage,Bank Account,55,spotify:track:5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",55,55,9,392162,2017-09-21,38,2017,2017-09-21,1505952000.0,2017-09-01,1,21 Savage,0
2,9,9,9,21 Savage,Bank Account,56,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Slaughter Gang, LLC/Epic Records",55,55,10,391561,2017-09-28,39,2017,2017-09-28,1506556800.0,2017-09-01,1,21 Savage,0
2,10,10,10,21 Savage,Bank Account,58,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Slaughter Gang, LLC/Epic Records",55,56,11,351673,2017-10-05,40,2017,2017-10-05,1507161600.0,2017-10-01,1,21 Savage,0
2,11,11,11,21 Savage,Bank Account,56,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Slaughter Gang, LLC/Epic Records",55,58,12,379797,2017-10-12,41,2017,2017-10-12,1507766400.0,2017-10-01,1,21 Savage,0
2,12,12,12,21 Savage,Bank Account,52,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Slaughter Gang, LLC/Epic Records",52,56,13,405254,2017-10-19,42,2017,2017-10-19,1508371200.0,2017-10-01,1,21 Savage,0
2,13,13,13,21 Savage,Bank Account,53,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Slaughter Gang, LLC/Epic Records",52,52,14,419559,2017-10-26,43,2017,2017-10-26,1508976000.0,2017-10-01,1,21 Savage,0
2,14,14,14,21 Savage,Bank Account,54,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Slaughter Gang, LLC/Epic Records",52,53,15,405063,2017-11-02,44,2017,2017-11-02,1509580800.0,2017-11-01,1,21 Savage,0
2,15,15,15,21 Savage,Bank Account,55,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Slaughter Gang, LLC/Epic Records",52,54,16,387377,2017-11-09,45,2017,2017-11-09,1510185600.0,2017-11-01,1,21 Savage,0
