trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,*NSYNC,"Merry Christmas, Happy Holidays",72,spotify:track:15coTBAzEN1bOeipoNDZAR,RCA Records Label,43,113,27,4563545,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,*NSYNC,0
0,0,"21 Savage, Drake",MR RECOUP,104,spotify:track:38iBHQloAVZNpKsFVU8aAd,"Slaughter Gang, LLC/Epic Records",36,36,2,3527339,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,21 Savage,0
0,0,Alex Warren,Ordinary,67,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Atlantic Records,1,31,46,4902351,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Alex Warren,0
0,0,Andy Williams,Happy Holiday / The Holiday Season,49,spotify:track:1Wf14bTyb6UeKojy8ykPYm,Columbia,49,79,23,5733885,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Andy Williams,0
0,1,Andy Williams,It's the Most Wonderful Time of the Year,7,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Columbia,4,5,62,16532270,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Andy Williams,1
0,2,Andy Williams,The First Nol,155,spotify:track:4r87anpJZfl5p6OsBZnrZs,Columbia,155,-1,4,2821346,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Andy Williams,0
0,0,Arctic Monkeys,505,98,spotify:track:58ge6dfP91o9oXMzq3XkIS,Domino Recording Co,18,63,257,3655462,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Arctic Monkeys,0
0,0,Ariana Grande,Last Christmas,94,spotify:track:5xDrO9DEDJGUQGfyoHvgDJ,Universal Records,94,169,4,3711806,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ariana Grande,0
0,1,Ariana Grande,Santa Tell Me,8,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Universal Records,5,8,62,15061701,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ariana Grande,1
0,0,Bad Bunny,BAILE INoLVIDABLE,162,spotify:track:2lTm559tuIvatlT1u0JYG2,Rimas Entertainment LLC.,2,130,51,2788220,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bad Bunny,0
0,1,Bad Bunny,DtMF,132,spotify:track:3sK8wGT43QFpWrvNQsrQya,Rimas Entertainment LLC.,1,91,51,3157128,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bad Bunny,0
0,0,Band Aid,Do They Know It's Christmas? - 1984 Version,50,spotify:track:4Yg2w0P29BBBMixyeNjDtj,EMI,19,75,42,5675812,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Band Aid,0
0,0,Benson Boone,Beautiful Things,177,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,"Night Street Records, Inc./Warner Records Inc.",1,124,101,2690041,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Benson Boone,0
0,0,"BigXthaPlug, Ella Langley",Hell At Night (feat. Ella Langley),166,spotify:track:6r1lboTadi5swMquaAWDzh,BigXthaPlug under exclusive license to UnitedMasters LLC,19,129,19,2750515,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,2,BigXthaPlug,0
0,0,Billie Eilish,BIRDS OF A FEATHER,117,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Darkroom/Interscope Records,2,73,84,3316032,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Billie Eilish,0
0,0,Bing Crosby,Do You Hear What I Hear? - Remastered 2006,43,spotify:track:4EZUcj7c8n9pWIwHqN0DoH,Capitol Records,43,58,38,6682351,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,1,Bing Crosby,God Rest Ye Merry Gentlemen,134,spotify:track:6Uekkm0MOVT4WznQy0ktVR,Geffen,117,-1,5,3124740,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,2,Bing Crosby,I'll Be Home For Christmas,145,spotify:track:4lftz0V8DZhWSVtL4GrzMH,Geffen,143,-1,5,2956431,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,3,Bing Crosby,It's Beginning To Look Like Christmas,125,spotify:track:44mYhOVgerj2qPjkGDVA6n,Geffen,113,-1,7,3227302,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,4,Bing Crosby,The Little Drummer Boy - Remastered 2006,90,spotify:track:2zHu4GAsQIw2skGszWEMFY,Capitol Records,90,-1,8,3783949,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,5,Bing Crosby,Winter Wonderland - Remastered 2006,54,spotify:track:5VEuraNSVxMTzDTtrmL3lQ,Capitol Records,48,89,39,5317306,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,6,"Bing Crosby, Carol Richards",Silver Bells,119,spotify:track:7ehhnVu3JUWMaSJzY1zC4k,Geffen,119,-1,7,3308741,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,7,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,16,spotify:track:3XsaSIPWvM61RIFfeb0BBR,Geffen,5,19,53,11694195,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,8,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka (Merry Christmas),22,spotify:track:04vLj9QUXoKdRlsp3gkURo,Geffen,22,26,32,9969139,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,9,"Bing Crosby, The Andrews Sisters",Twelve Days Of Christmas,127,spotify:track:0cAhE2iDJApegDnVRx6fCK,Geffen,127,-1,1,3205381,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bing Crosby,0
0,0,Bleachers,"Merry Christmas, Please Don't Call",106,spotify:track:0UOG0zUn7t8m8QcxfzR7AH,Dirty Hit,106,-1,1,3476332,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bleachers,0
0,0,Bobby Helms,Jingle Bell Rock,2,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Geffen,2,2,68,20610621,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bobby Helms,1
0,0,Brenda Lee,Rockin' Around The Christmas Tree,1,spotify:track:2EjXfH91m7f8HiJN1yQg97,MCA Nashville,1,1,68,24239949,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Brenda Lee,1
0,0,Britney Spears,My Only Wish (This Year),64,spotify:track:0YWUHZPJVg4iujddsJDwhM,Jive,64,98,17,4986122,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Britney Spears,0
0,0,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",46,spotify:track:6s2wpWPFPAgKg2LXxi1Oee,NITRON concepts,38,71,28,6474737,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Bruce Springsteen,0
0,0,Burl Ives,A Holly Jolly Christmas,21,spotify:track:77khP2fIVhSW23NwxrRluh,Geffen,5,28,51,10089317,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Burl Ives,0
0,1,Burl Ives,Rudolph The Red-Nosed Reindeer,34,spotify:track:47otoIkhx3fkdivEXL5OB6,Geffen,34,48,34,7784191,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Burl Ives,0
0,0,Carpenters,Merry Christmas Darling - Remix,95,spotify:track:0z5HSQGWgnjdNvwbOmhB2w,A&M,87,-1,14,3703802,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Carpenters,0
0,0,Chappell Roan,Pink Pony Club,154,spotify:track:6393yGahSJ9slVdOwSxOVR,Chappell Roan PS/ Island,8,106,81,2824690,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Chappell Roan,0
0,0,Cher,DJ Play A Christmas Song,122,spotify:track:18uSfZqFBxQFi8CsXOIbhy,Warner Records,87,-1,4,3284887,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Cher,0
0,0,Childish Gambino,Les,174,spotify:track:7ghKr0pCYyPPyp7t1FH8k4,Glassnote - VMG,95,119,30,2713902,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Childish Gambino,0
0,0,Chris Rea,Driving Home for Christmas - 2019 Remaster,123,spotify:track:27qAMKrDdKEs8HDXcvR24R,Rhino,95,-1,11,3258075,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Chris Rea,0
0,0,Chris Stapleton,You Should Probably Leave,192,spotify:track:2UikqkwBv7aIvlixeVXHWt,Mercury Nashville,56,148,127,2608797,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Chris Stapleton,0
0,0,Chuck Berry,Run Rudolph Run,15,spotify:track:2pnPe4pJtq7689i5ydzvJJ,Geffen*,15,17,45,12069127,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Chuck Berry,0
0,0,Coldplay,Christmas Lights,170,spotify:track:4fzyvSu73BhGvi96p2zwjL,Parlophone UK,170,-1,2,2746289,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Coldplay,0
0,1,Coldplay,Sparks,138,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Parlophone UK,28,76,73,3070994,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Coldplay,0
0,0,Daniel Caesar,Who Knows,187,spotify:track:6DH13QYXK7lKkYHSU88N48,Republic Records,97,97,9,2633731,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Daniel Caesar,0
0,0,Darlene Love,A Marshmallow World,175,spotify:track:3Qervg7n4iuSBqH7Moc6Wn,Legacy Recordings,175,-1,1,2708948,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Darlene Love,0
0,1,Darlene Love,Christmas (Baby Please Come Home),11,spotify:track:47ohYW8e7dxCYn9qbUMBCI,Legacy Recordings,11,12,38,13937463,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Darlene Love,0
0,2,Darlene Love,Winter Wonderland,118,spotify:track:51KCex2aoD4Ni2cRF5mFWe,Legacy Recordings,118,-1,6,3312166,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Darlene Love,0
0,0,Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,190,spotify:track:6pVW5LRWgeLaHudxauOTJU,Legacy Recordings,100,-1,14,2616785,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Daryl Hall & John Oates,0
0,0,Dasha,Driving Home for Christmas - Spotify Singles Holiday,169,spotify:track:2gciS7UJjv59l7608DFGNl,Warner Records,133,-1,2,2746546,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Dasha,0
0,0,Dean Martin,"Baby, It's Cold Outside",68,spotify:track:4MrfQL4TYQXJBlZYpAHTuE,Capitol Records,45,120,35,4780327,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Dean Martin,0
0,1,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,5,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Capitol Records,5,7,50,16947660,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Dean Martin,1
0,2,Dean Martin,Silver Bells,108,spotify:track:4QX5pZQpQTgVlkqfUTDim0,Legacy Recordings,64,-1,17,3419907,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Dean Martin,0
0,0,"Disco Lines, Tinashe",No Broke Boys,149,spotify:track:3cZajhyr8LmtPfHZ9296tj,Nice Life/Atlantic,15,93,28,2912443,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Disco Lines,0
0,0,Djo,End of Beginning,75,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,3,47,83,4355935,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Djo,0
0,0,Don Toliver,No Pole,103,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,Cactus Jack / Atlantic,25,61,62,3533403,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Don Toliver,0
0,0,Donny Hathaway,This Christmas,33,spotify:track:7MSYSOobsombc1mbDWFxtD,Rhino Atlantic,33,44,28,7843524,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Donny Hathaway,0
0,0,Drake,Headlines,109,spotify:track:6LxSe8YmdPxy095Ux6znaQ,Cash Money Records/Young Money Ent./Universal Rec.,38,70,43,3405809,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Drake,0
0,1,Drake,Passionfruit,194,spotify:track:5mCPDVBb16L4XQwDdbRUpz,Cash Money Records/Young Money Ent./Universal Rec.,1,143,160,2593138,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Drake,0
0,2,"Drake, Wizkid, Kyla",One Dance,178,spotify:track:1zi7xx7UVEFkmKfv06H8x0,Cash Money Records/Young Money Ent./Universal Rec.,13,145,114,2680660,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Drake,0
0,0,Eagles,Please Come Home for Christmas - 2013 Remaster,17,spotify:track:3QIoEi8Enr9uHffwInGIsC,Rhino/Elektra,17,22,25,11334194,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Eagles,0
0,0,"Eartha Kitt, Henri Ren and His Orchestra",Santa Baby (with Henri Ren & His Orchestra),27,spotify:track:1foCxQtxBweJtZmdxhEHVO,RCA Bluebird,20,35,44,9160903,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Eartha Kitt,0
0,0,"Ed Sheeran, Elton John",Merry Christmas,74,spotify:track:0hz5PNF2wejwUKCMpesQWt,Atlantic Records UK,64,127,10,4438169,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ed Sheeran,0
0,0,Ella Fitzgerald,Frosty The Snowman,78,spotify:track:65irrLqfCMRiO3p87P4C0D,Verve Reissues,78,163,9,4125780,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ella Fitzgerald,0
0,1,Ella Fitzgerald,Sleigh Ride,58,spotify:track:4ukUoXLuFzMixyZyabSGc4,Verve Reissues,58,99,15,5233241,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ella Fitzgerald,0
0,2,"Ella Fitzgerald, Louis Armstrong",I've Got My Love To Keep Me Warm,180,spotify:track:5OLmn2zkijgVleNhMRjYQp,Verve Reissues,180,-1,1,2668797,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ella Fitzgerald,0
0,0,Ella Langley,Choosin' Texas,51,spotify:track:65DbTqJKhbwqYbZ1Okr0rc,SAWGOD/Columbia,13,32,10,5603867,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ella Langley,0
0,1,Ella Langley,weren't for the wind,81,spotify:track:2A22iI0x4EYAVXNpKPhNEM,SAWGOD/Columbia,49,53,36,4069499,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Ella Langley,0
0,0,Elton John,Step Into Christmas - Remastered 1995,45,spotify:track:11P4sSu6BH2lAbWk1sL6cK,EMI,45,59,18,6626453,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Elton John,0
0,0,Elvis Presley,Blue Christmas,24,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,RCA Victor,17,27,47,9622205,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Elvis Presley,0
0,1,Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),105,spotify:track:7n7VsX3sv66znBwA8b5uhp,RCA Victor,72,-1,14,3500849,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Elvis Presley,0
0,0,EsDeeKid,4 Raws,65,spotify:track:554qQSs9lpRVq6TlaaiIKT,Lizzy Records,65,82,5,4982241,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,EsDeeKid,0
0,1,"EsDeeKid, Rico Ace",Phantom,82,spotify:track:57Z6TJCTMACXxdrcwZ3Zvf,Lizzy Records,78,78,5,4058541,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,EsDeeKid,0
0,0,Fall Out Boy,It Feels Like Christmas (Spotify Singles Holiday),70,spotify:track:34sUWOEjFKrj8Rzk1HHicq,Many Hats Distribution,70,189,2,4628390,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Fall Out Boy,0
0,0,Fleetwood Mac,Dreams - 2004 Remaster,101,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Rhino/Warner Records,6,54,257,3541195,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Fleetwood Mac,0
0,0,Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered 1999,31,spotify:track:2FPfeYlrbSBR8PwCU0zaqq,Capitol Records,31,38,19,8425161,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Frank Sinatra,0
0,1,Frank Sinatra,Jingle Bells - Remastered 1999,28,spotify:track:4HEOgBHRCExyYVeTyrXsnL,Capitol Records,18,33,26,8947381,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Frank Sinatra,0
0,2,Frank Sinatra,Mistletoe And Holly - Remastered 1999,91,spotify:track:7faDzZnZYqTyYThx2sbHVQ,Capitol Records,61,-1,29,3741021,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Frank Sinatra,0
0,3,Frank Sinatra,Santa Claus Is Coming To Town,86,spotify:track:6syO6UTl8QiiWADJy3Uy2d,FRANK SINATRA HYBRID,86,186,3,3903189,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Frank Sinatra,0
0,4,Frank Sinatra,The Christmas Waltz - Remastered 1999,182,spotify:track:6G7QhTqDsP5vIdLQTYXXOU,Capitol Records,182,-1,1,2659807,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Frank Sinatra,0
0,5,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),36,spotify:track:4kKdvXD0ez7jp1296JmAts,Columbia/Legacy,9,49,50,7440200,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Frank Sinatra,0
0,0,Gayla Peevey,I Want a Hippopotamus for Christmas (Hippo the Hero),53,spotify:track:5P8Xvy5tzhmfyfA6GplQ8h,Sony Music Entertainment,53,80,13,5385294,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Gayla Peevey,0
0,0,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,35,spotify:track:25leEEaz1gIpp7o21Fqyjo,Columbia/Legacy,35,41,35,7767477,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Gene Autry,0
0,1,Gene Autry,Rudolph the Red-Nosed Reindeer,172,spotify:track:1dtIaSlyrLI04sqYa8nLyN,Columbia/Legacy,157,-1,5,2718588,2025-12-25,52,2025,2025-12-25,1766620800.0,2025-12-01,1,Gene Autry,0
